youtube_url,error
https://www.youtube.com/shorts/AGCyLqLuUJ0,AGCyLqLuUJ0 is unavailable
https://youtube.com/shorts/u2HvKEGq3Ik,u2HvKEGq3Ik is unavailable
https://youtube.com/shorts/PH3yeSEgiGE,PH3yeSEgiGE is unavailable
https://youtube.com/shorts/boEKlG35qHM,boEKlG35qHM is unavailable
https://www.youtube.com/shorts/vln9tIS2yWg,vln9tIS2yWg is unavailable
https://www.youtube.com/shorts/RBz8pTO0ySw,RBz8pTO0ySw is unavailable
https://www.youtube.com/shorts/l2erI86JxzE,"l2erI86JxzE requires login to view, YouTube reason: Please sign in"
https://www.youtube.com/shorts/fBExhFE2-ew,fBExhFE2-ew is unavailable
https://www.youtube.com/shorts/E2ILLN8TiPA,E2ILLN8TiPA is unavailable
https://www.youtube.com/shorts/XCkJcIeGhS0,XCkJcIeGhS0 is unavailable
https://youtube.com/shorts/6qHXenlRDH4,"6qHXenlRDH4 has an unknown error, check logs for more info [Status: ERROR] [Reason: This video is no longer available due to a privacy claim by a third party]"
