Author,Comment,LikeCount,PublishedAt
@LeroyPerez-u6b,"You&#39;re a great dad, dude.",28032,2024-09-08T14:06:12Z
@TheBusGamingT.B.G,Kid:Dad can i buy claw maching<br>Dad:no we have claw maching at home😂😂😂,8759,2024-09-06T13:05:12Z
@please-wake-up-now,Haha the kids are gonna remember this for sure! It just hits different when parents join in the fun! 🎉 Love this so much! 😄,2786,2024-09-08T12:02:18Z
@apollomommy7364,Thats one expensive ass claw machine at $100 a go lmao 😂,433,2024-10-13T12:54:42Z
@NidiaCordor,"You &#39;re a great dad,dude❤",1,2025-05-22T19:52:29Z
@jamiescott1819,AWWWWWWW THAT&#39;S REALLY CUTE!!! THE CHILDREN WILL HAVE GREAT MEMORIES OF WHAT THEIR DADDY DID WITH THEM!!!!!!❤❤❤❤❤❤❤❤,4033,2024-09-21T04:25:08Z
@randonjack6184,Children&#39;s laughter like this always brings a smile on my face. God bless this family.,2661,2024-10-26T11:23:01Z
@BaileeLarrieu,This is the kinda parenting we need more of ❤😂😂,9,2024-12-21T00:42:00Z
@cnp8638,"Even his sister just watching was already so excited and happy. They are having so much fun, their machine even has sound effects 😂😂😂😂😂. God bless your family always",4543,2024-10-05T08:01:28Z
@M0on1x-x,The little giggles and screams ❤️❤️❤️✨✨✨😭,131,2024-09-29T09:55:35Z
@so_whatmaaate,$100??? That&#39;s one expensive claw machine 😂<br>Those laughs are contagious ❤,73,2024-11-30T06:09:48Z
@jessicamitchell9674,That is so cute and they&#39;re basically paying him back his own money.,67,2024-09-17T18:13:08Z
@JeremiahBam-s7h,100$ for 1 person is crazy I won&#39;t even try to play this😂😂,351,2024-09-08T22:32:42Z
@دعاء2007,Omgggg that&#39;so cute their laughs are so wholesome 🥺🥺🥺🤍,667,2024-09-25T10:37:20Z
@O.K.D2114,They will keep this memory forever. Your family is the cutest.❤,671,2024-09-04T23:23:38Z
@AgatheAlica,They will keep this memory forever. Your family is the cutest.,1,2025-05-02T03:30:20Z
@VVbeanShorts,Bro gave $100💀<br><br>Edit: I didn’t have internet for 2 days and I get 400 likes that’s crazy<br><br>Edit: Great dad! This bring any kid joy,940,2024-09-22T06:34:28Z
@leakatorrivera2355,Wait did anyone notice the baby had 100 dollars,458,2024-09-05T12:29:37Z
@Ilovelemons2016,I love how the kids look so wholesome😊,0,2025-03-23T19:11:31Z
