Author,Comment,LikeCount,PublishedAt
@dadboy3472,"Nah respect to you being chill af, you got a new subscriber",664684,2024-02-25T23:42:03Z
@TheOne4You-11,The airplane going by after he got back the microphone and started rapping was perfect,16042,2025-02-06T16:43:15Z
@kevinfrench239,You a real one for giving him the mic to handle his buisness instead of telling him to chill.,12549,2024-03-06T22:52:02Z
@theQuickining,Its was nice of you to let him borrow the microphone for a minute he was concerned about the safety of the people,13657,2024-03-14T20:07:16Z
@BurnicusMaximus,"This video is trippy. They were so smooth. <br><br>You handed the mic over with no hesitation. He said exactly what he needed to, gives the mic back and you slide right back into it",2539,2025-02-05T18:29:43Z
@KhrisKlean,Respect on both of you.<br>One being chill.<br>And one trying to protect human lives.,14279,2024-03-09T20:29:49Z
@michaelcaldwell1998,"Respect to both these dudes. One guy just tryna do his job, other one helped him out a bit and just kept vibin.",13512,2024-03-15T19:03:30Z
@shaynecarter-murray3127,"A rare video, 2 grown ass men cooperating while working on different jobs. Respect to both",139211,2024-04-27T13:04:16Z
@bhagirathkant,&quot;Make sure they know&quot; 😂😂😂,501,2025-01-29T18:29:27Z
@daviddjantinaya4685,It just feels so wholesome when both of this dudes were chill AF with each other.,13089,2024-08-02T03:11:03Z
@PodBestMoments1,That’s someone who actually cares about their job and isn’t lazy. Respect,36609,2024-07-10T14:43:11Z
@PhasmoBoi,This is humble. He wasn’t even mad and handed it to him before he even had to ask,45234,2024-03-10T17:41:07Z
@RyomenRishabxgarou,&quot;But they&#39;ll be eating these bars 100 years from now &quot; 🗣️🗣️🔥🔥🔥,172,2025-02-01T15:10:45Z
@ChazzzTee,&quot;You know what isn&#39;t lame? Safety.&quot;,4988,2024-05-15T08:16:37Z
@mocotone,&quot;EVERYBODY.....&quot;  he came on the track like he was about to drop safety bars.  😂,31538,2024-09-04T16:54:13Z
@Changingtesting,That’s someone who genuinely cares about the people more than his job,9497,2024-03-08T17:24:21Z
@lukecodds4111,&quot;Everybody stay stay outta that side walk&quot; mixed perfectly with &quot;make sure they know&quot; 🗣 🔥,62,2025-01-31T03:19:56Z
@RatPlaysRoblox12,The way he just continued his music as if nothing happened respect,6070,2024-11-20T05:02:18Z
@nyc1960,Mad respect for someone finally TRYING TO DO THEIR JOBS. Give him a RAISE,6511,2024-05-13T07:50:25Z
@roronoazoro8669,Saved my ears and the people. True Hero fr,7,2025-02-23T14:33:54Z
@kennyhickman2733,The awareness to pass him the mic right away is class bro,53792,2024-04-23T05:20:14Z
@SealWithoutHat,"These lyrics go hard, my favorite part was &quot;EVERYBODY PLEASE GET OUT OF THE STREETS&quot;.",239202,2024-03-07T04:50:03Z
@Hiyjjbro,Bro was dedicated to his craft. Mad respect.,24757,2024-03-13T17:14:13Z
@SaskiaTheBoss,“but they’ll be eating these bars a 100 years from now” flow so well right after 🔥🔥🔥🔥🔥 keep him in a remix 😂 moment was too raw!!!,23,2025-02-04T10:06:27Z
@westiegames,Thats a man who cares about his job and people’s lives. Give him a raise NOW,2637,2024-12-20T01:25:10Z
@leshuncross9238,I love lil interactions with two strangers helping eachother out like this,7195,2024-03-17T18:52:36Z
@broken.native5001,Sincere worker with a great attitude god bless him,4659,2024-05-29T13:09:22Z
@MarvinWoods-j4h,New subscriber because how chill you were,2,2025-04-14T22:36:06Z
@AlexReger-nt8eq,“Cant care about safety if you dont listen right” was a cold bar bro💀,109912,2024-07-18T01:35:43Z
@VEKA_REAPER,Bro had to make a public service announcement😂<br><br>Fr tho people listen a little it helps,38435,2024-02-25T23:33:45Z
@andrejka_sacred_coach,it is so rare that an entry level worker keeping people safe actually does his job. God bless both of these men.,6189,2024-05-13T20:59:46Z
@schoolV4250,that southwest 737 had some perfect timing,2,2025-03-31T15:59:28Z
@cokomairena,He is so pissed and so polite at the same time lol,65449,2024-07-05T13:55:08Z
@Ricoenamor-t1x,Safety guy deserves a raise,15446,2024-03-27T05:14:38Z
@Officer_skittlez,"Vibe check = passed<br>&quot;Can&#39;t care about safety if you don&#39;t listen, Right?&quot;",6949,2024-02-29T12:20:34Z
