Author,Comment,LikeCount,PublishedAt
@BobsurUncle1117,That was the most aggressive &#39;GIMME PIECE!&#39; I&#39;ve seen yet. 😂😂,37222,2025-02-25T01:33:15Z
@phiaink724,I&#39;ll never get sick of seeing this baby fight a grown man for that icepop 😂 the rustle of the packaging gets me EVERYTIME 😂😂😂😂😂,22785,2024-08-25T21:59:49Z
@SHANELL032007,That baby strength when they want something is crazy! 🤣,239254,2024-07-05T18:53:06Z
@SpaceCadet2212,"As adorable as this it, it truly showcases the power sugar has",652,2025-03-21T00:57:22Z
@SimpxSlayer,The baby had gained magnificent strength.,11362,2025-02-20T05:33:09Z
@timesfly1081,That pause while waiting for them taste buds to fully process the new flavor got me rolling 🤣,26818,2024-08-17T04:06:46Z
@soukainalamtkhame9875,It went from a normal moment to a “GIVE THAT THING RIGHT NOWWWWWWWWW!😂❤,19473,2024-05-12T19:40:44Z
@dangerousangel777,I love to see dads being there for their kids 🥺🥺🥺💕💗💕💗,39,2025-03-25T03:43:47Z
@DamoniMckoy,That boy said give that shit back<br>😂😂😂,131138,2024-05-16T00:38:59Z
@nikkibaby726,That baby discovery of life outside of milk bottles is insane 😂.,63908,2024-05-12T17:32:24Z
@LIVE_Concerts_STL,His lil brain was like.  I know you fucking lying 😂,19402,2024-05-25T17:17:39Z
@BrodieB762,Awwww 🥹 the cutest kiddo ever!! That reaction is priceless..,21,2025-04-07T05:31:38Z
@sharriceowens913,The struggle to get that popsicle back was REAL!!😂😂😂,91766,2024-05-17T21:14:28Z
@kaki_maki403,The frantic grasping at the packaging in an effort to score the popsicle again had me 😂,48303,2024-05-29T22:07:18Z
@MelissaKrystal,Baby boy was ready to fight for it 🥊 his motor skills went for 30 to 80 real fast.,37669,2024-05-28T18:24:13Z
@RuthenianGreekCatholic,This is wholesome. God bless this father and child.,36,2025-04-17T02:23:15Z
@shystriker,The withdrawal symptoms have already started kicking in 😂😂,22079,2024-05-21T11:11:02Z
@airborne444-s1b,Unbelievable pure comedy this is one of the funniest babies reactions I ever seen in my life🤣🤣🤣🤣🤣,3280,2025-01-24T00:33:05Z
@LoveMae1222,I&#39;m not ashamed to say I watched this a crazy amount of times 😂😂 laughing every time baby needed more,1999,2024-05-19T23:35:54Z
@rebeccalamky4501,I love that baby .... Popsicles are life ❤️,5,2025-04-09T15:27:56Z
@TGR-s1o,I have never seen more determination from anybody than this one baby,897,2025-02-25T14:41:54Z
@S.A.Almousawi,He instantly became addicted 😂😂😂,5563,2024-06-04T20:41:41Z
@QueenModa1,Hahahahahaha baby went from &quot;my goodness&quot; to &quot;My Precious!!!&quot; Real fast😂😂😂😂,1396,2024-07-31T13:45:26Z
@MrMelGaza.187,Aww babies are so adorable‼️ <br>Makes you want one‼️💞💝🙏💪🗣️🗣️🗣️💯,1,2025-04-18T20:42:42Z
@trudymcewen9801,That little man can really put up a good fight for that popsicle.,2327,2024-08-13T19:25:29Z
@LanijahGenae,“Gimmie dat shii” 😂😂,1071,2024-06-03T22:27:12Z
@emileewooten3874,I needed that wholesome giggle! THANK YOU!,1514,2024-06-01T03:31:23Z
@MrMotoShark,In one lick an entire life of stable dopamine reception was shattered 😂😢,14,2025-03-27T00:00:38Z
@ms.j3457,"OMG, This baby ain&#39;t playing.  He&#39;s so adorable!❤",1229,2024-05-27T04:39:52Z
,"bro was FIGHTING to get that back, rippin up the plastic and everything 😭",1184,2024-05-19T04:41:40Z
@kyriechandler384,The frantic baby arms once the realization set in! I died laughing,493,2024-07-23T10:40:32Z
@DaniellaRussell-p2e,I love it this baby is so cute 😂😂😂,1,2025-03-11T01:06:28Z
@jacobs9129,"&quot;Mmm, that&#39;s good.&quot;<br>&quot;THATS REALLY GOOD&quot;",2261,2024-09-30T19:23:34Z
@kaisenvoid,the pause and sudden realization that the Popsicle is delicious 😂<br>so wholesome,5820,2024-05-20T22:02:34Z
@reginamachamer821,The sound of the plastic crinkling somehow makes this even funnier 😂,2149,2024-10-12T04:44:49Z
@OnlyAnime-p5q,His reaction made me laugh 😂,1,2025-04-01T15:28:52Z
@guaybique4210,"Babies are unreasonable, he wasn&#39;t even trying to be polite 😂😂😂",977,2024-07-19T06:14:55Z
@RizzardOfOzzz,He looked at it and his mind was like &quot;It&#39;s a whole new world 🌎 🎶 🎵 &quot; 😂😂,792,2024-05-23T19:12:46Z
@iiMAGINExThis,Pure determination in that baby’s eyes lol,267,2025-01-30T03:05:24Z
@Sylarisazeldamaster,Why is this so wholesome,1,2025-03-11T01:52:20Z
@AdamSpence-sk9dt,He said &quot; Where you goin with that? Hold on bro... bring that sh*t back!&quot;,1767,2024-11-30T21:36:40Z
@boxertest,"All his taste buds came to life, precious!!!😂😂😂",2071,2024-05-27T22:43:16Z
@rigotracymedinavelasquez593,"I&#39;ve watched this 10 minutes straight and I love it. That baby said, &quot;wait a minute!&quot; LOLOLOL....sooo adorable",736,2024-05-31T11:58:53Z
@TheCriticalVirgo,Babies have crazy grip strength for their size!! Love how quick we went from “ohh that’s interesting “ to “I need to try that again like right NOW!” 😂😂😂,2,2025-04-03T14:08:34Z
@billy3876,So very precious! Our little ones grow up so fast. Cherish every moment!,89,2025-02-09T21:26:08Z
@hyperblox77,Bro said “give me that sh!t”😂😂😂,2369,2024-05-17T01:22:40Z
@Mr.Walkanihdown,The way he just jumped to grab it got me dead😂,770,2024-05-26T02:50:03Z
@GwendolynPorter-w6c,"Duh, Duh, Duh , Duh!!! Superbaby snatches ice pop from anatagonizing daddy!!! 😂😂😂 Did y&#39;all see his little muscles flex??? 💪🏾💪🏾😂😂😂",0,2025-04-16T15:12:17Z
@alexwgauthier,"This is so great. I am a father of a baby too, and every time I get to see my son experiencing something he loves for the first time it is such a fun experience. Today it was Kiwi.",890,2024-05-26T07:23:42Z
@Msjamariabrown,Baby Boy like &quot;RUN THAT!!!!&quot; This never gets old❤❤❤,466,2024-05-28T20:15:01Z
