Author,Comment,LikeCount,PublishedAt
@YoussefTaleb-qn8uk,New skill unlocked the American hot water,30155,2024-08-27T09:32:44Z
@Kurtbird1,Oh thats how they put it on cans and bottles😮,19449,2024-08-25T03:53:08Z
@NAHIDVlogBD423,𝐇𝐨𝐭 𝐰𝐚𝐭𝐞𝐫 𝐩𝐨𝐰𝐞𝐫💪,7768,2024-08-23T01:46:37Z
@kirandsouza3529,"Hot water magic, you don&#39;t understand when you feel hot😂<br>When your 5 inch nerves feels that😂😂",143,2024-08-25T18:41:59Z
@dikshantrathor6291,999+ missed calls from industirial bussniss mans😂😂,281,2024-09-22T16:12:33Z
@Based_Face,My sack does the same exact thing in cold water.,2146,2024-08-28T02:13:25Z
@larstreat8650,"Yes this is how they put labels, just dont forget the vortex. Its the most crucial part.",875,2024-09-23T12:31:20Z
@maqaimayes8800,"if you look at the chinese symbols you might ask, “what does that mean?” well the symbols 热开水 means hot water. 热（rè） means hot and 开水（kāi shuǐ） means boiling water 😃👍🏽",972,2024-09-20T12:32:26Z
@zaine6669,Company: &quot;American Power Train Soda&quot; <br>The faucet: clearly showing mandarin,421,2024-08-27T01:45:38Z
@christian-r9o8j,POV: me turning a shampoo to a coca cola with this stickers💀💀,115,2024-08-25T09:31:11Z
@SweetKaren-zq49z,"This video is truly next level, so good ❤️  <br>👇",28,2025-05-03T00:18:02Z
@Giova104,Thank you for shaking my beer,50,2024-09-24T16:02:31Z
@yavaland4121,The beat synchronized 😮,585,2024-08-25T08:01:53Z
@Itsnot1c,Random Commentor:<br>&quot;American Hot Water Power!&quot;<br><br>The machine&#39;s origins: 🌏🌏🌏,71,2024-08-28T08:29:49Z
@SweetElizabeth-jquwo,Who else just can&#39;t stop smiling after watching this? 😊<br>👇,17,2025-05-02T23:10:25Z
@boingotlomokgethi5605,Was I seriously the only one waiting for the Soju opening technique?🤣🤣🤣🤣🤣Like I was so ready,483,2024-10-27T15:24:09Z
@RK-fy4yo,That&#39;s why my beer sometimes tastes funny 😂😂,39,2024-08-27T01:02:53Z
@dr.driller5373,At least he didn’t put the picture of Einstein with it,28,2024-12-10T07:42:20Z
@e1_vemoss70,"I work in a factory, and there is a sleever machine that throws the sleeves on, then a big  heat machine that the bottles go through to melt the sleeves on",105,2024-10-02T07:14:39Z
@SweetSandra-ur3yx,"Can&#39;t believe how awesome this video is, totally hooked ❤️  <br>👇",31,2025-05-03T00:48:46Z
@magnusnielsen2648,Never would have worked without shaking the bottle,20,2024-11-14T16:01:40Z
@Asia_idkfrfr,youtube algorithm: she&#39;ll just watch anything at this point<br><br>edit:149 likes?? not expecting that but tyyy<br><br>edit:479 LIKES WTH??!?!<br><br>edits:696!!?!!!?!?!?!??!!?!,790,2024-08-28T21:13:42Z
@SteelOnyxYT,The fact that they left in the bottle falling over is pretty funny lmao<br><br>Super sick design!,41,2024-09-23T21:52:13Z
