Author,Comment,LikeCount,PublishedAt
@EbrahimMohamed-7,The kiss at the end… Perfection❤❤🎉,35460,2025-02-05T16:07:30Z
@Ayeshah28,"Work harder,not smarter.<br>                <del>🐐Michiel</del>",9298,2025-02-09T12:34:37Z
@JDJOYONTO,That kiss at the end.......so😘,13957,2025-02-05T16:12:29Z
@TshepoLetsoalo-s8z,That kiss at the end what&#39;s so cute Michael you&#39;re the goat😂😂😂😂 and Celine🎉🎉🎉🎉🎉🎉,518,2025-02-10T15:04:04Z
@Footepick,Celine working hard✅️<br>Michiel working smart ☑️,6133,2025-02-05T16:17:19Z
@AdrianLeaks,"Celine: start short and go long later<br>Michiel: start long and go short later<br>Both: roughly same distance covered (Celine was slightly shorter because she took a straight line path while Michiel had to move around the balls in the way, but Michiel was faster regardless due to his speed, and ended up finishing faster than Celine.",1538,2025-02-06T06:32:16Z
@sagarkumarbiswas2691,Finally.....Messi kissed Ronaldo 😂❤,3819,2025-02-07T02:41:54Z
@Anderson-e3j,The kiss at the end... Perfection❤️❤️🎉,2,2025-03-08T15:56:07Z
@md.mostakim-l8q,The kiss at the end… Perfection❤,0,2025-03-10T11:32:29Z
@sharadkhisti6406,The kiss that end was so cute ❤❤❤❤❤,653,2025-02-05T16:10:46Z
@Eric-e9e9r,That kiss at the end was unexpected! 👌👌,946,2025-02-05T16:02:39Z
@mahamantraghosh8543,Michiel here was the perfect definition of &quot;trust the process&quot;<br><br>i needed this RN. Thanks,91,2025-02-09T10:30:16Z
@grazontv7164,That ending with that kiss 🫠,1,2025-02-15T19:36:53Z
@可,The kiss at the end was worth it all. Michiel and Celine are relationship goals.,27,2025-02-11T13:13:02Z
@ABD.KAZMOZ,LET&#39;S GET CELINE TO 50 MILLION 🎉❤❤,185,2025-02-05T16:04:36Z
@abrar_739,اول نهايه اتوقعها😭😭💞,28,2025-02-08T13:38:17Z
@sankalpsingh9009,Michel got his reward 😂,35,2025-02-05T16:28:58Z
@Lucid_Dreaming87,OMG that kiss at the end. So cute 😭❤️,0,2025-02-15T20:36:11Z
@Victoriakolaneci-y1y,"The most PERFECK 😍 BEAUTIFUL and natural PERSON I ever seen. Her vibes, her eyes SMILE 🌈🌈❤❤",1,2025-02-14T08:38:56Z
@MRBALIII,Michiel is the goat 😂,194,2025-02-05T16:02:29Z
@MuhammadMuaazbhiyani,As usual last moment is hilarious and unexpected 😂 😂😂😅😅😅,37,2025-02-05T16:08:35Z
@rukhsanaa_01,Perfect example of working hard first then the way will be easy ❤,703,2025-02-07T19:24:40Z
@molekamomponngaeunice,Your couple is so cute and your kiss at the end was too cute,0,2025-02-09T21:37:45Z
@SequoiaFerry-x9p,The kiss at the end was so cute 🎉❤,0,2025-02-10T07:53:21Z
@CRAFTS-z5f,The kiss was unexpected 🫶❤️👇,204,2025-02-05T17:29:14Z
@ميرياناموسى,سيلين تعمل بجد ✅<br>ميشيل يعمل بذكاء ☑️,375,2025-02-09T04:40:10Z
@Eric-e9e9r,The Kiss at the end... perfection!🎉🎉👌,118,2025-02-05T16:03:14Z
@Aditya.204,That kiss was very very very amazing ❤❤❤❤❤❤❤,5,2025-02-10T15:24:19Z
@Gaberiella-o1y,The kiss caught me off guard put that was absolute perfection,0,2025-02-10T20:00:57Z
@MRBALIII,That Siuuuu  was so funny 😂,69,2025-02-05T16:03:15Z
@PeppaPigoinkoink1,Definition of working &#39;smarter&#39; not harder🙌,757,2025-02-09T04:46:44Z
@Ela_nnnn,A true example of “WORK SMARTER NOT HARDER”🗣️🗣️🗣️,40,2025-02-05T16:44:53Z
@falconfalcon4417,That kiss at end won her .,1,2025-02-12T22:11:52Z
@pintuhossain4392,That kiss at the end....... So 🥰♥️,0,2025-02-11T14:44:57Z
@amithabanu1152,End is hard😈<br>End is cold 🥶 <br>End is crazy🤪 <br>End is perfect 💯<br>End is romantic❤,193,2025-02-09T08:35:24Z
@Eric-e9e9r,Let&#39;s get Celine to 50milion subscribers 🔥🔥🔥🔥🔥🔥🔥🔥,40,2025-02-05T16:01:59Z
@iffgaming7068,Celine fast and furious always 😂,12,2025-02-05T16:02:21Z
@AOguzDemir,That kiss at the end is a fire starter,1,2025-02-12T11:44:48Z
@dipanshudc5625,Man never loses a chance,1,2025-02-10T07:06:49Z
@sodiqojo7729,"He did hard task first then , work get easier 😊😊",1,2025-02-23T18:54:52Z
@PallabiBarman-t6b,The kiss at the end...parfection ❤❤,17,2025-02-09T14:14:21Z
@Princess76f8,<b>The kiss at the end is so cute 🥰</b>,5,2025-02-05T19:44:29Z
@torienelms7590,"Michiel talking to Celine: “work smarter, and a bit harder” <br>Wise words from Michiel 😅",113,2025-02-09T01:54:54Z
@pashupati55,<b>An agressive kiss</b> 😂😂,1,2025-02-11T02:25:55Z
@AmarGaikwad-g1u,Last wala mera favourite😂❤,0,2025-02-24T07:40:46Z
@SyaqinaQina-n1d,That kiss at the end was so adorable 😊❤,9,2025-02-06T14:08:28Z
@OMGFUNNYLOL566,why did I think they were sibling until this,40,2025-02-05T20:41:29Z
@AshishKumar-xd4tf,Michiel 🙅🏾<br>G.o.a.t 🙆🏽☠️,32,2025-02-05T16:15:10Z
@Cosmic_Extinct_yt,Finally my feeds are healing and the kiss at the end was a perfect win,0,2025-02-10T21:38:48Z
@VanLe-nd2ci,The kiss so cute❤,1,2025-02-11T05:29:07Z
