Author,Comment,LikeCount,PublishedAt
@YouTube,wait can you show us like 100000 more times? we missed it haha 👀,32282,2024-08-09T15:57:38Z
@oedentertainment,That was so smooth. I didn&#39;t see it at first.,16165,2024-08-09T16:40:07Z
@SniperProThe2nd,Who saw the dollar <br>👇,8171,2024-08-08T06:27:02Z
@kukayakinpastijadi,She’s literally like your Christmas gift❤❤❤❤❤❤. She’s also so cute.😊😊😊😊😊❤❤❤<br>💛💛💛💛💛,10,2025-01-21T04:39:25Z
@Tanjiro_2k08,"For those who don&#39;t understand, he had a piece of money under the cup and one behind his ear. He lifted up the cup a few times and then flicked his head. When he flicked his head, the piece of money behind his ear fell on to the table and he covered it up with the cup. He then took the other piece of money that started under the cup and acted like that was his trick but it obviously didn&#39;t look smooth. He did that to distract the girl while the piece behind his ear fell. Then the girl looked back at the cup and the boy lifted it up and the piece behind his ear was thier.",88,2024-08-09T03:38:53Z
@Rocks46GAMING,Who saw the dollar in his ear 👂<br>EDIT: Omg thanks for 9.6k likes . this is my highest ever likes I have got . thank you so much 😃,10560,2024-08-18T08:38:57Z
@Xenonnave5779,That is some impressive slight of hand there. Well done!!,3887,2024-08-07T23:08:53Z
@SweetHelen-kv6vg,"Incredible effort put into this video, love it ❤️  <br>👇",31,2025-05-03T00:33:01Z
@amaaaarah,For all the people dying “The dollar is in his ear” HE KNOWS he’s just showing us her reaction !! ⚠️⚠️,2493,2024-08-27T15:37:04Z
@MeyRiska-q3r,Wah. Sanan.  Pintar. Sekali.   😱😱😱😫🤗🤗🤗😁😁😁😁😆😆😆🤫🤫,21,2024-08-22T01:20:54Z
@JUKEDYOUVR,Blud really found the duplication glitch💀,408,2024-08-08T06:12:34Z
@AngieSalinas-md6qj,😂😂😂😂 delivery see the money in your ear😂😂😂,88,2024-10-27T20:15:01Z
@TheGIitched0ne,"For those who don’t understand the trick, on the last time, he uses the cup to grab the dollar from his ear as he visibly takes the first dollar from the table while the other dollar is in the cup.",328,2024-09-09T00:57:50Z
@itsladybee9700,Well done congrats 😊,4,2025-04-08T06:17:28Z
