Author,Comment,LikeCount,PublishedAt
@doof-the-chonk,"I have so much raging jealousy for your shoulder mobility and strength 🥲 You go, girl!",865,2024-05-06T05:59:28Z
@tommynikon2283,INSANE ability and strength; kudos!,11761,2024-05-14T03:39:48Z
@cristianepaula9751,&quot;I DID IT!&quot;<br>&quot;i forgot the pen ☠️&quot;,26629,2024-05-03T23:51:10Z
@blakestinson9870,You have insane strength!😮❤,32,2024-11-03T14:11:12Z
@Payton_living,"I remember watching you on Ninja Warrior, u go girl",8171,2024-05-01T09:58:43Z
@Christfollower3456,The video:😃🤭<br>The title:💀,37141,2024-04-30T23:16:50Z
@smolll_beannn,I love how calm and controlled that flip was!!,1815,2024-05-04T14:50:55Z
@Fotogonch,Я никогда не была в такой прекрасной физической форме😮 Наверное это восхитительное чувство 🤔,7,2024-10-24T12:43:07Z
@Basketballgirl0430,You made that look so easy 😅,6537,2024-05-02T20:35:12Z
@jwvandegronden,What?! That seemed effortless but that takes a shitload of power to accomplish! Impressed!,1467,2024-05-06T19:00:20Z
@AMaRaChung,The way she flips is so amazing..❤,644,2024-05-08T04:40:55Z
@ВикторияБородинова-щ1ш,Это выглядит так легко и непринужденно. Сразу видно сколько сил было вложено в такое мастерство владения телом),106,2024-12-01T07:00:00Z
@ART85713,"Gosh, you made that look effortless. You&#39;re amazing.",2180,2024-05-05T00:17:19Z
@keithmcguire799,That finish was top notch!!!,918,2024-05-14T20:16:53Z
@khasidailyfact6371,That was smooth as hell!😮,517,2024-05-09T05:47:50Z
@lovingmayberry307,Good job girl!!  👍😊,4,2025-02-07T02:10:48Z
@Lou-C,My toxic trait is thinking I could do this with ease.,2559,2024-07-25T19:31:08Z
@dhimanthiherath,She makes it look so effortless!,289,2024-05-07T12:30:31Z
@sidknee4975,She one of the best ninja warriors in the world.,533,2024-05-04T00:55:20Z
@LeSpatiocorne,"Bro&#39; she didn&#39;t beat the wall, she obliterated it.",537,2024-05-03T11:16:37Z
@BradyAntoinette,Your creativity is through the roof!,50,2024-05-18T16:34:29Z
@beccaselman555,People that do not have disabilities should cherish like this woman. I have multiple sclerosis. It&#39;s uncurable. Basically my immune system attacks my brain and spinal cord causing paralysis. It&#39;s getting harder to walk. I want to be like this person or just even be able to take a walk every day. Please cherish your body if you have no disabilities.,1733,2024-08-28T19:12:27Z
@JoaquinDawes,All the names on that board are bad ass for sure that rotation did it for me,4,2024-10-29T21:37:19Z
@juchlu3081,"She not only beat the wall, but she looked great while doing it, almost effortless. And then, to top it off, the back flip at the end - amazing.",203,2024-05-13T20:34:39Z
@Odurs,That was pure talent and skill in action. Incredible!,168,2024-07-31T22:53:24Z
@missylew910,The flip<br>The laugh<br>Priceless,27,2024-07-31T22:43:36Z
@Jonnyktmusic,Damn bro is STRONG 💪🏽,46,2024-10-28T00:24:53Z
@mrmidnight32,Went from eh what ever to a fucking boss in 2 moves 🤣,148,2024-05-16T16:51:32Z
@melindarobino2930,That back flip pulling your full body weight was most amazing to me. Made it look easy.,105,2024-05-07T15:46:58Z
@mia_mia.259,Bruh i thought it was just showing how talented she is and then i read the title💀,112,2024-05-04T05:38:33Z
@hildataniarosalesmancilla1960,WOW!!... Que condición y que fuerza en sus brazos 👏🏻👏🏻👏🏻,0,2025-04-15T03:36:27Z
@genyrose.i,WOW. HOW on EARTH were you able to do that ALREADY INCREDIBLE body pull up on such a TINY ledge?! That is some CRAZY core strength!,421,2024-05-05T15:15:17Z
@СветланаШкарапут,Фантастика! Как это она легко сделала!!! Просто великолепно! Молодец!,283,2024-05-09T18:02:18Z
@HowardECowboyN,Your videos bring so much joy. Thank for being a wonderfully positive force in the world.,38,2024-05-09T14:34:33Z
@Teganwhite123,You go girl !!!! ❤,3,2025-01-11T13:50:37Z
@AiresLamb,You have a natural charisma that draws people in.,30,2024-05-13T11:07:57Z
@ClareJulius-q6v,Can&#39;t get enough!! Never stop!,188,2024-05-12T09:31:15Z
@kennethadkins-pm5ud,That&#39;s<br>Crazy 😮 I&#39;m proud of you👏,13,2024-07-21T18:33:02Z
@hikkkies,Awwww that looks super smooth❤❤❤❤❤😮,1,2024-10-24T08:02:27Z
@evettechauvineau6807,"I am a big fan, I watch you on ninja warrior",275,2024-04-30T09:21:31Z
@LolLol-xs5jb,Did that wall have a 50 year old on it? Cool,92,2024-05-01T21:34:36Z
@conniebonds4957,Awesome!! I couldn’t do that even in my wildest dreams. 😕,90,2024-04-30T19:15:26Z
@tereseczimbal8099,That turn and flip😮  AMAZING 😊,0,2025-04-15T23:49:17Z
@Deborah-pc4zy,"PHENOMENAL ACHIEVEMENT! U ROCK KEEP THE ENERGY, FLOWING!😂",32,2024-05-12T03:56:08Z
@patvanquish4586,That is such an excellent technique.  Far better than a straight pull with a slight overhang.  So impressed.,8,2024-05-06T15:03:42Z
@MontanaCowGirl,😂😂😂🔥🔥🔥 that&#39;s called doing it with style 👌,52,2024-05-07T22:11:41Z
@hoyts.119,Give her a spot in American Ninja warrior!!🤪❤️👍,3,2025-03-18T17:50:47Z
@Gaiety-q8p,I&#39;m so grateful to know that there are many people feeling this way,7,2024-05-17T08:07:13Z
@natali9497,Пересмотрела несколько раз. Как легко и изящно она выполнила это. Сильная и красивая ❤,166,2024-10-16T11:58:01Z
@Monkey-macaco-saru,Wow! 👏👏👏🤩🤩🤩<br>The finish style is very good!!!😎🤙❤️‍🔥,7,2024-05-14T06:04:59Z
