Author,Comment,LikeCount,PublishedAt
@namos2137,LOOP GEAR SK05 Flashlight,30,2024-12-14T23:23:31Z
@ryanford592,Flashlight - amazing fidget flashlights with INSANE performance/abilities.  My hat is off to you LOOP GEAR !...... And now i drool 🤤🤤🤤,3,2024-12-20T08:36:10Z
@poolgod80,where can I buy it and how much?,12,2024-12-13T05:17:22Z
@trafficking2596,"So this is how Jedi&#39;s change lightsaber colors.  I see, I see.",2,2024-12-22T04:39:08Z
@AyAhmed,What is this?,45,2024-12-12T14:10:25Z
@HbhfHdidnf,homosexual flashlight,1,2025-02-09T22:24:52Z
@sreeshaiyer596,"I don&#39;t know what it is, but it looks cool and lowkey so I&#39;d like to have it.",3,2024-12-16T06:32:46Z
@TheAdequateMedia,i know you&#39;re a content expert. are you forcing us to use google lens to figure out what this is MR Hublot wearer,27,2024-12-12T14:44:24Z
@HAMDIMAHMOOD,"Am Very excited to get it, I will order in Jan",1,2024-12-12T20:54:26Z
@Salty_Berserker,What does it do?,2,2024-12-17T14:30:51Z
@sinchan100,"if you are high use that thing, that&#39;s why legend had it.",0,2024-12-18T22:46:53Z
@Snuffkkin,So its an unnecessarily high tech flashlight made my gamers?,1,2024-12-17T15:51:25Z
@MakeBritainGreat,It’s a Loop Gear SK 05 flashlight.,7,2024-12-13T16:18:57Z
@MRRUCKERCHANNEL,is it a vape?,1,2024-12-14T21:04:49Z
@lylemarcus3097,I was waiting to see a light saber popped out 😢,0,2024-12-17T14:10:46Z
@macthesmac,I want it but I absolutely do not need it as I have their flagship item 😢,1,2024-12-12T17:06:38Z
@HemanthKumarJadhav,Court should say be offended.,0,2024-12-16T18:35:33Z
@BoDiddlydodah,Still waiting.....,0,2025-03-17T08:26:04Z
@KASHKUR_7.62,a glorified tactical insertion...😅,1,2024-12-15T17:58:59Z
@mycoolbeernuts6870,Wow - The Power Source from the Future!,0,2024-12-12T14:35:22Z
@undertupper5708,"baru liat video ini, isinya daging semua, langsung gw subscribe bang",0,2024-12-17T13:32:28Z
@Unknown.lawliet,It’s a new lens for your camera,0,2024-12-12T17:11:45Z
@ninadakiato,Literally POINTLESS,0,2024-12-17T16:45:58Z
@mickeyavi515,Amazon isn’t shipping the pro versions,0,2024-12-12T22:34:03Z
@peterhoness9479,A bit of colour changing junk.,0,2024-12-19T06:14:14Z
@vincenzo47.47.,???,0,2024-12-18T01:28:38Z
@DJKingShogun,suk kok 05,0,2025-02-09T11:39:48Z
