Author,Comment,LikeCount,PublishedAt
@DANCEYT680,100k hone wale hai pin kar 😂😊❤,21,2024-09-28T05:15:03Z
@Mayankgrandmadara,Thanks Bro it&#39;s amazing 🤩🤩🤩🤩🤩🤩,3,2024-09-30T10:06:46Z
@zebajamshaid,ao bhai shahab are babaa,4,2024-09-27T12:40:31Z
@Nikunjo_584,I LIKED,3,2024-09-29T07:39:18Z
@wastedwife3052,Very good 👍,0,2024-12-11T17:03:16Z
@badass7823,Beautiful video<br><br>😅😊😅😮😢🎉😂😂,0,2024-09-30T04:06:45Z
@XxMoonlight225,I like the trick,0,2024-11-18T15:30:03Z
@SYTGAME,👿👿👿👿🥶🥶🥶🥶🥶🥶,2,2024-09-30T06:33:54Z
@priyanshu-art-up,😮OMG🤔🧐😱,1,2024-09-27T16:02:00Z
@mdtamijuddin8236,I already know that😊😊😊😊,1,2024-09-29T09:47:21Z
@awadheshbaranwal1042,It is worked,1,2024-09-30T11:29:27Z
@elizabetmalqui408,Es muy bueno,1,2024-10-03T03:05:03Z
@Lordlucifer.12,Thanks for 179 subscribers 🎉🎉🎉❤❤,2,2024-09-29T12:03:15Z
@JairoSegundo-p5h,O😮😮😮😮,0,2024-10-19T20:59:52Z
@AnulkhasamMd.AtaulHaque,😮😊😮😮😮😮😮😊😮😮😮😮😊,0,2024-10-02T03:49:27Z
@Tülay-d2r,😱😱😱😱😱,0,2024-09-28T19:40:37Z
@FOOTBALLlovers-10.,Are Baba!🤣🤣🤩🤩🤩🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,2024-09-26T10:33:35Z
@ProGang77-shafi,Comment 😎.     Troll face.          Por,1,2024-09-30T17:45:08Z
@Muhammadyusuf_93_05,😂🧐👍🏻,0,2024-10-05T15:34:32Z
@Roop_shingarharbalparlourMeenu,😮😮😮😮,0,2024-09-30T16:27:36Z
@phuongvo8338,Nice❤,0,2024-09-26T09:25:23Z
@rahulkingmp2,Real ❤❤❤,0,2024-10-03T10:30:51Z
@nizamshinwari_19,Eazy 😂,0,2024-09-30T22:05:31Z
@SoumiaOunissi-jh2mu,Bjr zina ça va racim Omri rah b&#39;khir Sousa k&#39;bira lih 😊,0,2024-10-05T01:15:26Z
@ketanketan3122,❤❤❤❤❤❤❤,1,2024-09-26T06:57:26Z
@zainabmustafa6thb417,I already know this trick please 1K like😢😢😢😢,2,2024-09-29T18:25:36Z
@KuldeepSingh1-q4b,I already know this trik,3,2024-09-27T14:20:54Z
@RonibalaKhaidem,Mere ko bhi aata he,2,2024-09-28T12:46:34Z
@Itsrealexpert,Op❤,1,2024-09-27T18:58:44Z
@ashwinimestry4764,😊,0,2024-09-30T05:51:27Z
@JODFF986,😂😂😢😢,0,2024-09-30T03:30:37Z
@Smithinggamer,Good But Sayad Guys Iske Liye Rubber Band Badi Honi Chiye Tabhi Ye trick Ache se Kam Karegi,5,2024-09-24T15:05:45Z
@netramd.d.a910,Humko see Kalia,2,2024-09-28T12:57:30Z
@Iconice_ff,Allah hu akbar ❤❤,6,2024-09-27T14:02:09Z
@ireshaherath1931,Elane,1,2024-09-28T09:04:19Z
@RayyanKhan-ye9jo,😢😢😢😊,0,2024-09-29T08:21:11Z
@USHADEVI-rg9rk,System hang<br>😎,0,2024-09-28T15:36:58Z
@panwarsaab-vm8jt,1,0,2024-09-28T15:36:39Z
@amityadav77777.,Wow,0,2024-09-25T03:19:27Z
@DANCEYT680,Phir viral hai pin kar 😂,7,2024-09-25T05:13:41Z
@LIVINGHO,Jo Class 5 se karte hai wo like kare,0,2024-09-28T11:49:20Z
@SunDawn-h8u,Lol lol lol lol,0,2024-09-27T04:07:44Z
@AnshuSingh-e6x,😢,0,2024-09-28T16:57:20Z
@Rocky.97,Abe o mere ko na 5 saal pehle se ye aata tha,0,2024-09-26T09:49:55Z
@viratkumar5718,Bro I don&#39;t want this this I did from चाइल्डहुड,0,2024-09-29T16:25:53Z
@AshishSharma-uo6cd,TROLL. FACE,0,2024-09-29T15:44:08Z
