Author,Comment,LikeCount,PublishedAt
@Vfluh,The back guys were more shocked than the girl,5307,2024-08-27T14:26:05Z
@EmptySmartWaterBottle,&quot;How many actors do you need?&quot;<br>Him: &quot;Yes&quot;,2054,2024-10-27T14:36:15Z
@TechnicalHunt-1,Free Fanta promotion 😂,244,2024-10-28T06:10:46Z
@gt_lil_marcos,The lady is surprised like she knows everythang😭,26,2024-11-21T07:31:00Z
@proctopus_x,Magic❌<br>Five minutes craft ✅,1505,2024-08-21T12:33:16Z
@JoãolucasDosSantosfreire,Chris there behind the guy😅,19,2024-11-04T22:56:13Z
@samuelssalgado2,The hub does better acting than that,2645,2024-08-12T02:42:26Z
@saborbrasaa,O Cris da série lá atrás 😂😂😂😂😂,22,2024-11-20T11:26:03Z
@IrwinBurnette,How much did you pay the people in the back 😂😂😂😂😂😂,282,2024-08-29T04:21:20Z
@JoaoGabriel602-YT,The boy in the back watching the magic looks like Chris,1,2025-02-28T22:17:16Z
@BassMullet,&quot;Badly paid terrible actors&quot;<br>&quot;Yes&quot;<br><br>Edit:<br>&quot;Mom I’m known on the internet&quot;,462,2024-09-12T23:06:57Z
@XmetehanXYT,Thanks to Fanta for her acting 👍,46,2024-10-20T16:52:18Z
@Free_Fire_XD-z5r,Fanta❌ Atnaf✅ would you give me a like 😢,2,2024-10-25T00:48:11Z
@aadhinannthamanathe2271,😂😂😂😂😂😂eyee omg 😳<br>Brain you&#39;re tryin xx me 😂😂😂,6,2024-10-12T02:03:27Z
@mcrolie_,after video shoot*<br>”thanks for the acting guys“,1,2024-12-08T12:06:27Z
@MuhDaffa-k5z,Interesting actor👍🏻,8,2024-10-06T07:52:46Z
@ShelbyTheDog11,The boys on the back were shocked even though they didnt saw it😂,0,2024-11-22T15:22:00Z
@Mobile.Player.3000,"The funniest part of this video is that the idiots standing in the back were speechless and said, &quot;What is this guy trying to do?&quot; How did that wooden fog pass through the shish stick? It passed without any water flowing.😂😮😅🤣",102,2024-08-09T21:12:21Z
@joemac8039,Bro the beat sounds like  fanta,1,2024-10-29T08:15:56Z
@قناةمعلومات-ض9غ,فلسطين 🇵🇸 حره ❤❤❤❤,67,2024-08-29T20:10:52Z
@Mr.FunnyCurious-bn6wq,The way he carried out his victory dance was awesome. 😂❤,18,2024-11-01T07:05:53Z
@قناةمعلومات-ض9غ,اللهم انصر اخواننا في فلسطين 🇵🇸 ❤❤❤,124,2024-08-29T20:10:41Z
@ArpitYt_islive,Peacock ❎   ):   :(  ➡️ Shoecock😂,2,2024-10-22T11:00:21Z
@اسماء-ب9ف,Good resourcefulness ❤And his word ❤,3,2024-09-12T13:55:13Z
@sn1pyX,Bro lost 1$ *8 people = $8 in paid actors damn,2,2024-10-24T11:05:08Z
@looneytoastywolf,I love how such fun magic tricks is something simple to make it work<br><br>But i nevet would of guessed that!! Gosh i love magic tricks!,5,2024-08-11T11:53:41Z
@RMFN029,The guy at the back instantly becomes surprised when he looked for like 0.04 seconds,1,2025-01-09T05:27:12Z
@monushivhare-e8j,how much Hard work and technic behind every magic trik 😳 😲 wow ❤❤❤,8,2024-11-15T15:53:06Z
@maxjt3760,How can bro can’t see the camera 💀,1,2024-10-26T09:17:25Z
@Eñañuelado,Tomorrow Jason Derulo will post it on his Youtube channel💀,6,2024-09-29T09:33:05Z
@LeolaKerr,&quot;Hey Bro Do You Have Some Fanta&quot;😐<br><br>&quot; Nuh bro we have some atnaF&quot; 💀💀,0,2025-01-07T07:10:37Z
@Jboss-14,That’s amazing,54,2024-08-10T11:24:40Z
@Halloweenydog,Bro why that drill thing be looking like deku,1,2024-12-19T03:30:46Z
@Des_Playz1,Nice actors btw,10,2024-08-28T06:19:46Z
@EiraRuizCoba,Random people:❌<br>Actors:✅✅,2,2024-12-19T00:43:53Z
@Surfie-u7u,That’s such an nice trick! ❤,5,2024-09-03T17:54:47Z
@FLAGLEVRAI,The number of times he had to pay people to act shocked 💀,1,2025-01-08T15:25:07Z
@PaveGD,That is not amazing<br>That is FANTASTIC,2,2024-10-25T06:39:24Z
@C.O.S-78,"Why does the kid in the back look like Bug Justice, I&#39;ll never get that out my head 😭😭😭",1,2025-01-12T12:58:08Z
@PİYANİSTBanabırak-z1r,Plesa dont buy boycot products free pleastine 🇵🇸🇹🇷,4,2024-09-15T21:36:44Z
@taisam473,Bro was just trying to rizz up the girl <br><br>But got everyone’s attention,2,2024-10-27T16:53:59Z
@NicosZorbus-v8z,❤️OMG!!! WOW i love this trick!❤️,3,2025-01-18T15:56:03Z
@Adithathani,The guys reaction 😂😂😂<br>👇🏻,1,2024-11-01T13:29:16Z
@Matovisk,Houdine: THIS MAN IS NOT A MAGICIAN BECAUSE MAGICIANS DON&#39;T REVEAL THEIR SECRETS 💀 HE IS THE GOAT OF TRICKS 💀,4,2024-09-11T01:02:11Z
@JamalRiki-t9t,Tyler the creator from Walmart behind,1,2024-12-25T09:07:58Z
@GDBSport,Incredible technique cannot stop watching this,3,2024-09-17T08:58:10Z
@TonyRodriguezofi,La inocencia de no saber 😂,2,2024-10-25T02:04:15Z
@산_타는백수,how much did it cost to hire all those people?,3,2024-09-18T16:35:33Z
@ilymiyy,“how fake do you want this to be?” <br>him: yes,1,2024-12-10T14:04:10Z
@AndroMaker_YT,Camera Man:🫥🫥🫥,4,2024-09-16T20:12:41Z
