Author,Comment,LikeCount,PublishedAt
@waynebro7828,&quot;What ? the worm&#39;s not worming&quot; - the hungry bird,12135,2025-02-26T16:00:05Z
@beastgalaxy295,I like to imagine every birds first worm is them finally getting pissed and just biting it,11200,2024-06-24T21:09:50Z
@GavinYT-z1i,Worm: that bird’s not birding<br><br>Bird: that worm’s not worming,2438,2024-12-30T04:22:24Z
@domikku8816,The way it looks at the camera like &quot;do you see this shit?&quot;,3407,2024-12-11T17:47:16Z
@AJ_Adams,“Get in my belly!”<br><br>The instructions are definitely unclear with this one.,4679,2024-07-10T01:01:41Z
@jenibethbaylon5514,"Imagine being the worm, thinking that you&#39;re about to be eaten and the bird just opens their mouth, follows you, expecting you to enter its mouth on purpose😂",37401,2024-06-09T08:53:27Z
@LazyAmericanWoman,the audacity and entitlement is strong with this bird 😂,188,2025-02-03T10:20:26Z
@SirSmokeAlot8866,"The bird seemed pretty convincing in his expectations tho. Even the worm was like &quot;hmmm, maybe i should jump in?&quot;",4221,2024-07-23T13:55:08Z
@gafmatz,"The bird like, excuse me sir you are my food. Proceed to enter into my mouth.",4478,2024-06-14T21:08:36Z
@SharkPup_225,"That bird was shocked, shooketh, flabbergasted, and surprised by that worm not hopping into his mouth.",4308,2024-06-07T22:14:01Z
@unlucky7440,The way he checks his mouth after the first attempt he’s like “mm yep still no worm hmm”,337,2024-12-16T15:51:29Z
@Jay-g8u2b,"The bird was like “you’re not following the script, bruv” 💀",3546,2024-11-02T22:18:45Z
@Why.449,Bird gonna file a complaint his order began running away from him.,8615,2024-06-06T05:24:36Z
@omhh1986,Bro was flabbergasted 💀,3465,2024-06-06T04:18:58Z
@Mezya_fr,Bro looked at us like “you seeing dis?”😂,15,2025-01-03T15:22:19Z
@macrez_ryan,Damn thats unintentionally deep,5389,2024-07-15T07:55:27Z
@gneu1527,&quot;Get tf in bro&quot;<br>&quot;Why you not doing that anymore&quot;,4367,2024-07-03T15:41:34Z
@suet.r.4815,&quot;What do you mean you don&#39;t want to be eaten...&quot;  <br><br>&quot;Really?&quot;,1981,2024-06-23T20:49:19Z
@ItzyourstrulyKatsuju,Looks like we need to get this bird a tutorial on this👌🏾,6,2024-12-16T00:39:21Z
@inventorsam,This is the bird equivalent of having to pay taxes for the first time,2993,2024-09-03T21:23:11Z
@devan2958,The bird be like: this worm didn&#39;t study the food cycle......😅,1581,2024-06-16T15:54:47Z
@nthesage,He’s so confused… he thinks his food is broken 😭,8449,2024-06-28T23:00:10Z
@Evn-xk4hc,Why is the bird in sync with the music💀🔥,5,2024-12-16T23:32:40Z
@squeaktheswan2007,"The bird wants to speak to the worm&#39;s manager for that.<br>Update: Someone else said it before and I had no idea, lol.<br>Update 2:  Everyone kept claiming that they saw me do it first. I dunno, but believe what you want, I guess.",190591,2024-06-06T04:07:31Z
@rianime9371,Bro was living the good life until his parents left,4599,2024-06-13T00:37:48Z
@TenderREZ,he really thinkin hes in a 40’s cartoon where the worms always jump in the bird’s mouth 💀,4032,2024-06-16T13:01:54Z
@DuderinoBroGuy124,That&#39;s the fastest worm I&#39;ve seen in my life,1439,2024-07-02T22:26:11Z
@Peppa75772,"&quot;Come on aahh, why wont you aahh, WHY!&quot; 😂❤",3,2025-03-11T22:33:38Z
@LifeOfSydG,Bro studied eating online during Covid,3531,2024-06-24T05:08:26Z
@jenniferdean3486,Fledglings are the funniest at the bird feeders!,827,2024-06-10T11:40:40Z
@007_Sun_Tzu,The term bird brain in full display here😂😂,1521,2024-07-08T02:46:41Z
@denisewilkins393,That bird had no home learning.❤😂,1,2025-02-21T07:35:31Z
@sadmonkey49,Wait...is this a bird documentary or a worm documentary?<br><br>I don&#39;t know what to feel yet,1683,2024-06-15T21:03:58Z
@mimimills2524,I watch baby Starlings follow their parents around for at least a week each spring.  The parents try to fly away and the babies chase them down.,1642,2024-06-13T21:59:25Z
@anzal3216,Dude studied eating in an online lecture 😂😂😂,2034,2024-06-19T17:46:59Z
@myzone99,Video hits like its not about birds 🫠,5,2025-01-31T18:06:55Z
