Author,Comment,LikeCount,PublishedAt
@abishekkkkkkkk,Love how they didnt even acknowledge Lazar&#39;s presence,117982,2024-07-03T08:25:15Z
@thatllwork_official,Well I hope they enjoyed their first and last collab with Mr. Beast 😅,98471,2024-07-03T13:58:33Z
@sheetgamer6093,it&#39;s all fun until the balloon starts to counter attack,21754,2024-07-10T06:22:47Z
@Kynmu,“you got messed up” with that accent killed me😂😂😂,34,2025-03-10T23:06:26Z
@bernier42,"MrBeast: how bad?<br><br>No mate, how RIDICULOUS",12232,2024-07-04T00:31:57Z
@NirajSahani69,Batman :- Do You Bleed <br>Mr.Beast :- Hell Yeah *,7023,2024-07-12T15:05:48Z
@alext6933,You should have titled this in all caps &quot;we made MrBeast bleed&quot;,10116,2024-07-03T09:23:38Z
@LegoMan-uf7iv,Why is Mr.beast so chill bro,11,2025-02-08T22:45:42Z
@GenerationX-WingPodcast,Rexy: Does over 100 HR vids... still going strong.<br>Mr. Beast: HR breaks him on one short.,3161,2024-07-03T16:38:34Z
@jefferydavidson5347,“All that for a drop of blood”,673,2024-07-12T04:19:07Z
@JonRichie294,It’s so nice to see howridiculous helping small content creators get recognised,2891,2024-07-17T09:48:27Z
@lucasantolik9960,"I dont even care if i win anything, i just think it looks so fun to be on a Mr.Beast challenge 😂",5,2025-02-06T18:47:38Z
@vishalshrivastav1710,Bro literally put sweat and blood in video 😂,1692,2024-07-10T18:41:12Z
@mlgesus8362,Mr Beast got the athleticism of a substitute teacher,670,2024-07-10T18:23:59Z
@howridiculous,Well @@MrBeast isn’t in one piece anymore 😮,1693,2024-07-04T00:15:14Z
@ElDefensa-o7o,160million views is crazy <br>🤯🤯🤯🤯,5,2025-02-01T14:07:16Z
@KyuminHan,Bro&#39;s playing bloons tower defense 😂,1186,2024-07-11T20:29:07Z
@trool109,Mrbeasy doing all the side quests😂,1911,2024-07-07T11:59:38Z
@mindblow791,Its fun until balloons strikes back 😅,430,2024-07-12T12:06:37Z
@Plundererer,Jimmy does these more than anyone else and loses everytime 😂,0,2025-03-28T15:31:17Z
@disbandedamericancapitalis5032,Mr Beast thinking he&#39;s Harry Potter here 💀,2736,2024-07-03T08:28:58Z
@matejsteinhauser3974,They got all lucky these things did not destroyed Their eyesight,369,2024-07-03T10:04:26Z
@impostor101,&quot;why arent they popopin&quot; <br><br>bro put some emotional moment on that tone 😅,185,2024-07-16T01:24:48Z
@ineedthatent5370,Hey hey hey!!!!!!! NOT the face of the brand 😂😂😂😂😂,1,2025-02-04T10:04:47Z
@Chargerburn,Never thought I’d see mr beast in a challenge video 💀,878,2024-07-21T16:13:09Z
@42grath,"I&#39;m sorry, do Australians call them whipper snippers? That&#39;s incredible. I love that.",103,2024-07-12T01:24:01Z
@michaeiprice4911,I find it hard to believe there wasn’t enough budget for safety glasses,155,2024-07-03T12:45:27Z
@JamesBondSnarf,Next level entertainment. I look forward to more original content,1,2025-04-21T18:29:13Z
@Suds1407,First time I’ve seen anyone get hurt at all in ur videos and ofc it’s mr beast 😂😂,172,2024-07-06T05:45:22Z
@CurtisReardon,I only noticed lazar beam at the end saying &quot;it&#39;s so hard to pop&quot;,249,2024-07-07T12:47:05Z
@deanoli4,The HR training really shows,98,2024-07-03T17:02:31Z
@HarshilGoyal-l2j,Mr beast playing his own games😂😂😅,4,2025-04-01T05:02:46Z
@SeriousGaming619,&quot;Bah gawd mr beast have been busted open&quot; 😂,47,2024-07-10T15:58:34Z
@mierwei3402,How Ridiculous collabs are getting better and better.,65,2024-07-03T08:41:20Z
@Henryholmes96,Mr beast x how ridiculous is amazing,282,2024-07-03T08:25:15Z
@mrwonton8,The Bloons finally started to fight back,1,2025-02-18T06:29:58Z
@ikbenrick123,i love how he finds views more important then his head at the end of the video,394,2024-07-08T18:46:22Z
@TheSilliestManAlive420,Jimmy and Lazar doing side quests at this point,51,2024-07-11T00:42:37Z
@tanmaybahuguna9853,Mr beast popping balloons like a child 😂❤❤,76,2024-07-03T08:27:05Z
@ThatLamboDude95,Does anyone else think the warehouse looks so cool,1,2025-02-08T03:36:47Z
@chaosreaper9255,This is probably the first time a challenge ended unfinished ever,71,2024-07-04T05:23:03Z
@seanlindy,Mr Beast destroyed the balloons slower than he destroyed his channel last week,1028,2024-07-30T14:20:23Z
@r-craft3378,"Bro that close up of jimmy did him dirty, bro looks like a vampire",32,2024-11-10T16:10:28Z
@kby234,"At a random sports store: &quot;Aww man, it&#39;s those guys again. Guess we need to get more darts&quot;",0,2025-03-24T13:56:39Z
@MixingFlow,The Dwayne Johnson move at the end was everything lmaoo,91,2024-07-09T14:19:58Z
@Tomboy-m7g,These were the only type of videos i used to watch when i was new to YouTube....<br>They did great !!,585,2024-11-09T18:38:05Z
@Kelii316,I love seeing all of the collabs with Jimmy! 🔥,100,2024-07-16T20:35:26Z
@MyBurger-w7r,No one gonna talk about how satisfying the popping sound of the balloons?,0,2025-02-16T03:13:44Z
@CharlesClark-ex1xy,After all these years it&#39;s still fun &amp; kid friendly to watch..<br>Not many could say this on YouTube 😊,575,2024-12-28T03:20:33Z
@Ben92731,Well I’d be lying if I said I expected this collab 😂,23,2024-07-03T09:44:20Z
