Author,Comment,LikeCount,PublishedAt
@lolapop2010,Neo clawing at the sand like a sand crab. 🦀 😅,197,2024-11-04T03:37:32Z
@BeglieGashi,Omg don&quot;t listen to them are you okay❤❤,1,2025-03-29T07:18:16Z
@opentheboxwithisabella136,Keep your videos up don&#39;t give up just because you&#39;re bad or fit hurts 🤕🤕,0,2025-04-30T17:55:15Z
@YLC_AR4,I love your videos and feel better soon canffamly,0,2025-04-27T10:10:01Z
@noellejurica6916,Hope you feel better❤❤❤❤,1,2025-03-27T12:08:54Z
@Mariah-f1i,I hope you get better,1,2025-03-11T19:45:20Z
@FredrickJR3,I hope you have a great day big dad❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0,2025-05-06T02:49:02Z
@TASMProductions683,Bro the tattoo is cool❤,0,2025-01-23T09:28:37Z
@Clairelindley2526,Niko hope you get better and neo looked like a crab 😂😊❤,0,2024-11-05T19:01:19Z
@hildakay,Abella’s reaction😳😂😂😂,5,2024-11-04T07:21:45Z
@virginiavela9912,I love your family. You all are really awesome. I’m sorry about you back PLEASE get better!! ❤️‍🩹,151,2024-11-04T02:20:40Z
@williebraxton9634,I&#39;m so sorry for you  😭😱🥺😢😥😓😪🤧,0,2024-11-22T21:10:41Z
@lalitamanilall2598,Hope you are okay ❤❤❤❤,0,2025-01-25T17:37:32Z
@YankeeTamayo,Nooo are you okay😢😮,2,2024-11-04T04:06:32Z
@seaannaeiskant,Ablla expreshin is to funny 😂😂,0,2024-12-07T21:46:12Z
@olive6santillana400,Wish i had parents like that..,0,2024-11-24T22:29:20Z
@RayneJ_pretty,Oww😢 sorry but love ur video it warms my heart infact Neo Abella and Crystal Love u so much Can&#39;t forget Nicko ❤,4,2024-11-10T09:31:43Z
@MorganBossert-id1gm,Ouch I bet that hurts man,5,2024-11-04T16:48:53Z
@marineltolentino1739,Me and abella have the same swim suit and I love it 💗✨,0,2024-11-18T05:24:57Z
@mariaali5553,That looks fun but it&#39;s painful I hope u fell better 😢oof!,0,2024-11-23T23:00:11Z
@brookeandrews9245,Neo is so funny 😂,0,2024-11-28T12:04:01Z
@anaisguarderas7141,It looks great 👍🏼 😅😅😅😅,0,2024-12-19T04:17:15Z
@SANTANA2-k5u,Love from the Big Island of Hawaii 🤙🏽💯,4,2024-11-04T02:27:45Z
@AngelineTrejozapata-l1c,Aww hope your back gets better,0,2024-11-11T01:15:31Z
@MilanaFarmer,That must hurt but I want to go to Hawaii to😊😊❤❤,0,2025-01-05T18:51:01Z
@variunzaya2295,Girl i jumped in my back in the pool too i was in real PAIN!!!!😅,0,2024-11-26T23:13:34Z
@adriannebartolome1924,Ur back hurt 😢❤,0,2024-11-06T03:40:17Z
@chamiladeshanee5923,Neo is so cute 😂,0,2024-11-15T13:57:00Z
@darrickrobinson6259,Never back down never what,0,2025-02-02T03:19:38Z
@NoelleLeing,Dad actually one lived in Hawaii for five years that place is beautiful you all are so lucky you get to go❤,1,2024-11-04T22:45:15Z
@PoppyFox-wd7wi,I love your family so much I love your son and your daughter,0,2024-11-04T20:40:41Z
@strikerman9033,They look so cute❤,0,2024-11-28T01:16:07Z
@rishabh527,Crystal is damn beautiful ❤️❤️,5,2024-11-04T08:11:00Z
@Joshrules88,I love your videos keep it up<br>👍🏼,0,2024-12-21T15:47:43Z
@Mark-s3k2b,I hope ur back gets better soon,0,2024-11-15T19:10:57Z
@SuryadevSunil,Hope u fell beter niko,0,2024-11-05T16:59:45Z
@CalvinHarrisH-l4m,Goat I need you,0,2024-12-03T02:13:41Z
@Princessoftheslllllaaaayyywwwo,womp womp get over it man ur grown!,0,2024-12-03T18:25:15Z
@Batsuuri5678,Get well soon😅 🎉,0,2024-11-08T10:12:00Z
@Stupidimp-o7o,Don’t worry I can feel ur pain I did a belly flop in the pool once and it hurt 😅❤,0,2024-11-05T20:51:21Z
@rogerreyes169,I am a big fan ❤,0,2024-11-24T23:17:07Z
@DianaMerlusca,She will say kiss me😂😂😂,0,2024-12-16T18:16:48Z
@Camila-zu5re,Hope your back gets better soon I will pray that your pain will go away,58,2024-11-05T02:10:00Z
@wolfchusquad54,Bro be careful next time❤,4,2024-11-04T02:19:11Z
@SillyHorseGirl13,Get better soon😢,0,2024-11-11T06:12:12Z
@Azasdabest-sw5ff,big bombah 😂💯,1,2024-11-04T08:17:46Z
@DARRENJAMESDeguzman,Neo is swimming in the sand😂😂😂😂 so cute❤❤❤😊😊😊,8,2024-11-21T14:33:17Z
@ImEmmaCupcake,I have the same stitch backpack as amalla,1,2025-02-04T23:54:30Z
@mansakumari8125,Man hell no....physicsssss....😢😢😢,0,2024-11-09T01:14:24Z
@XimenaCuevas-v1l,You good ❤,0,2024-11-29T21:28:21Z
