Author,Comment,LikeCount,PublishedAt
@randhyshopping493,"That girl, she was happy when she got the eggplant",15799,2023-09-24T06:34:24Z
@saraeswar8952,They just acted so realistically even after their phone fell off well before cotton candy in the water😂😂😂,3170,2023-11-17T18:44:55Z
@damn_jxsh,That phone deadass ain’t workin after that. 💀,9824,2024-04-29T14:23:58Z
@threatenintool4940,It&#39;s so nice these disabled people have a place that gives them daily activities to keep them busy bless their hearts!,127,2024-10-19T15:20:36Z
@delisha1.,The last guy was so excited to get his present he was like oh where&#39;s my 😂😂😂😂😂,12,2023-11-06T17:02:48Z
@huhwthell,People who think they wasting cotton candy:<br>👇,10713,2023-11-19T04:56:39Z
@Fun4Lyff,"That one guy with a blue sweater doing Oh Oh Oh for everything, just pissed me off.. 😂😂",1113,2024-05-12T20:25:52Z
@AsifKhan-fy6mv,The last one is me🥲,1,2025-01-29T21:20:01Z
@ChandaniShirodkar,The last guy 😂😂😂😂,31,2023-10-30T15:12:02Z
@biban7990,Lyrics :<br><br>Oh uh ah oohhhaa<br>Oh oh oooooooh <br>Ah uh aaaaaahhhh,1124,2023-11-14T15:09:42Z
@rukeeyabdullah5497,That cucumber was personal 😂,23,2024-05-16T18:26:18Z
@Mayanksrivastav5157,That banana was personal 😂,0,2025-02-28T12:00:09Z
@Shamantha82,👇People who knew the phone was coming,977,2024-04-02T13:16:32Z
@MedalYTLive,Tat guy dropped phone before the candy lol😂😂 😂😂😂,148,2024-09-03T16:43:40Z
@giovanabbrsa,the blue shirt guy in the whole video: 😮,1490,2023-09-27T12:11:24Z
@Tsukiyomi__of__mine,The girl got Darkest dark humour by all 💀💀,17,2024-10-13T06:55:00Z
@animehells,Behind the scenes with those vegetables 🥒 💀,268,2023-11-11T15:17:01Z
@mugiwaraluffy8079,20% video<br>80% oooOOOOHHHHHH!!!!!😱😱😱🤯,416,2023-10-29T23:34:24Z
@_tara._.17,1st one- Ayein! Baigan!!!! 🤨<br><br>Just Indian things,10,2023-10-30T06:03:38Z
@hargunpannu5378,The phone don&#39;t get wett...??😂😂,534,2023-10-13T06:41:06Z
@netsanetgelgela5953,That phone ain’t workin💀,1826,2023-11-04T05:08:47Z
@ryans-d7d,imagine being introduced to this friend group i would rather just not have friends  and sleep comfortable knowing i don&#39;t do stuff like this lol,129,2023-10-04T01:52:59Z
@NanahabibNanahabib,حتى بتنجان ما طلعلي هيدا حظي فاضي 😂😂😂,1,2024-11-06T13:16:52Z
@Unknowns_arivom,Meanwhile me who thinks that they wasted cotton  candy😅,925,2023-10-12T13:23:42Z
@corhondasamuels4837,“In 2024 we will have flying cars”. Also 2024:,800,2024-05-04T23:00:00Z
@farnazbinteakhter9856,The second boy got the biggest price 😊,20,2024-04-27T17:52:17Z
@nicolec3532,Next thing yk: phone broken cos it was submerged in water 💀,29,2023-10-02T07:21:33Z
@Randomx-w2h,Bro just got waterproof iphone 😂,322,2023-09-28T14:40:09Z
@themusicmystic,Five guys and one girl is all I needed to know. 😂😂😂😂,10,2023-10-03T01:59:22Z
@MUSICWORLD09-s4w,Brinjal was personal💀,1,2024-10-13T09:04:35Z
@craftyjordansisters4769,me thinking it was a gender reveal,2435,2023-09-28T22:52:54Z
@AbdulBasit-z2w,The pink girl raection is so nice i gust seen the pink lady 💕💞,8,2024-09-15T15:33:00Z
@lcarr3784,The first one was a little S-U-S,4,2023-09-27T23:49:45Z
@BalogunHafsat-c1s,The last guy is so unlucky 😩😩😩,1,2024-10-29T09:14:03Z
@behnam2778,Dumbing down America,90,2023-10-02T22:56:25Z
@MiahHridoy-r4o,That girl was happy with the gift she got😂🤣😜,4,2024-09-22T12:46:03Z
@MR.AURA_0701,A cell phone comes out all wet and broken. Them: ho hu ho ho ho ho ho ho ho ho hu,15,2023-11-20T15:49:51Z
@JoyOchanya-m7t,Amazing game 😮😮,4,2024-11-01T12:40:26Z
@gracieanzaldua8642,That looks like something I&#39;d love to do with my family.....looks really fun❤❤,19,2024-04-25T03:37:16Z
@GergisNagid-ep7yb,"With all my heart, I congratulate you on a great achievement that will benefit humanity🥴😱",42,2024-03-20T09:47:32Z
@shloka.samruddhi,Even before he dip the colour ball the phone fell into the water,5,2023-09-23T17:25:36Z
@GözdeAltınbaş,Sanki içinden baya birşey çıktı neymiş  paraymış neymiş salatalıkmış aman😂😂,1,2024-11-13T15:01:29Z
@Wow-py9nk,Bro da first 2 had me so fkn confused I had to restart it before I saw da 3rd but now I get it😂🤦🏽‍♂️,8,2024-08-31T10:07:36Z
@elchapogaming7588,no way do these people actually exist,46,2024-09-29T13:36:45Z
@lornamwendwa2104,The fact that the phone will not work because of the water,21,2023-11-07T11:46:29Z
@andrealavender1172,She 3. Months pregnant with a child now she has to go back and forth to,1,2024-10-18T15:23:24Z
@X_Girl.f,ليش كل الاشياء مشكوك بأمره 🗿👌,23,2024-04-23T06:53:02Z
@VanshGautam-t9z,5 boys with 1 girl💀,61,2023-10-24T12:49:31Z
@sunflowerglo5492,The guy grunting in the back is too much for me😅,72,2024-04-30T18:21:55Z
@Gigachad-091-i1v,This short was truly giga 🗿,0,2024-10-18T22:31:46Z
