Author,Comment,LikeCount,PublishedAt
@pipecleanercraftsb,materials: baking soda + vinegar. пищевая сода и уксус.<br>Song: Distrion Entropy,1694,2024-07-05T21:00:40Z
@Lucas_Gubus,“Roblox tycoon” ahh music,8382,2024-07-27T20:00:03Z
@Siren-tt8um,the table slamming was actually funny asf,672,2024-08-01T18:29:15Z
@pro-zp6cq,The aggressive punching 💀,4619,2024-07-20T22:28:45Z
@serenitymclain,He had some anger built up y&#39;all 😂,1912,2024-07-31T05:54:24Z
@NoSweatInsuranceManager,&quot;Minecraft vs real real life&quot; ahh music,326,2024-08-02T12:58:24Z
@Mdluffy1938,&quot;BANG BANG BANG BANG&quot; got me dying💀,197,2024-08-04T14:54:25Z
@CuteBunny-l9s,The punching was personal💀,46,2024-09-02T06:38:57Z
@kiranshetty8592,that punch was persnal💀,266,2024-07-07T05:25:32Z
@ShocktoSpectre,&quot;Superhero Tycoon&quot; ahh music 💀💀💀🙏🏾🙏🏾🙏🏾,664,2024-08-02T20:34:17Z
@K9boi,WE BUILDING OUR TYCOON WITH THIS ONE 🗣️🔥🔥🗣️🗣️🗣️🗣️🔥🔥🔥,640,2024-08-02T10:45:29Z
@ズングズズ,膨らむの再現度高くて可愛いな笑😂,2,2024-09-20T08:58:31Z
@Edinburgh_East-2008,Chemistry: Baked Soda + vinegar inside gloves and into balloon,277,2024-07-22T19:58:27Z
@SpeedyGamer65,This music reminds me of Luckyblock Battlegrounds from Roblox 😭,156,2024-08-01T10:30:26Z
@gayatriy60,The punch made me rolling on the floor 🤣😭🤣😭🤣. I don&#39;t know whether I am crying or laughing but I am crying in laughing . 😂😂😂😂😂,24,2024-08-18T09:41:14Z
@unknown_406,all fun and games until the balloon pops,91,2024-08-06T05:44:19Z
@astridandersson9744,Thats actually pretty cool ngl,33,2024-08-04T17:02:24Z
@This_awesomeguy64,WE LOCKING OUR FRIENDS OUT OF OUR BANK WITH THIS ONE🔥🔥🔥💯💯💯🗣️🗣️🗣️,2,2024-08-06T14:42:10Z
@ivey7ify,That punch was making me Let out the laughter,41,2024-07-26T03:52:52Z
@ugunga,WE SPAWN CAMPING TYCOONS WIT DIS ONE 🔥🔥‼️‼️‼️💣💣,5,2024-08-08T18:15:26Z
@VeeBingeYT,My Mind Was PUFFERFISH And I Like Them!,20,2024-07-26T14:02:18Z
@SalamaMasuku,That punch  was personal💀💀,6,2024-08-05T13:44:13Z
@Disto_Step,Fr boutta open a lucky block with this music in lucky block battlegrounds,23,2024-08-03T14:45:14Z
@Fezentlovedove,I would not want to make this human mad...,3,2024-08-25T00:55:30Z
@HannahCumminhs,That’s so cool I’ll have to try that ❤,8,2024-07-29T13:02:11Z
@Qw-ertyuu,For those who dont  know<br><br>Baking soda ( base ) + Vinegar ( acid ) = Co2 ( carbon dioxide )<br><br>These two substances make carbon dioxide so the gas fills up the balloon .,1,2025-01-10T07:42:02Z
@the_archie_bird,he did NOT have to hit it that hard 💀,7,2024-08-02T17:22:25Z
@Lindengonzales553,"Jesus Christ, I’m pretty sure a real pufferfish would be deader than the rat I found in my basement with those punches 😂",2,2024-08-14T07:03:40Z
@Moonguy-j8p,What did the pufferballon do to you man💀💀,3,2024-08-21T08:17:13Z
@20timka123,WE GON WAIT 30 YEARS FOR A BUTTON IN THE TYCOON WITH THIS SONG,0,2024-09-09T04:48:08Z
@Oreogames777,Sooo cute😊😊❤❤🐡🐡🐡🐡🐡🐡🐡🐡🐡🐡🐡🐡,29,2024-07-01T09:37:28Z
@Miata595,2017 roblox tycoon ahh music,18,2024-08-01T10:23:01Z
@peaonyt,bro cut the part where it inflates so much it explodes 💀,6,2024-08-02T05:53:51Z
@lizzardman-rj5mb,Okay this is actually pretty cool unlike all other DIY stuff,0,2024-08-10T14:28:26Z
@KingUsurper,The forbidden water baloon.<br>Edit: imma do that with vinegar and hydrogen peroxide. I ain&#39;t playing this summer.,20,2024-08-04T17:55:40Z
@MichelleDykes-h8o,"I watched a few of your videos your very smart  I love the home made Barbie shoes, Your gonna go far in life Keep strong, keep going!!",0,2024-08-27T13:44:16Z
@lisadeluigi8654,Bro took all his anger out on those,7,2024-08-05T16:11:14Z
@Laggy_likehell,I&#39;m the only one who noticed the smoke from the yellow one? 💀,1,2024-08-23T16:18:55Z
@WhateverYouWantToDraw,Cuts a hole in a glove<br><br>What people didn&#39;t expect:,3,2024-08-04T19:25:51Z
@plaguedoctr1641,Bro hit the balloon like it owed him money 💀,2,2024-08-03T09:26:01Z
@霜田畑,日本人です！<br>材料教えてもらいたいです、<br>是非やってみたいな😊,18,2024-07-27T16:59:55Z
