Author,Comment,LikeCount,PublishedAt
@Zxelegend,Bro just sent the dog to heaven,13530,2024-09-15T07:34:02Z
@Devansh.Pushpak,The Dawg got launched💀,38010,2024-07-20T11:47:58Z
@DavidNwabuzor-cv6ky,The level of trust the dog has for the man Is amazing,7499,2024-07-30T01:21:14Z
@Carefree_Firee,The Dog Got A First Class Ticket To Pluto.😂😂💀💀,783,2024-12-26T18:00:54Z
@ThomasNesbitt-t6p,That dog went straight to heaven🤣🤣🤣🤣🤣🤣🤣,17797,2024-07-26T03:35:27Z
@astrø_the_sleepy_bøi_yes,SHE WAS A FAIRY,7364,2024-07-20T14:47:22Z
@アレキサンダー-u6j,ちゃんとキャッチしてるのすごい,2733,2024-08-27T13:04:19Z
@Yoriichieditz-a,Bro really proved he&#39;s the big stepper💀,128,2024-12-23T09:33:00Z
@Gustavo4k_stumble7,Was it just me who was worried when the dog flew away?,2710,2024-07-26T16:42:55Z
@limjasonsusanto6255,Bro sent the dog to mars,1385,2024-09-13T08:45:38Z
@Maja_TheIdiot,“Rocket ships was invented in 1889”<br>People in 1888:,702,2024-11-23T17:04:53Z
@Stephen_Hendrie,That level of coordination and training is very impressive from both of these dudes 😂😂,115,2025-01-03T00:23:06Z
@Robloxian_crash,His dog is in heaven,3000,2024-07-22T03:04:29Z
@annastevens2393,It shouldn’t be this funny 😂😂😂😂,28,2024-11-03T02:43:32Z
@Nateex304,the dog went into the backrooms for 5 seconds  💀💀💀,2650,2024-08-11T02:55:31Z
@BOLOo-q7l,O cachorro: então é assim que é voar😮,6,2024-12-31T22:04:45Z
@mrviews5757,The way he catch his dog❤❤,483,2024-08-28T10:04:03Z
@VanshDhir-d2u,2 minutes silence for those who think that was real😅😂😂,782,2024-09-25T16:28:44Z
@AliAhmad-b2n,Oscar to the editer watch care fully at last when dog is falling on the ground and when the man is catching the dog ❤😂😂😂😂😅,305,2024-09-09T14:22:51Z
@moosemcguirk1640,There’s no way this actually happened in real time……😮🤔🤨 AMAZING!,3,2025-01-01T12:05:18Z
@SCI-HUBAdvance2047k,The editing of this video is simply vivid...,699,2024-08-16T06:11:33Z
@squirreltamer2548,That is some Foghorn Leghorn level dog trolling.,54,2024-09-07T14:52:22Z
@DilsriKanishka,Owner knows every moves about his dog 😂❤,90,2024-09-28T21:23:29Z
@Conexmovil,Está muy buena la edición,2,2024-12-26T15:30:57Z
@gladeloy3341,Great editing. No dogs were launched.,436,2024-10-14T09:36:04Z
@Alexis-g2k,"Está editado, pero es gracioso 😅😅😅",230,2024-09-01T13:16:28Z
@Gxllbxy84,What a perfect timing bro 👏👏👏,177,2024-10-09T01:13:02Z
@BrightDhoro,what did the dog do bro savag3😈😎,1,2024-12-26T18:53:23Z
@thelittlegamer849,Bro took “All Dogs Go Heaven” to a whole different level😭😭,258,2024-10-28T22:53:30Z
@shadieesam6125,Me yelling &quot;HELL YEAH&quot; lol😂😂😂,41,2024-07-30T21:38:32Z
@STARKYXZ,She was a fairy 🧚‍♀️,143,2024-08-04T20:23:19Z
@YappariESAKA,ちゃんとキャッチする飼い主さんすぅんごい😳,173,2024-08-19T08:08:33Z
@Meme-perium,The way Underdog was born.,13,2024-09-11T15:41:59Z
@ГлебМакеров,"Спасибо, до слёз! Давно так не смеялся)",24,2024-09-07T14:11:18Z
@preetheshsalian4581,Clear editing. Can make out while dog is falling,1,2024-12-22T09:14:10Z
@successor716,Its edited clear as day,48,2024-09-29T08:53:33Z
@天夢乃ダイス,よく飛ぶなぁ,455,2024-08-13T10:03:06Z
@DUDUBERSAMA,Essa edição ficou braba,9,2024-09-28T12:14:09Z
@Liamdarling5628,The dog was like I BELIVE I CAN FLY,1,2025-01-08T11:36:14Z
@RobertGraham-x9o,Glad you caught him 😂,32,2024-09-24T02:07:06Z
@DustinIsDriving,All dogs do go to heaven 😂,27,2024-10-30T00:10:14Z
@insanepritam3873,Dog Launcher 🐕,7,2024-09-18T06:50:54Z
@Ioanna-gi8vx,Bro😂😂😂😂😂😂😅😅😅😅😊😊😊,1,2025-05-17T09:52:05Z
@AqsaAslam-qv7jc,Dog sent to moon😂😂,28,2024-08-01T09:31:13Z
@Cristianenogalesveizaga,El perro: puedo volar 👁️👄👁️<br>🕊️🐶,7,2024-09-14T15:29:19Z
@ajtimcho08,😂😂 space dogs 👍,5,2024-09-24T18:08:59Z
@Nolimitzay122,Me watching 😐<br><br>Them watching 😂,1,2025-01-21T23:41:07Z
@LesyanisGarciaHechavarria,Que bonito el tronco tiene forma de ❤ <br>(El perro voladoooor 😏),9,2024-09-18T18:50:07Z
@Cristianoffx,Me ;- 🙂 <br>Others ;- 😂🤣,78,2024-09-05T07:26:11Z
@Aviarora7siu,My dude went to heaven and come back,29,2024-08-13T01:53:55Z
