Author,Comment,LikeCount,PublishedAt
@Dvrk10_ae,He hates math ❌ <br>Math hates him ✅,229,2024-10-13T14:32:00Z
@Yuga770,I remembered Baldi&#39;s Basics.,515,2023-10-14T13:03:25Z
@KittenSleep1,The way bro got scared when he got to the hard one💀,116,2023-11-18T07:31:10Z
@yamahadx7synthesiser,“I GET MORE ANGRY EACH TIME YOU ANSWER WRONG!” ahh question,10,2025-01-02T11:31:34Z
@leahchilders7873,People who got it right<br>👇,2956,2023-10-25T18:28:40Z
@mrcoolmathsboys,Bro hired Baldi during his Math lesson 💀,97,2023-11-05T20:56:20Z
@Voidhole00,Wait wait wait wait wait wait got me😂😂,173,2023-11-18T00:36:54Z
@lesliefasulo240,Wait wait wait wait wait wait wait wait got me FR😂😂😂😂😂,3,2025-04-06T21:33:19Z
@Red_Velvet385,Teacher: the test isn&#39;t hard<br><br>The test:,488,2023-05-22T14:02:17Z
@alw4ys-revvx,&quot;Baldi be like: wHaTtTtTt??~&quot;,148,2023-05-20T08:44:22Z
@CCNICCO,Who got it right<br>👇.                       Edit: wow 321 likes!<br>                             Edit 2: yo 416 likes!<br>                             Edit 3: omg 604 likes!<br>                             Edit 4: dayum 891 likes!                   Edit 5: 1.1k likes new record 😁<br>Edit 6: YOOO my comment was made 9 months ago almost a year!,1528,2023-09-03T16:36:43Z
@izmelayla,he survived baldi with this one 🗣️🗣️🗣️🔥🔥🔥🔥,4,2025-01-28T07:14:05Z
@EthernalM,Asians:You dont have enough power to beat this brain,828,2023-05-22T08:21:25Z
@DuckysEditss,Bro graduated maths from a Taco Bell toilet stall💀,22,2024-07-01T05:30:00Z
@YsabelaAndreaOlave-oo8th,the most genius in  math💀🧠😅,163,2023-05-27T03:21:44Z
@CJK_gaming-tsb,He said wait wait wait 😂😂,1,2024-10-14T23:18:31Z
@Dilanoffizial,WA-WA-WAI-WA-WA-WAIT 😂😂,37,2023-12-25T20:00:56Z
@Seek7200,Baidi be like: 💀💀💀,26,2023-05-20T08:07:52Z
@ThatTitan52,Can y’all count how many times he said wait 💀,19,2023-11-13T16:21:25Z
@Natamoche,Baldi’s Basics BE Like : 💀,1,2025-03-25T21:19:18Z
@Idk-j1b9z,The last one sound like something baldie basic would give 💀,15,2024-03-22T23:58:29Z
@kn0.xnxcks,he keeps saying wait and im like &quot;IM WAITING&quot;<br>😭😭😭,8,2023-05-28T10:45:56Z
@Darishamizan456,my teacher gave me exams on maths be like:,67,2023-09-12T13:17:02Z
@Crixtheog,Bro had to think about adding,2,2025-01-28T03:08:24Z
@leasoriano7369,Does bro do karate at the end? He did a pose.😂,13,2023-11-10T02:27:21Z
@Im_Alive123,Bro needs to study more than he&#39;s son💀<br><br><br><br><br><br><br>Edit: mama im famous😫😫😫😫,145,2023-10-30T06:27:18Z
@ChancelleSibayan,The way he just jumped in fear got me wheezing 😂😂😂😂😂😂😂😂,19,2024-09-04T04:15:24Z
@ZachariaRamos,Me when baldi gives me that answer,1,2025-02-05T02:04:45Z
@Nicocoliso,People who lose and win<br>👇🌎🌍🌏💎🪙🌙🌖,43,2023-11-20T04:30:45Z
@YourfavoriteAsianYouTuber,This is why math is torture 😂,5,2023-10-28T14:10:08Z
@st4rz08,Bros really testing my patience 💀,83,2023-05-26T08:35:06Z
@Danger_Circle_Math1,Wow your good A+,1,2025-04-07T19:39:55Z
@xboxone3950,Bro graduated from school bathrooms 💀💀💀,10,2023-07-29T21:32:16Z
@Foxy-on-youtube,Did you hear him speak french for a moment ? 😂,9,2024-06-12T07:20:32Z
@sillyguy-hahaverysilly,the last one looks like straight out of baldis basics bruh 💀🙏,5,2024-04-30T19:39:23Z
@MathLaboudigue,Nice !! 🎉,1,2024-11-28T16:19:26Z
@AngelVallejos-nf5pq,Baldi&#39;s basics 💀,58,2024-05-25T17:50:02Z
@crystalvanleuven4058,Bro got scared of the last math problem 💀,38,2023-05-29T09:03:43Z
@ryan_barnardbunch,Bro needs to go back to preeschool😂😂😂😂😂💀💀💀💀💀💀,0,2024-10-11T05:23:10Z
@ilovecookie2837,Baldi math be like:,7,2024-06-01T06:47:00Z
@mihaelanita8334,"Campione della matematica,bravo👏",23,2023-05-22T10:52:11Z
@goobert_goofert,That&#39;s enough YouTube Shorts for today. My brain is fully rotten.,19,2024-06-14T07:25:48Z
@Alexdinoop,Row had to think about1+1☠️💀,0,2024-11-10T00:33:43Z
@Camdog4560,Bro has to think about the answers 💀,8,2024-06-05T00:19:40Z
@rubibarua1193,BRO HAS 9999999999999999999999999999999999999999x5 IQ,44,2023-06-08T11:12:55Z
@emilianocobos6683,Expert on maths💀💀💀,20,2023-05-21T02:58:41Z
@DeidraRodgers-v5f,The last one got me off guard😅😅😅😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 why you jump like that it’s kind of right there,5,2024-12-06T03:05:28Z
@ArtXey,Bro really struggled on all those even the last one💀💀,8,2023-05-21T02:38:57Z
@Foot_Sniffer96,The way he got frightened 😂,31,2023-05-18T09:53:57Z
@deion1114,baldy’s basics be like:,13,2023-10-04T21:20:16Z
