Author,Comment,LikeCount,PublishedAt
@tiomiraitrunks3871,The dog almost became Gojo 💀,61942,2024-01-06T11:43:37Z
@SatyaMallick-r3u,This man can gojofy everything.,2183,2024-03-09T02:32:43Z
@pkmsd8291,"The dog: &quot;Nah, I&#39;d win&quot;",4656,2024-02-03T13:05:05Z
@prasoonjoshi2965,The dog was one step away from becoming gojo☠️,703,2024-06-02T20:03:15Z
@Kemie_Ruth800,😂😂😂😂 The Dog was Almost gone❤❤❤,91,2024-08-20T22:40:17Z
@vaishalisarnaik-q8k,This happens when men are watching cricket 🏏 or football ⚽😅😅😅,162,2024-04-14T11:08:26Z
@Bámǿ_Twana,keep going leagn 🔥💥💣,10699,2024-01-06T10:45:58Z
@AdminDouglas,Sukuna: A worthy opponent💀,11272,2024-02-05T22:05:18Z
@isi-zm8nh,Dog man s  best friend!!!! He knew it! 😂,9,2024-08-23T18:32:45Z
@gauravkulshrestha4165,Shes so beautiful 😊,4,2025-01-07T08:13:53Z
@afonsorocha8776,The dog almost had its life cut in half. 😂😂,650,2024-01-24T14:05:37Z
@stephendavis9261,Dog almost became scp 529 but dog💀💀💀,6566,2024-01-07T04:35:09Z
@swamijadhav349,Bro take seriously<br>Double it and give to the next person 😂😂😂😂,2224,2024-01-17T12:10:28Z
@SLA_gameplay,"As soon as the dog came i immediately said &quot;no no no no , wait wait wait wait&quot;",0,2025-02-23T11:55:52Z
@Dr.Thunder-u4d,Bro got some superpower 😂,0,2024-12-31T07:59:15Z
@きさいはるこ,This is really stunning!,16,2024-03-13T17:37:00Z
@talinatasmin7249,Das war knapp 😂❤,643,2024-01-16T15:27:57Z
@someguy8412,"She should have gave him a pair of conjoined twins, just to say how good he is.😂😂😂",921,2024-04-02T15:02:54Z
@Leothelion_luvs.sportz,Bro just summoned a jjk Fandom 💀💀,2,2024-12-25T00:21:36Z
@pandora3309,"that doggo almost become the divided one, like gojo.",0,2025-02-03T07:18:16Z
@___truegrit___9619,"This girl&#39;s reactions is so adorable and lovely, I like this couple they have a good sense of humour ❤",15,2024-02-02T09:40:08Z
@Ranmarucutie54,Love his reaction when he realised it&#39;s a dog ❤❤😂😂,6,2024-02-28T23:42:41Z
@qazx547,Sukuna&#39;s Domain Expansion:,131,2024-01-25T14:07:49Z
@BROLYVOICEACTOR1,THE DOG ALMOST GOT THE 50% OFF TREATMENT,4,2024-07-13T03:18:44Z
@MohammedDheyaa-vr1vv,Bro was way into the movie,0,2025-01-05T20:21:00Z
@srimokshamanthra456,Oh My God 🥺😲 Jinni Wake Up Man 😂😂😂,850,2024-01-06T15:59:29Z
@avnishkavalekar6000,My man has some strong grip,87,2024-01-17T21:17:12Z
@Cakemarly28,LOVE the Sarah J.Maas’ books ❤,32,2024-01-20T20:37:54Z
@huohuohayi0359,What make this man so focused 😮,3,2024-07-30T15:29:53Z
@Draiden531,The guy was a one step to become Sukuna,1,2024-12-22T19:46:38Z
@techno7567,&quot;Double it and give it to the next person&quot;,8,2024-01-27T09:34:19Z
@darknightmare9667,I thought they were gonna make hot dogs,69,2024-01-08T07:37:12Z
@tuulpuntsagtseden564,XD Cant believe he wasn’t looking LMAO😂😂😂😂,471,2024-01-06T10:36:25Z
@varungrover7966,Bro got that juggernaut rizz🥵,0,2024-07-31T11:27:51Z
@CreaterMMR,Bro is like Double it and give it to the next person💀,2,2024-05-27T09:41:13Z
@XHunter442,Dam he looks familiar lol..... Dam the end is priceless! lol,11,2024-01-19T06:19:56Z
@milena0712,아아아아아 강아지 너무 귀여워 ❤,177,2024-01-06T10:33:19Z
@JesusPeguero-hl3gj,ooo que épico todo lo rompe ala mitad ta duro el tipo,11,2024-05-09T21:29:17Z
@AngelaSam-k9n,The dog almost became a goner 😂😂😂,0,2024-08-05T12:50:29Z
@Keshav_Gangji,"The last one would surely transform into <a href=""http://www.youtube.com/results?search_query=%23hotdog"">#hotdog</a> 🌭",1,2025-02-12T09:59:16Z
@selenophile_luna,I only saw the Acotar and Crescent City BOOKS on the shelves.🖤,197,2024-01-30T07:38:58Z
@7heOriginalBoss,The bottle sent me 😂,4,2024-03-02T23:38:25Z
@Lara_moreira,Jongho watching this 😅,14,2024-01-25T22:34:20Z
@jessicafoster9145,Dog was almost a KitKat 😭,0,2025-01-09T00:50:35Z
@mariocrobu8679,the dog was about to become gojo 😂,0,2024-08-31T21:19:06Z
@jpteorias7013,😂casi lo mandan con san pedro al perrito😂,29,2024-01-06T14:27:21Z
@JakeNavarro-s5p,Wow shes really beautiful,5,2025-01-17T04:45:25Z
@Kipkaaaaaa1504,IKUZOOO TEMERAAAA!!!🔥🔥🔥,9,2024-01-19T12:27:48Z
@spirit4hadXero,Bro nearly turned his dog into a kitkat version of Go|jo and Mui|chiro,0,2024-08-24T03:46:17Z
@cat-alliance-1,Dog almost became Deadpool 💀,0,2024-09-06T02:16:42Z
