Author,Comment,LikeCount,PublishedAt
@NileRed,"I&#39;ve given it a lot of thought, and I&#39;ve decided to move this video and most of the 1min+ videos from Nilered 2 over here as shorts. This is because my goal is to have all of my shorter content conveniently in one place, and I also want to avoid any confusion if I post any 1min+ shorts in the future.",10842,2024-12-08T19:31:20Z
@grubbsgaben4461,Step 1: Add some water<br>Me thinking I can do this at home<br>Step 2: Hexamethylenediamine<br>Yeah nevermind,4235,2024-12-17T14:35:53Z
@KC16A6,&quot;kinda gross&quot; is the LEAST threatening description Neil has ever used,19670,2024-12-09T23:58:38Z
@susanan.avalos3643,Eating food in this guys house is a death sentence,324,2025-03-28T12:28:24Z
@Ashlyum,&quot;Today i am gonna doing something a bit gross&quot;<br><br><b>pulls out the DNA of the water</b>,4458,2024-12-18T17:26:58Z
@Quwen,Im pretty sure this is how spiderman started,19933,2024-12-10T00:37:34Z
@pseudonymphmusic7721,"I have nightmares about the smells I smelled from my organic chemistry lab, specifically when we used cyclohexane.",80,2025-03-21T06:21:04Z
@Felix8XD,"We did this in chemistry class and my group tried adding erasable ink to color it, but no matter how much we added, the ink vanished much to our dissapointment. but when we pulled out the nylon string, it turned blue the second it left the liquids!",23526,2024-12-08T22:24:55Z
@victoriapodnebesnyy2009,That splat was so sad 😂,5276,2024-12-09T01:08:25Z
@megapiglatin2574,"I did this experiment in college in my OChem lab! It’s one of the most memorable ones because (a) I was not expecting to make nylon going into it, and (b) it’s really trippy!",26,2025-02-27T18:33:58Z
@LDGames309,This is the most careful I’ve seen him after saying the word “carefully”,1533,2024-12-10T01:13:02Z
@negljbreakergaming,"&gt; Sticky white thing on thumbnail<br>&gt; Title says &quot;doing this is gross but satisfying&quot;<br>&gt; Video opens up &quot;today, I&#39;m ready to do something gross&quot;",8216,2024-12-09T00:48:23Z
@desibuxton6968,"Low key one of the coolest ones I&#39;ve seen, you made the beginning of fabric from 2 clear water looking liquids. 😮",6,2025-03-24T01:12:58Z
@Arterexius,"I saw the Cyclohexane and was like &quot;I recognize this chemical, but I can&#39;t remember if its for plastics or for something either gross or extremely dangerous&quot;. Turned out it was plastic, thanks Nigel, your content makes me feel like I didn&#39;t waste 3 years of my life taking the same chemistry class all over again before dropping out",1681,2024-12-14T03:28:51Z
@redbuck1385,&quot;The first thing I&#39;ll need to do is add some water to a beaker.&quot;<br><br>&quot;Dear God...&quot;<br><br>&quot;There&#39;s more.&quot;<br><br>&quot;No!&quot;,2194,2024-12-09T05:44:58Z
@41E314,Spooder-man,46,2024-12-24T17:52:15Z
@j.k.o.t.l.c,"So gross, adding water to a beaker. Never seen something so gross.<br>Thankfully he added a satisfying reaction at the end",1121,2024-12-16T13:58:29Z
@RoseYouTubeRA,The fact that even adding water to a beaker looks scientific 😂😂,3,2025-05-06T20:31:14Z
@christopherhoskins,“I’m ready to do something nasty” coming from Nile will live in my head rent for for years.,178,2024-12-14T14:33:28Z
@KINGShaheed,"I known you&#39;re secretly Spider-Man, Nile.",845,2024-12-10T14:23:38Z
@Dynamight2011,“Kinda gross” DUDE THAT LOOKS SO COOL,1,2025-05-11T18:12:28Z
@chartmancz,“Today we are playing with semen”,2023,2024-12-11T14:21:39Z
@Djoki1,"That splat brought out the strongest &quot;Eew brotha, eew&quot; from me.<br>I dont know how to describe it.",2300,2024-12-11T16:40:03Z
@justaviewerhere0-0,Mom? Nile&#39;s makin&#39; potions again...,2,2025-04-24T18:32:40Z
@ottomarjo7395,"<a href=""https://www.youtube.com/watch?v=DtZdE1P45yQ&amp;t=95"">1:35</a> It&#39;s <b>Nile</b>-on",579,2024-12-09T11:59:13Z
@9-bitfox,Dude: Im Gonna make something gross.<br><br>°makes Spider-man&#39;s Web Fluid°<br><br>Im SORRY?!?,385,2024-12-11T05:54:10Z
@basirmckinnney9591,The red one brings back memories,1,2025-05-04T11:12:18Z
@edwardmungai9954,Who else has never noticed his beakers are branded &#39;nile red&#39; until now?,176,2024-12-09T11:49:59Z
@benjialexander5850,&quot;first thing I&#39;ll do is add water to a beaker&quot; How inconsiderately disgusting 🤢,282,2024-12-14T22:52:46Z
@JulioFigueroa-xj3zl,"So technically, if you put those liquids into a pod and put it on a web shooter, then you would technically make the start of web fluid",1,2025-05-03T17:37:21Z
@redstonepro_1,.... im not going to say it.,1122,2024-12-08T20:24:08Z
@rush1041,this is my kingdom come,1086,2024-12-09T03:32:55Z
@CameronTaliga-x7s,My definition: he created the actual thing the actor of Spider-Man uses for his webs,3,2025-01-04T20:38:26Z
@LegoAnimations6370,"Body horror artists:<br>&quot;Write that down, write that down!&quot;",302,2024-12-09T21:45:02Z
@dragon_born-ln4jh,"It&#39;s not even gross, its actually just really cool",42,2024-12-11T05:15:24Z
@Epancake123,We becoming spider man with this one 🗣️🗣️🗣️🔥🔥🔥,1,2025-04-18T22:47:17Z
@alexia3552,Nile’s unending love for stinky chemicals inspires me,167,2024-12-12T03:53:00Z
