Author,Comment,LikeCount,PublishedAt
@ciarawilliams4359,We need more people like you ❌<br><br>We need to be like you ✅,37559,2024-02-20T22:04:37Z
@BriannaWilliams-z4w,She’s not just feeding the hungry she is putting so much time and effort into making sure they are truly nourished.,6540,2024-04-02T17:12:33Z
@Unknownmystery-m4d,I like the way this woman also shows  cooking recipes not only feeding the homeless but coming up with new recipes,2461,2024-03-02T13:50:24Z
@daymivalle1941,Es maravillosa. La alegría de todos esos niños y personas necesitadas. Adoro y admiro lo que haces.,17,2024-11-22T14:21:52Z
@joanonuzulike5032,She&#39;s a amazing soul❤. Why are people criticising her for no reason😢?,584,2024-03-02T12:56:34Z
@GiselleLund-px3vo,I love how she actually interacts with the children and people. She doesn’t just push them in front of a camera and make them smile or give a thumbs up. She just gives them wonderful food and interacts with them in such a beautiful way ❤️,657,2024-04-01T06:08:21Z
@pablo-p9l,This woman is probaly the nicest person on YouTube,157,2024-03-05T18:35:54Z
@khalikat9471,Earthangel Surthy feeds the nation n we love n appreciate her so much! Love n Blessings from Jamaica 🇯🇲 .,12,2025-01-30T23:00:35Z
@njmsj,"Some people say this woman is using kids for views and likes, but I believe this woman is doing something good and kind. She is genuinely helping others, and she puts so much time and effort into it.",393,2024-09-04T17:48:36Z
@GlippCookie1,The way that she spent three days to give to the poor is just amazing.. we have to be like  her always..<br>.l<br><br>EDIT: OMG SO MANY LIKES?? Also.i started a war in there....😅,17978,2024-02-13T13:13:12Z
@LaphishimtiRynjah,I never get bored watching her  dedication to cook  for others 🥹❤️,201,2024-02-16T03:30:54Z
@MelaniesStrangerThings222,You can tell how much she wants these children to be cared for and fed. That’s why I love her.,5,2024-10-19T20:51:01Z
@sumanin,We need to appreciate about how hard she works for people in need❤❤❤❤❤,75,2024-03-29T14:52:43Z
@klxt161,Heaven has a special place for this lady ❤,1140,2024-05-05T03:07:46Z
@HEARTCHAIN11,1 You are a very good cook. 2.We need more people like you 3 Have a blessed day,578,2024-03-14T10:23:17Z
