Author,Comment,LikeCount,PublishedAt
@StevielynHardie,&quot;Am I not supposed to have what I want?&quot; Hits so damn hard peter should have so much more respect,205881,2024-12-12T14:25:54Z
@KYchess,"He had every right to become a villian, and suffered the most, but became a hero, most goated superhero",56438,2024-12-12T03:38:03Z
@VeerMachhi-w1n,"All these super heros turning into villans, but Peter Parker has every right to become a villian",96481,2024-12-11T04:12:34Z
@OliviaMitchell-f1i,"The greatest super hero ever. Not because of his powers, but because of his humanity.❤❤❤",39,2025-05-23T13:19:34Z
@WillerMaldonado,"Even though people didn’t love him, he still chose to always protect them that’s what a true hero is",14032,2024-12-23T00:48:43Z
@LeonLiu-di9rd,bro has every right for his villan arc 😢,58900,2024-12-13T17:21:17Z
@LePookieBear_23,They always ask who&#39;s Spiderman but never how&#39;s Spiderman,29921,2024-12-17T17:50:46Z
@Bhuvan_vk,He had all the reasons to be a villain but he chose to become the Hero,243,2025-05-13T16:13:12Z
@marcoperera8884,"Everyone wants to become Spider-man, but not Peter Parker..",19887,2024-12-13T17:37:30Z
@SackLuvsU,"&quot;Villain&#39;s do it because the world did it to them, Hero&#39;s do it so the world doesn&#39;t do it to anybody else&quot;<br><br>Thank you for 47 THOUSAND! Each every one of you are amazing and have a blessed new year!",51592,2024-12-19T06:53:35Z
@NormalPeople20230,He is the number 1 spiderman in my heart and no other spiderman can replace him!,18352,2024-12-17T12:30:59Z
@neev007,1st Spiderman movie is masterpiece no one can beat it.,18,2025-05-14T13:20:57Z
@ehsanakbar1701,-Disrespected by society<br>-Saw his crush taken<br>-alone<br>-dead uncle<br>-bullied<br><br>And bro still became the best spiderman known to man.,26441,2024-12-14T03:42:44Z
@ParimalaDamodharan,"As kids we wanted spiderman&#39;s powers, now as adults we want peter&#39;s strength❤❤",8115,2024-12-15T11:10:10Z
@JohnG1,And this is the saddest truth about that he doesn’t get what he wants and till go out risking his life for other. This is why spider-man will always be the best hero of all times,4188,2024-12-14T11:48:30Z
@jasmineprabakar8934,He has every right to become villian but he didn&#39;t.Thats why we love Peter parker.,19,2025-05-14T07:42:01Z
@AMdeadman-tv3nm,The pain in Toby&#39;s face<br>What an actor🤌🏼<br>Respect🔥,12595,2024-12-12T21:50:50Z
@Iva_pi.sq.r,bro lost everything but he didn&#39;t become villain,7040,2024-12-11T01:56:25Z
@Dreamglitch135,Bro has every single right to be a villain<br>But he dedicated his life to be a superhero,3474,2024-12-14T19:18:35Z
@RainoGaming-i5i,Bro had all rights to be a villain but still he choose the right track<br>This is called a real man 🫡,4,2025-05-19T14:12:42Z
@Violet_smiley,*Except that one skinny neighbour girl with cookies ❤,4960,2024-12-17T01:09:29Z
@theavidkidsvlog4271,"“Everyone wants to meet, see, take a pic, and be friends with Spider-Man… but everyday we always walk past Peter Parker.”",1031,2024-12-29T04:18:41Z
@johnrameirarriba5104,The pain:50%<br>He saves:49%<br>He&#39;s own Life:1%😢,3863,2024-12-13T11:18:09Z
@TheHirohikoAraki,<i>“A hero will save anyone. The only thing that a hero needs to save the most is himself.”</i><br><br><br>I feel like this quote describes Spider-Man in a nutshell.,1,2025-05-20T09:13:49Z
@eiraeirazchsen,&quot;Am i not supposed to have what i want.&quot; This hit hard especially knowing the comic spiderman.,1249,2024-12-18T03:56:10Z
@Watagenime,"We all want to be like Spider-Man, but no one wants to be Peter Parker 😢",1129,2024-12-20T02:11:32Z
@idrissobartak3098,"Parker is a true gentleman, who never thinks of himself for the sake of others.",2318,2024-12-17T23:45:22Z
