Author,Comment,LikeCount,PublishedAt
@Waysale,dude perfect finally has a rival 💀💀,106190,2024-07-31T07:18:12Z
@vEverRunFoxWT,That scream was <b>genuine</b>,57454,2024-07-31T07:02:45Z
@therandommemecat7738,Nike: Just do it <br>Redbull: We did it,14429,2024-08-01T20:37:53Z
@fishstick699,Making red bull is now just a side quest😂,13140,2024-07-31T13:35:11Z
@lalarta,I love Redbull&#39;s sassy replies to comments😂,8482,2024-07-31T07:22:44Z
@leoare1276,I understand it now🗣️🗣️,2595,2024-11-11T12:11:39Z
@hazmat_botw,&quot;I understand it now&quot; ahh shots 😭🙏💀,555,2024-12-26T14:45:17Z
@BartunGD,"Remember, Redbull also makes energy drinks",3281,2024-08-03T17:19:11Z
@m1br052,In a moving boat:❌️<br>In a moving boat onto a guy holding a hoop riding a jet pack:✅️,3878,2024-08-04T20:02:34Z
@maliquesl9888,“How many records have you broken?”<br>Red bull: “all of them”,2577,2024-07-31T20:41:52Z
@360NoSigma,“I understand it now” 😂,1833,2024-12-04T17:10:22Z
@gameshehe,"Okay, I&#39;m certain redbull makes drinks as a side hustle now",1950,2024-10-07T20:43:37Z
@_setbes,Redbull is def the most badass company when it comes to making content,266,2024-10-08T12:11:26Z
@i_make_beats,redbull the drink: ❌️<br>redbull the youtube channel: ✅️,71,2024-12-29T03:45:02Z
@chair_commenting,I think bro understands it now,621,2024-11-18T18:19:48Z
@theyellowlemon2,Red Bull promoting everything but their drink is crazy,916,2024-08-08T19:10:13Z
@williamphillips2026,The dude holding the basket with the jet pack was extra asf 😂,1289,2024-09-01T09:57:12Z
@TH3GANGplayZ,I was waiting for the &quot;I understand it now&quot;💀💀,0,2025-03-16T15:12:37Z
@ArlineLorzano,this might be the first guy hired by redbull who didn&#39;t risk his life 😂,868,2024-08-05T09:25:02Z
@jwshca8895,The shot❌<br><br>The dude who put up the hoop✅😮,140,2024-09-10T03:23:12Z
@ZenlieyenrieBarcelona,Red bull do the most random things and still be called &quot;just a energy drink&quot;💀,432,2024-08-01T08:40:08Z
@flexingkick,He understands it now.,282,2024-12-08T15:26:51Z
@Cosevac,This guy has to have built in aimbot…,646,2024-07-31T07:06:15Z
@seymourbuttz6419,Truthfully the laydown shot is the most impressive because of the amount of power it takes,52,2024-09-15T21:44:19Z
@ZakaryaOthman-t7x,Ahhhhhhhhhhhhhhhhhhhhhhhhhh lets gooooooooooooo that was so funny😂😂😂😂,5,2025-02-05T06:29:28Z
@RayanmehdiRayanmehdi,Bro never misses a single shot,59,2024-12-15T08:53:43Z
@kierantacion9944,red bull always pushing out W vids,118,2024-07-31T07:07:08Z
@dagx0102,I lowkey forgot redbull was an energy drink company 😭,317,2024-08-01T01:52:10Z
@shahrilasrinattershah8000,Tgat prefecf fit on the mini hoop part was 🌟🌠satisfying🌠🌟,3,2025-01-24T13:53:25Z
@paranixan,chainsaw rim got jigsaw taking notes LMAO,88,2024-08-03T18:23:06Z
@tylerberry5508,The earliest I&#39;ve ever been on a redbulls video wooo,118,2024-07-31T11:09:25Z
@chunfukicker,Redbull doing anything but showing their drinks,200,2024-07-31T11:21:07Z
@RăzvanPopescu-b3p,Redbull give you wings❌<br>Redbull give you power❌<br>Redbull give you talent✅,10,2024-12-04T14:22:03Z
@reesesj4709,Hitting a shot laying down from half court is next level strength,21,2024-08-04T15:28:35Z
@Ghostofchristmaspresent,&quot;I understand it now&quot; type shots 💀💀💀,108,2024-11-10T16:13:58Z
@Qunikzy,Next: From a plane 35000ft In the air,1,2025-01-04T11:14:07Z
@graysonpisciottano6624,"Bro, this guy has great talent. Bro pov him when he misses one shot &quot; I understand it now&quot; lol😂😂😂😂😂",7,2024-12-05T13:17:48Z
@NotAbastract,Red Bull is officially the most successful social experiment in the world,46,2024-07-31T09:28:30Z
@hmmok5791,When your NBA tryout doesnt pan out and you bump into a Redbull rep in the hallway,54,2024-08-01T19:04:49Z
@Me_tm7,"Everyone: talking abt redbull&#39;s craziness <br>Me: how is this guy not in the NBA??<br><br>Edit: GUYS IT&#39;S A JOKE, IK IT&#39;S HARD TO GET IN THE NBA, GOSH",319,2024-10-18T05:52:51Z
@cgboy6937,No basketballs we’re harmed in the making of this video,16,2024-08-05T16:51:28Z
@DanielMarshall-w8x,The mini hoop was crazy ☠️,34,2024-10-15T00:32:25Z
@Chris_is_goat,Red Bull gave the ball wings😂😂,1,2025-03-09T12:50:10Z
@Celia97799,"Lol the moving boat one had a human backboard.<br>Redbull &quot;okay hear me out, you&#39;re the pole for the hoop on the water&quot;",32,2024-07-31T07:08:06Z
@Sim_Wa,I feel the power moving this short&#39;s likes from 999K to 1M 💀,40,2024-08-06T14:44:50Z
@SomeGuyWhoseNameDoesntMatter,Redbull is that one friend on a tuesday afternoon,17,2024-08-12T20:30:54Z
@dresing-e3g,bro he just understands it now,0,2024-12-27T02:43:33Z
@Abowns56,I think RedBull themselves forget they make energy drinks 💀,79,2024-08-03T22:03:40Z
@JohnSmith-yn9ju,A hoop on a turbine is crazy,48,2024-09-23T03:37:35Z
@Gust_The_Man,When i saw the across the canyon shot : YEP ITS REDBULL,10,2024-08-05T20:08:08Z
