Author,Comment,LikeCount,PublishedAt
@Eballguy,沒有女生會在乎你能不能把橡皮筋弄不見好嗎😂,316,2024-10-13T22:59:36Z
@謝沐家-i1o,男生：欸欸 我回變魔術哦！<br>女生：好喔 ...,24,2024-11-10T09:43:57Z
@CAT_With,你是一個有認真經營頻道的人，會用翻譯來回覆訊息，值得訂閱,29,2024-10-31T01:23:33Z
@黃畇粟-k6q,你這回覆怎麼越看越像ChatGPT會寫出來的東西…😅,77,2024-10-16T11:36:58Z
@張益誠-v6e,我們班女生說：本來就只有一個橡皮筋啊<br>還是不要瞧不起女生的智商好了QQ,16,2024-10-14T13:14:08Z
@無所事事的阿崴-c7w,有效皮筋的才會嚇到😂,15,2024-10-19T07:59:47Z
@yannokho782,學會了謝謝你❤😊,17,2024-10-13T15:19:41Z
@C.A.X.369,懶覺消失術想學不！示範給喜歡的女孩子看<br>大家都會很開心喔<br>😂😅😢😮😊❤🎉,3,2024-11-14T05:44:36Z
@JamesChun-o2b,I  am a boy in my class that knows this 😊,0,2024-12-13T15:17:12Z
@LeWong-gx2it,女生：喔..<br>男生：血量+精神攻擊-9999999999,0,2024-12-09T02:05:02Z
@陳佳文-e4r,蠻厲害的 運用了一些原理,0,2024-12-01T18:45:25Z
@蓝翔梦,沒有貶低的意思，但我真覺得會被驚喜到的只有幼兒園小孩或小學生，弄這個給女生看，女生只會覺得你在侮辱她的智商。,0,2024-12-02T10:19:11Z
@郭菲菲-b9s,我們班男生用到一半皮筋斷了😂,1,2024-12-01T12:22:16Z
@NiceBacon0,嚇唬全班女生❌<br><br>令全班女生覺得你_ _,0,2024-10-30T03:04:38Z
@惡魔的祝福,太棒了我要去嚇唬男生😂,0,2024-11-03T08:06:57Z
@sophina0408,不，女生有時嗤之以鼻，男生有時靜坐嘆息,0,2024-11-03T10:41:18Z
@missma7394,沒事為什麼要怕這個魔術😂,0,2024-11-02T11:26:35Z
@林漾妃-z6c,我以為為什麼有兩個橡橡皮筋😂😂😂,0,2024-10-31T05:58:55Z
@劉映麗-t7h,手我會了！腦子別鬧你不會,1,2024-10-31T05:26:06Z
@黃進福-g7k,學會這招，嚇唬校長。,2,2024-10-26T09:14:07Z
@mingkuanglow1220,我只会把橡皮筋从手指缝穿过,1,2024-10-19T10:42:27Z
@user-hy9fr9we7o,女生表示蕭煌奇都看的出來,0,2024-12-08T09:42:44Z
@可莓,女生表示：這誰不會😂,0,2024-10-20T07:01:36Z
@kawrbura11,留言還可以跟chat gpt互動欸超好笑,0,2024-11-13T11:18:59Z
@嘉維葉,我跟我爸媽試過，結果他們一眼就認出😂,0,2024-10-16T14:34:24Z
@kingboy-f1y425,我同學都以為是我把橡皮經彈飛了,0,2024-10-19T10:19:13Z
@noobmarstw837,前提是有女生關注 哥布林 一起 強大！,0,2024-11-03T13:08:44Z
@orangecelebrity,女生：？无聊男生：卧槽，真的假的？怎么弄的？,0,2024-10-31T02:29:08Z
@ChunyinCHU-r1g,那我去骗我的女同学😂😂😂,0,2024-10-27T02:07:42Z
@沈鳳玉-e8m,這個我也會耶 超棒的！,0,2024-11-21T12:08:51Z
@mechanical_TVMan,為甚麼是嚇唬全班女生?,4,2024-10-13T12:52:24Z
@cg9188,他們只會覺得你怪怪的,0,2024-10-13T15:50:57Z
@玠融陳,原本是一根象皮筋然後變成了兩個象皮筋了！所以是假的。,3,2024-10-13T13:40:39Z
@qingng4546,😮!,0,2024-11-30T11:44:27Z
@Bella-balabala,不能嚇唬全班男生嗎？,1,2024-11-01T05:30:33Z
@鸚鵡呱呱呱,為啥是全班女生不能全班男女嗎😑,0,2024-10-28T10:35:33Z
@iyytyy918,😅,5,2024-10-11T14:03:42Z
@ADDADD-ez9py,真<br>厉害,1,2024-11-09T14:11:39Z
@奈月灬奈阳,不好意思我就是女生😂😂😂,1,2024-10-14T11:40:18Z
@wenlin5984,就算我現在是女生，我也不會被嚇到,0,2024-10-16T11:53:15Z
@张可可-x8t,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻😂😂😂😂,0,2024-12-18T18:03:48Z
@yixuanloi3516,我朋友也是會😊,1,2024-10-15T09:24:17Z
@備用-z4v,學會的點😊,1,2024-10-15T13:57:57Z
@直面雷霆的史萊姆--yabi,各位，別做白日夢了，醒醒吧,0,2024-10-15T12:11:53Z
@Cottona_Milk,我是女的我嚇男生ㄟ😂,0,2024-11-01T05:32:49Z
@jieshi5911,抱歉，我完全沒被驚訝到,0,2024-10-27T10:40:47Z
@good-klee-3seconds,女生只在意你有多少錢給他花,0,2024-10-20T05:48:53Z
@陳金發-o6u,沒有女生會在乎😂,0,2024-10-20T06:13:39Z
@泰坦電視w,有版權問題吧,1,2024-10-13T05:33:15Z
@浮游生物-o6h,太酷啦！😎,0,2024-10-15T15:36:09Z
