Author,Comment,LikeCount,PublishedAt
@Sessero,She just measured…..😂😂😂😂,4409,2023-07-22T21:14:30Z
@GuyLikeGuy,People who saw that girl will touch to that chair☠️,527,2023-12-10T13:58:19Z
@qosmiorecaps4863,Bro lost his virginity to a chair.,1716,2023-08-20T18:36:05Z
@Sandrinaur,"Eles tem tanta química que me dá até vontade de ter alguém kkkkk que casal<br><br><br>Caracaaa eles tem uma química surreal viu, meu casalzinho ❤❤",6,2024-10-31T15:26:34Z
@m.hemantkumar3971,Give her a Oscar for best female acting,6825,2023-02-12T01:02:59Z
@IDCSarcasticSam,The camera guy&#39;s invisibility potion must be strong af.,4853,2023-04-25T14:07:30Z
@camillusalfred8480,she is  genuinely  astounded. <br>gosh  hilarious 😂 <br>Camillus ❤️,60,2023-07-24T04:04:49Z
@mobileautorepairs2169,Best pickup line in a Gay bar...<br>&quot;May i push your stool in&quot;,452,2024-06-27T18:25:07Z
@sarcastic_101,Later she check the size 😂,140,2023-08-25T07:06:14Z
@aamaalsafa5000,The guys in the background Can&#39;t even look at her 😂😂😂❤,15,2023-05-20T21:30:16Z
@ArmandoDy,That stool came from Diddys house.😂,183,2024-05-20T12:36:07Z
@markdelcheccolo9191,For a second she was gonna laugh. She went from an LOL to a OMG. And she measured it too. Now that was funny 🤣 😂 🤣😂,19,2024-07-11T05:52:20Z
@linx.b5246,Love her expression and the measuring which seals the award for best supporting actress.,134,2023-03-17T04:32:02Z
@teascobie6557,Giiirl dont touch it!!!😆,207,2023-03-24T14:43:31Z
@Vinay-j8v,"✅<br>DANCE••••••••••<br>VISUAL••••••••••<br>OUTFIT••••••••••<br>BEAUTY•••••••• is beautiful ❤❤",2,2024-12-05T15:51:40Z
@timothyandshamim9783,Look at the two bro&#39;s 😅😅😅😅. didn&#39;t even bother 😢😮😅,0,2024-06-26T18:11:49Z
@blkpopkdramaqueen,She is even measuring with her fingers 🤣😅 how much it went inside 😂,2176,2022-12-09T19:49:49Z
@danktonservinup,"&quot;So Kids, Thats How I Lost My Virigi-&quot;",5221,2022-12-11T05:47:21Z
@empath1969,"Bartenders are like, &quot;Nah, I don&#39;t get paid for this shit&quot;",364,2023-05-04T04:08:07Z
@Star7-l8l,Lady in the seat Measuring the Size ! 😮,0,2024-09-28T21:17:52Z
@khalidbinwalid3352,Give her an oscar for measuring the damage,674,2023-04-05T08:54:36Z
@MadridXeditzzz,For the people who don’t know that it’s fake the stick that comes out actually goes down by a push it’s a prank,14,2023-02-12T02:48:26Z
@girlynopearly,She knew what happened 😂😂,53,2023-05-07T04:54:40Z
@Mamli-m9u,وای اندازه گرفتنت عالی بود ...قشنگ اندازه اش اومد دستش😂😂😂,0,2024-06-19T14:35:29Z
@Вадим-г3б,"Не переживайте, с ним всё хорошо. Он же на самокате приехал, они к такому привычные 😂😂😂😂",10,2024-07-09T23:16:43Z
@grxharoon6135,Ho gya software update 😂😂😂,49,2023-01-29T07:55:14Z
@apscafe,I felt it here😢,118,2023-02-03T13:44:56Z
@MightyVoxVA,The 1st waiter had no reaction. He gave 0 fucks,0,2024-10-25T22:39:49Z
@krismavyarcega632,Give the people at the back a round of applause for not giving a sh*t,722,2023-02-27T12:21:03Z
@solomontanarango5562,Give  her a oscar  for best,73,2023-02-17T23:28:35Z
@passionone2393,How many actors you want?<br>He: Yes,1,2024-12-05T14:15:34Z
@RodrigoSantos7,Invisible Man Camera Deserves a Nobel Prize,63,2023-06-02T05:10:24Z
@shobhasingh8353,man-do you know acting ?<br>lady- no..<br>man- cool lets make a video,313,2023-04-25T11:15:30Z
@dougheritage3815,I&#39;m scared to sit on one of these ever again-,51,2023-04-25T22:42:43Z
