Author,Comment,LikeCount,PublishedAt
@eduarortiz8647,That looks so COOL 🤯,147,2024-11-26T20:30:01Z
@nibalumbertrand1908,The plant needs more of Zack. He was tastier than any other meal ever had.<br><br>Edit: Thank you All for 500 likes 🥹.,582,2024-11-26T20:28:55Z
@cerealfibre6938,"Zach, are you ok?😮😮😂😂🤣🤣",671,2024-11-26T20:21:46Z
@GegeOriloye,In the belly of plant. I only knew of Jonah in the belly of a fish. 😂. You are truly a King,21,2024-11-27T06:05:37Z
@Nico-yi2bi,OUCH.. falling on those pebbles has got to hurt.,2,2025-02-03T22:51:28Z
@25_Crew,King for a reason ❤,14,2024-11-27T14:54:06Z
@antharaaralielabelle6433,Depuis Haïti 🇭🇹  manman  gen yon fleurs  konsa mwn tou boulel❤❤❤❤😂😂😂😂😂,2,2025-02-17T14:04:22Z
@KarimGhaddar-gm6uh,😂😂😂😂 i love your videos keep working on them they are so funny 😅😅.,11,2024-11-27T08:14:27Z
@Johnanderson_7,I love your videos ❤,8,2024-11-27T16:06:54Z
@gooberuzi,“but on the inside it’s MASSIVE.”<br>“ <b>sigh</b> “<br><b>checks comments</b>,1,2025-03-02T15:21:17Z
@gaelbernal2025,Props to Zach for always giving his life in these shorts ☠️,107,2024-11-26T20:33:50Z
@Waynetxsa,I like his type of Magic/Illusion,6,2024-11-26T21:45:57Z
@WinarniRahayu-p9x,Awesome movie🎉🎉❤❤👏👏🏆📽🎬💝,9,2024-11-29T14:31:25Z
@JackSchneider-r7x,Legend says he didn’t do his Duolingo French lesson.,156,2024-11-26T21:43:07Z
@NoodleCarpenter12,"Zach King is hands down one of the best magicians in the world, and his unique style of magic has revolutionized the way we see illusions. His creativity and skill in blending visual effects, clever editing, and everyday objects make his tricks not only mind-blowing but also insanely entertaining. What sets Zach apart from other magicians is his ability to make the impossible seem effortless. Whether it’s &quot;Vine magic&quot; or his popular TikTok and YouTube content, he’s perfected the art of creating magic that’s both relatable and jaw-dropping. His signature &quot;magic vines&quot; are perfect examples of how he uses digital magic and editing to craft illusions that leave us asking, “How did he do that?” But beyond just the tricks, Zach King is a master storyteller—his videos always have a narrative, a twist, and humor, which makes them even more impressive. His ability to surprise and delight with every post has earned him millions of fans worldwide. Zach is more than just a magician; he’s a magician who’s reshaped how we think about magic in the digital age, and that’s why he’s one of the best out there!",8,2024-12-31T03:41:33Z
@muqaddasworld3478,Zack you are videos is so amazing,7,2024-11-26T20:47:01Z
@chikali187,"Omg thats sooo good 😂❤ the plant think:,, oh you look so delicious yummii 😋 you are mine....&quot;",4,2024-11-27T07:38:02Z
@MinerMinecraft-t6q,"Zach, your videos are amazing and very very very coool!!",4,2024-11-30T15:59:00Z
@pawansahu4280,Bro playing Plants vs Zombies in real life ☠️💀,4,2024-11-27T10:26:12Z
@ghyls_word,"My,my,my. I like your skills.",2,2024-11-27T06:08:40Z
@loll_o_ooo,<b>JURASSIC GARDEN</b>,4,2024-12-14T12:07:38Z
@Livlovbts,In his Indiana jones era lol!😂,40,2024-11-26T20:33:54Z
@MitchKingTrades,Too funny Zach. So good,3,2024-11-27T06:19:36Z
@servusdei6078,"Mr. Zach, every time I see u i remember my IT teacher at school. He looks alike.",4,2024-11-27T13:13:21Z
@Startlight-o3m,It looks really cool. How was it made?,1,2025-01-09T12:04:17Z
@RecallGaming533,Camera man never dies😂,4,2024-11-27T07:30:16Z
@namibarden,I love the idea!! ❤😂😂😂😂,5,2024-11-27T08:12:18Z
@Ekenonymous,Edits of my favourite plant on my birthday? Heck yeah!!!,1,2024-11-27T00:32:42Z
@JadenAizen,Immersive Portals mod be like:,1,2025-01-15T01:51:33Z
@Vengean7,This guy magic&#39; 😂😂 insane,0,2025-03-07T16:05:42Z
@Peter-tj5ve,You should DEFINITELY make SOMETHING else about a hour in running time!  You had my TOTAL attention in less than twenty seconds!,1,2025-02-02T18:18:32Z
@SageReyes0311,Nice Venus fly trap trick,2,2024-11-26T23:19:55Z
@BellBoop,This video actually teaches us something it teaches us that it&#39;s about what&#39;s on the inside that counts not on the outside,4,2025-01-12T13:07:24Z
@vador_v7693,El loco Dave: webi wabo(mi momento ha llegado)<br>😂😂😂,2,2024-12-02T20:17:19Z
@CM1_SonicAndOtherStuff,Rip zach. 😂,4,2024-11-26T22:24:09Z
@FlickSeven,"even in the beginning, those are some REALLY big venus fly traps...",4,2024-12-04T23:59:56Z
@SHANORDIAN355,i like this type of adventrous Holly Movie plz... bring itzzzz more,1,2024-11-27T13:31:36Z
@colourless2d,That belch at the end signifies how hungry it was 😂😂,1,2025-01-15T11:45:46Z
@stormerkromy988,"Oh is that a Botanical garden!<br>I love those, especially the one in St. Louis right near me",1,2025-01-06T05:00:00Z
@GyroXsword,Was that Mark Rober?,16,2024-11-26T20:32:27Z
@Axys_channle,"That was my worst nightmare to happen, but luckily I’m not scared of that anymore",1,2024-11-26T23:10:42Z
@danielbrannon9513,Don&#39;t ever stop doing what you do. 👍,0,2025-02-02T13:21:02Z
@antoniosbigwildadventures6364,Goosebumps - You&#39;re Plant Food!,6,2025-01-01T06:00:19Z
@xml_bfstudio3,Green has ate you because red told him to 😂,2,2025-01-03T09:23:43Z
@mrnoob3869,idk why but that place is giving me butterfly conservatory vibes,2,2024-11-27T12:46:25Z
@judylewis.806,"Wow i can&#39;t stop watching your videos, amazing,so cool. Thanks for. Sharing your talent. Inspiration to younger generations. My 12 yr old  autistic grandson wants to fo this . He shares uour vodeo eith me now i vsnt stop .",0,2025-02-19T13:00:24Z
@Zaraxbeats,Bro how do you even make your videos ? 😮,6,2024-11-29T15:29:18Z
@Waffle-vr3,Give this editor a raise 💀😭,6,2024-11-26T20:34:29Z
@linhmai8034,Bro the camera man is naughty naughty💀,2,2024-11-27T12:42:25Z
@LukeMan97,The cameraman never dies is so true😅,1,2024-12-24T18:32:47Z
