Author,Comment,LikeCount,PublishedAt
@excessorizeme,🛒: Punkt. MP02 Minimalist Phone - LINK IN BIO!,22,2024-09-11T08:02:37Z
@Lxix173,The price for this grab $300 USD,172,2024-09-14T14:29:36Z
@MG-pw7jp,"Perfect phone for kids, parents can keep them away from the bull shit on YouTube, Insta and the web. 😅😂",118,2024-09-15T09:02:30Z
@kelvins7879,$300 usd...wtf,46,2024-09-14T14:53:47Z
@DucatiSydney,I’d pay $29 for this. $35 can be the MRP but I’d wait for discounts.<br><br>Not paying $600 for this,23,2024-09-28T14:00:14Z
@treav,I want this with qwerty 😤,11,2024-09-11T21:09:56Z
@AliciaSykes,"$300 when a Nokia has all the same functionality, is more robust, looks better and is 1/10th the price...",5,2024-09-28T19:23:36Z
@Tacommander,Looks really nice,10,2024-09-11T13:16:58Z
@alvagamer5477,But can it run doom?,19,2024-09-11T14:39:33Z
@staytuned.263,"You know what would’ve made this better. If there was a little microphone, button where you can text like we’re in the year 2024.",3,2024-09-28T15:56:35Z
@hereisseanna,getting this for my gram asap,3,2024-09-14T23:17:21Z
@DerAngeloMerte,Cyber truck inspired shape,6,2024-09-15T15:22:58Z
@valentino1320,You cant watch corn on that,49,2024-09-12T22:43:50Z
@Rela_XP,Reminds me of the zune,1,2025-02-24T11:53:30Z
@johanneswohler5476,"Their marketing: Durability, design, and familiarity 😂",0,2025-03-10T08:57:04Z
@DoodlyShark,Glad to see vincent back!,2,2024-09-11T13:03:41Z
@Zer02Deaths,"This is good for me because my phone has battery issues, so i can edc this and my normal phone",1,2024-09-16T03:32:21Z
@nielp91,I’ll wait for a flatter version,1,2024-09-17T07:34:19Z
@neomirabueno4477,Those eyes bruh 👀,3,2024-09-12T04:17:03Z
@playybooy289,I would love to use that but the thing is i use my phone for everything except phone calls,1,2024-09-22T00:24:58Z
@livinghuman2298,I&#39;m in love.,0,2024-09-21T16:21:38Z
@Ayan44,"Okay, next!",0,2025-03-10T08:27:44Z
@Axile-in-life-1234,Make a watch collection tour,0,2024-09-11T18:08:45Z
@kfcjdhcm,my personal phone,0,2024-09-12T18:51:40Z
@maksimrolshchikov5462,Guys pause 3d printers for asmr come on,1,2024-09-11T15:20:23Z
@firehazardfox159,But can it play doom 🤔,1,2024-09-14T15:35:39Z
@addictive829,It&#39;s look like small ATM card Ed machine😂😂😂,0,2024-12-08T17:56:36Z
@BorisBlyat,Is it encrypted or something? Does it offer privacy?? What is the gimmick,2,2024-09-11T14:03:05Z
@somethingpurpul,It’s too expensive! I’d consider it at 199,0,2024-10-20T20:43:01Z
@nakiksadebbarma9490,Is it just for sms ⌨️ and call📱?,0,2024-09-14T15:51:15Z
@scottb.8523,Imagine when a phone scammer calls and asks what kind of phone do you have - &quot;A Punkd phone&quot; 😮😂,20,2024-09-11T14:37:15Z
@danw918,"Put it out with querty and a half decent camera, and ill want it.",0,2024-09-12T10:31:39Z
@SonGoku-xn4nz,bro fell off harder than Messi when he was tackled by PÉPE💀💀🔥,0,2024-09-12T16:18:55Z
@filou6025,Just take a blackberry at least you can text,0,2024-09-29T23:39:55Z
@taseadrian6401,So uh what it can do?,0,2024-09-11T15:03:15Z
@Alptraumification,so why the fuck is he dropping and slamming it?,0,2024-09-21T18:36:01Z
@DetroitBecomesBuddha,Too bad is too expensive,0,2024-09-28T15:29:34Z
@matreflex,So it’s an expensive drug dealers phone,0,2024-09-11T22:03:50Z
@verraque,beating and knocking on the phone like a kid in preschool. helpful. we do that all the time as adults.,2,2024-09-12T05:25:14Z
@notatallbroe,finally one with no shitty sex jokes that fall flat 😂😂,2,2024-09-22T05:37:55Z
@merrickx,Bro has no idea how to use t9 layout,0,2024-09-28T13:11:32Z
@LyubomirIko,🤮Snake oil for 300$,0,2024-09-20T02:05:58Z
@Heyoupally,So?,0,2024-09-14T23:05:19Z
@mathquik1872,Bro its trash not goat,1,2024-09-28T15:33:44Z
@Aras-i5s,250€ 😂😂😂😂,1,2024-09-12T10:25:06Z
@alanquintero7,I don’t like those movements,0,2024-09-14T16:08:57Z
@ioim_0,Pass,0,2024-09-11T13:08:04Z
@Shukor123,you are definitely running out of stuff to show,5,2024-09-11T13:17:13Z
@vladimirfamilirov563,I’ve read this as Putin the first time,0,2024-09-14T16:29:15Z
@Infinity_peace_8,GIFT ME IPHONE 16 PRO MAX😂,0,2024-09-11T13:15:48Z
