Author,Comment,LikeCount,PublishedAt
@Gmn27,Bro had to think about 1+1 💀,642,2024-01-02T22:03:28Z
@Dvrk10_ae,He hates math ❌ <br>Math hates him ✅,206,2024-10-13T14:32:00Z
@Yuga770,I remembered Baldi&#39;s Basics.,505,2023-10-14T13:03:25Z
@yamahadx7synthesiser,“I GET MORE ANGRY EACH TIME YOU ANSWER WRONG!” ahh question,9,2025-01-02T11:31:34Z
@Mr.CatNap1,The way bro got scared when he got to the hard one💀,112,2023-11-18T07:31:10Z
@leahchilders7873,People who got it right<br>👇,2924,2023-10-25T18:28:40Z
@mrcoolmathsboys,Bro hired Baldi during his Math lesson 💀,94,2023-11-05T20:56:20Z
@CJK_gaming-tsb,He said wait wait wait 😂😂,1,2024-10-14T23:18:31Z
@Voidhole00,Wait wait wait wait wait wait got me😂😂,171,2023-11-18T00:36:54Z
@ThatTitan52,Can y’all count how many times he said wait 💀,19,2023-11-13T16:21:25Z
@Red_Velvet385,Teacher: the test isn&#39;t hard<br><br>The test:,487,2023-05-22T14:02:17Z
@Robloxfoltynfan,Bro had to think about adding,2,2025-01-28T03:08:24Z
@Idk-j1b9z,The last one sound like something baldie basic would give 💀,15,2024-03-22T23:58:29Z
@CCNICCO,Who got it right<br>👇.                       Edit: wow 321 likes!<br>                             Edit 2: yo 416 likes!<br>                             Edit 3: omg 604 likes!<br>                             Edit 4: dayum 891 likes!                   Edit 5: 1.1k likes new record 😁<br>Edit 6: YOOO my comment was made 9 months ago almost a year!,1529,2023-09-03T16:36:43Z
@alw4ys-revvx,&quot;Baldi be like: wHaTtTtTt??~&quot;,147,2023-05-20T08:44:22Z
@Alexdinoop,Row had to think about1+1☠️💀,0,2024-11-10T00:33:43Z
@Seek7200,Baidi be like: 💀💀💀,26,2023-05-20T08:07:52Z
@HwangInHo4321,Bro needs to study more than he&#39;s son💀<br><br><br><br><br><br><br>Edit: mama im famous😫😫😫😫,145,2023-10-30T06:27:18Z
@kn0.xnxcks,he keeps saying wait and im like &quot;IM WAITING&quot;<br>😭😭😭,8,2023-05-28T10:45:56Z
@MAYAAAA35Y45,Bro is me in math and English  literature 💀,0,2024-11-13T03:28:50Z
@DuckysEditss,Bro graduated maths from a Taco Bell toilet stall💀,22,2024-07-01T05:30:00Z
@EthernalM,Asians:You dont have enough power to beat this brain,831,2023-05-22T08:21:25Z
@ChancelleSibayan,The way he just jumped in fear got me wheezing 😂😂😂😂😂😂😂😂,19,2024-09-04T04:15:24Z
@nasracumar,He hates maths ❌<br>Maths hates him ✅,0,2024-11-04T08:13:33Z
@YourfavoriteAsianYouTuber,This is why math is torture 😂,5,2023-10-28T14:10:08Z
@leasoriano7369,Does bro do karate at the end? He did a pose.😂,13,2023-11-10T02:27:21Z
@YsabelaAndreaOlave-oo8th,the most genius in  math💀🧠😅,162,2023-05-27T03:21:44Z
@ryan_barnardbunch,Bro needs to go back to preeschool😂😂😂😂😂💀💀💀💀💀💀,0,2024-10-11T05:23:10Z
@Darishamizan456,my teacher gave me exams on maths be like:,68,2023-09-12T13:17:02Z
@Dilanoffizial,WA-WA-WAI-WA-WA-WAIT 😂😂,37,2023-12-25T20:00:56Z
@izmelayla,he survived baldi with this one 🗣️🗣️🗣️🔥🔥🔥🔥,4,2025-01-28T07:14:05Z
@bradnelson2011,Why was he so excited when he git 3+3 right☠️,2,2024-10-13T20:37:20Z
@DeidraRodgers-v5f,The last one got me off guard😅😅😅😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 why you jump like that it’s kind of right there,5,2024-12-06T03:05:28Z
@ZanyTutorials,What professors teach vs what they give for exams at the end xD,6,2024-04-04T02:37:44Z
@goobert_goofert,That&#39;s enough YouTube Shorts for today. My brain is fully rotten.,19,2024-06-14T07:25:48Z
@Vedant_2890,He hates Math ❌<br>Math hates him ✅<br>15% charge 😥 <br>Who hates him 😂,0,2025-01-28T14:56:22Z
@rubibarua1193,BRO HAS 9999999999999999999999999999999999999999x5 IQ,44,2023-06-08T11:12:55Z
@Nicocoliso,People who lose and win<br>👇🌎🌍🌏💎🪙🌙🌖,43,2023-11-20T04:30:45Z
@AngelVallejos-nf5pq,Baldi&#39;s basics 💀,58,2024-05-25T17:50:02Z
@HiHii-fu9uu,Bro got the baldi impossible question 💀💀💀,0,2024-11-03T01:13:23Z
@st4rz08,Bros really testing my patience 💀,83,2023-05-26T08:35:06Z
@xboxone3950,Bro graduated from school bathrooms 💀💀💀,10,2023-07-29T21:32:16Z
@ArtXey,Bro really struggled on all those even the last one💀💀,8,2023-05-21T02:38:57Z
@Ifpund_sans1842,Imagine thinking on 1+1💀💀💀,1,2024-11-17T20:10:01Z
@deion1114,baldy’s basics be like:,13,2023-10-04T21:20:16Z
@kokibear,Guys look at the arrow <br>The Cyan was 2<br>And the blue was also 2,5,2023-12-14T00:35:35Z
@crystalvanleuven4058,Bro got scared of the last math problem 💀,38,2023-05-29T09:03:43Z
@myworldofdreams1733,Bros teacher was baldi-💀,0,2024-10-20T23:41:51Z
@Camdog4560,Bro has to think about the answers 💀,8,2024-06-05T00:19:40Z
@sillyguy-hahaverysilly,the last one looks like straight out of baldis basics bruh 💀🙏,5,2024-04-30T19:39:23Z
