Author,Comment,LikeCount,PublishedAt
@KasaiRayquaza,I love that the guy confessing to the priest was just randomly holding up an AC filter. XD,33490,2024-07-25T16:11:03Z
@Booshly,The &quot;Father i have sinded!&quot; &quot;God bless you and you are forgiven&quot; cracked me up.,24963,2024-07-25T15:56:29Z
@fankrys,The expression &quot;running an errand&quot; is taking  whole new meaning.,2961,2024-07-27T16:40:03Z
@1owb,Ok ... All the character athletes deserve a standing ovation and monetization. And they must be related because they look like brothers. ❤❤❤,378,2024-12-07T16:59:21Z
@kailencollier1443,Seeing a man sprint carrying drinks is by far the most impressive thing I’ve seen in a while,3437,2024-07-29T20:54:33Z
@EzraBauer,The stability he has holding all of that water while sprinting is unmatched.,8425,2024-07-27T12:14:55Z
@dancarrington7100,I love how the lifeguard one is &quot;no running&quot; but that&#39;s literally what they&#39;re doing.,8943,2024-07-25T14:27:41Z
@v.j.cooper2007,OH MY GOODNESS... MY HEAD HURST LAUGHING AT YOU TWO... THE SKITS YOU COME UP WITH ARE PHENOMENAL.  I WOULD LOVE TO BE YOUR NEIGHBOR AND SIT OUT ON THE PORCH TO SEE WHAT YOU TWO ARE COMING UP WITH NEXT AS YOU RUN PAST MY HOUSE IN WHATEVER CUTOM YOU HAVE COME UP WITH.  CONTINUE TO MAKE PEOPLE LAUGH...IT&#39;S SO GOOOOOOD FOR THE SOUL.  GOD BLESS YOU ALL.!,91,2025-01-19T20:17:54Z
@Ignore__Me,"I don’t know what’s funnier, the lifeguard stopping someone from sprinting or the hunter after some guy in a pigeon mask",3757,2024-07-25T14:27:55Z
@liamgavinwells,The fact they still used the tube for the bank teller is probably the most underrated part about this skit,1319,2024-07-28T12:02:59Z
@demacto13,This man should be on the Olympics ad right now 😂,3602,2024-07-25T14:40:21Z
@Dontgiveafeck,"I have never ever laughed so much like this before, got years in my eyes from laughing 🤣 🤣 🤣 🤣",140,2025-01-12T13:21:37Z
@lukecherry8150,"This man can run with and in ANYTHING! His commitment to making us all feel entertained, amused, and  blown away is so admirable!",745,2024-07-25T14:59:02Z
@meeranaam,OMG…..the way I just hollered out loud. The barber pulling off the wig! This is hilarious (these guys are in good shape too).😂😂😂👏🏼👏🏼👏🏼👏🏼,299,2024-07-28T19:57:42Z
@-fl4CatLady,"The wig falling off for the barber one was hilarious 😂😂😂😂 And the prison guard, I&#39;ll bet Daniel was exhausted afterwards 😅😅",830,2024-07-25T20:04:36Z
@anegrace44,"Every time…you crack me Up, lolol!  You are so gifted to make laughs and loud giggles.  Thank you!",66,2025-01-13T19:26:29Z
@MaiseyJ-mp4rw,😂😂😂 The last one is the best!<br>The bird was running for his dear life 😂😂😂,1012,2024-07-29T11:05:28Z
@pamtyree6634,Every one of these scenarios are hilarious!!!!!  Weighing the luggage was a particular hoot for me. The more I watch the harder I laugh. Please......you&#39;re killing me🤣😂🤣😂🤣😂,168,2024-11-05T23:07:03Z
@TCGLegend,Caleb slowly turned into more than just the sidekick. Much respect to him as well as Daniel. Two great entertainers!!,281,2024-07-26T05:43:21Z
@BosunM8James,I lost it when the landscaper ran through with the lawnmower 😂😂😂,111,2024-11-28T14:42:35Z
@CourtniTurnerTurner,"Neighbors watching from the windows: “Honey, it’s those weird guys again.”😂",1345,2024-08-18T20:59:11Z
@aliciawright5352,"This was one of the most creative videos. All of his content is amazing, but this one was top notch. 🌟",735,2024-07-26T04:23:59Z
@Floof64,&quot;NO RUNNING! 😡😡&quot; while he is sprinting- 😂😂😂😂,575,2024-07-31T11:45:31Z
@iahelcathartesaura3887,"Thanks for including us grocery cashiers! I cannot stop watching this, it&#39;s fantastic! 😂😂😂",30,2025-01-17T15:41:09Z
@danaMccabe-dagmarK,The athleticism of these two…holy moly! 😮,231,2024-07-26T05:01:21Z
