Author,Comment,LikeCount,PublishedAt
@KadeLee2007,I’ve never seen anyone describe “healing your inner child” in such a lighthearted and not deeply traumatic way and it’s precious,67716,2024-04-30T05:07:11Z
@elnic_kai,"plot twist, he&#39;s unknowingly colorblind and he didn&#39;t know when his color was called.",261530,2024-04-25T21:06:09Z
@reiterhilfe3526,"Plot twist: it&#39;s just a colorblind test, the doctor just felt creative at that day",97456,2024-04-29T16:24:30Z
@Muramasa-no-ken,This is one of the few things that make a man burst in tears,112,2025-01-23T14:48:48Z
@Beem0b0t,I was half expecting a child to take his place on the upswing when &quot;Yellow!&quot; was finally called. This is still really nice. It makes me feel deep feelings in the pit of my chest.,13172,2024-04-26T00:15:10Z
@yipipayayiii,&quot;They didn&#39;t call your colour didn&#39;t they?&quot; that hit like a lightning,9564,2024-05-05T22:10:43Z
@BlinkinFirefly,This literally happened to me. They never called my color and it broke my heart. It&#39;s so crazy somebody made a video about such a specific childhood core memory. This actually made me cry. I can&#39;t tell you how many times I&#39;ve watched this now &lt;3,5082,2024-05-03T11:18:57Z
@androidterabyte_official,This is absolutely adorable 🥰 <br>Made my day 🤍💕,6,2025-04-19T13:17:14Z
@EHOTIK_B_KEDAX,"I dont care if his colours is Green or smth, this is the true masterpiece that will make every man cry🥹",17535,2024-04-30T15:57:41Z
@meowiamacat3764,"One of my childhood friends were colourblind, and before I moved to their school, he would never have his colour because he didn’t know which was his. When we became friends in primary school when I moved there, it came again. I said that when I move, he moves with me, because I would make sure that I would choose the same colour as him. Still good friends today 😊",10453,2024-05-04T05:13:31Z
@001variation,Whoever wrote this sketch really needs a hug and a yellow heart emoji 💚,11054,2024-05-05T06:37:19Z
@FriedEggEagle,"This is actually very.. emotional, to say the least.<br>Reminds me of the simple games like tag, that now are like childhood treasures within my eyes.",10,2025-01-22T18:05:01Z
@giselealves7292,"I like the concept of therapists making patients try again on some life situations, to feel the happier outcome, i really do.",2908,2025-01-05T12:06:35Z
@MatthewInAFryingPan,"I&#39;ve never seen an adult that genuinely happy, and it made me happy",5938,2024-05-03T01:24:44Z
@Khamtv2.0,Nanami got so tired of being a sorcerer that he switched verses💀,7548,2024-05-02T04:30:31Z
@MrBoggler,This is by far the most relatable thing I have ever witnessed.,9811,2024-05-02T22:53:59Z
@IsabellPeralta-y5h,“YELLOW!😄” <b>Runs when he’s in green</b>,14950,2024-05-11T16:26:24Z
@lavasharkandboygirl9716,He was DEFINITELY green,224442,2023-07-11T06:32:32Z
@jakedo2233,Man honestly don’t know why but just watching this made me feel good,4,2025-01-20T01:35:33Z
@Jewel6508,I CANNOT be the only one who has already seen this video multiple times already (randomly) but still watches the whole thing,2679,2024-09-23T04:33:10Z
@TylerShackleford,Why am i fucking crying at work right now,7035,2023-07-10T14:07:44Z
@Rocky-individual,"I&#39;m gonna be honest, this should really be an actual service to people. To experience happiness again as an adult/teen would make life more bearable for them.",5201,2024-11-28T01:41:19Z
@neelshikharbhattacharya6466,Why is this actually kinda wholesome?,1,2025-04-11T14:29:28Z
@sven_ology,"What I love about this is that it gives importance and weight to &quot;trivial&quot; childhood hurts. Even something &quot;small&quot; like not having your color called can create strong feelings, and it was cool to see that idea treated with such tenderness and weight",5305,2024-05-08T23:37:16Z
@vibecheck9117,I&#39;m a elementary teacher and I completely forgot about that thing. I will absolutely do this with my kids,341,2024-04-28T08:19:16Z
@scallamander4899,You should never underestimate the emotional impact experienced by someone experiencing it for the first time.,2779,2024-06-10T12:34:27Z
@ditasarceo7839,That is so wholesome so here is a yellow heart for you! 💚,0,2025-04-05T02:28:52Z
@smallninjagirl4537,"idk why but I needed this? I literally watched this and then cried for 5 minutes. I&#39;m 33 now, and I just think about my childhood. It I guess I just never really thought about it much lately, and the times where everything was as simple as getting your color called with a tent.<br><br>Thank you.",640,2024-04-30T09:27:31Z
@KentTrinidad-s9k,Doctor: bet 50$ you colorblind<br>Me: bet<br>Also me:,2280,2024-08-24T15:33:56Z
@KaytMaeve,Why do I need this more than anything,423,2024-03-30T00:45:02Z
@thepharaohatem,"Dude, this made me wanna cry.",1,2025-01-18T10:28:01Z
@NikkiBoere-mm8bo,This made me cry . We all grow so fast that sometimes you lose track of time and when you look back on your life you realize everything 🩷,0,2025-03-31T19:04:05Z
@kirby89000,This is wholesome,696,2023-07-10T14:03:52Z
@Sips_tea6431,You knew it was going to be a good day when the teacher brought out one of these!,404,2024-05-03T04:49:37Z
@GodMaxDrinkerofTea,Why is this so beautiful <br><br>This actually touched my heart,164,2024-05-01T09:26:14Z
@TheGildedShrine,"Bro, these parachute things were the best in elementary school. I just entered high school in 2024, so this brings back core memories. I feel old now",1,2025-01-20T07:04:51Z
@embers_falling,Literally not even a skit. Just something I think we could all use.,178,2023-07-10T17:13:50Z
@cassharrison9865,"This is exactly why i started doing whatever i wanted. Sure my hobbies are childish, but they make me happy and thats what matters.",137,2025-01-04T18:19:45Z
@abea.9051,As a grown ass man idk why this made me teary eyed 😢,146,2024-05-01T19:50:33Z
@NotePortal,"That &quot;they never called your color did they?&quot; hit me like a truck, i relate to it so much.",0,2025-04-20T22:37:01Z
@Scarfy101,"an entire potential storyline, character arc, protagonist, tv show premise, and context that would make this an actual emotional scene in some tv series like house m.d. or something flashed through my head in like a second and now i feel trippy.<br><br>this is good content.",226,2024-05-01T01:06:38Z
@nicolehenthorn6279,This gives me such Fruits Basket vibes it&#39;s adorable ❤,1458,2024-05-04T06:22:47Z
@itgeltbb5631,:YELLOW! proceeds to go even tho he&#39;s green💀,344,2024-07-10T08:39:12Z
@lingshaluvrr,STOP THIS IS SO SWEET 😭,0,2025-02-17T01:10:41Z
@makennahgreen4556,This is so beautiful it makes me wanna cry. Healing your inner child is a wonderful thing,136,2024-09-29T13:09:34Z
@profilefeather,Now he’s finally able to talk about that triple homicide he saw as a child,244,2024-04-20T14:01:53Z
@givinnatanlie4619,You know.. everyone needs some healing in their lives 😊 hope everyone that reads this have a blessed day,877,2024-05-12T11:41:17Z
@TwurdleFootball,"I have a best friend, and she is one of the best friends I could ever ask for. Her and her family have been everything to my family, from coming to family gatherings to being there for my in tough times. They have a small chihuahua who is the cutest thing in the world and I would love to surprise them with plane tickets to their favorite city ever. (Paris)",1,2025-01-15T19:26:42Z
