Author,Comment,LikeCount,PublishedAt
@michaelshan3879,哇，超帅❤❤❤,210,2024-02-24T20:34:45Z
@peichi5970z,這動作讓人看起來就是振奮😃,380,2024-02-29T02:00:32Z
@chaucerlee8196,超爱看的，百看不厌，真的對臺灣年轻一代学子的优秀，深深感到骄傲和自豪。,411,2024-02-25T12:01:35Z
@tw8991234,北一女臉上浮現的是智慧和自信。   加油國家未來靠妳們了。,189,2024-10-12T11:55:46Z
@70sMod,I really love the beautiful smiles as they perform ❤,19,2024-10-12T05:59:14Z
@李中欽,這幾個小丫頭看了就討人喜歡！百看不厭！棒！,75,2024-10-16T00:43:52Z
@劉立晨-遠傳,青春美麗自信的台灣女孩,57,2024-10-14T11:23:35Z
@陳臨祥,帥到不行，屢看不厭。🎉🎉🎉🎉🎉,82,2024-10-06T15:08:50Z
@Michael-vt6ej,讚！從我年青的時候！北一女的儀隊就是超棒的！過了五十幾年了！還是棒棒棒！,141,2024-10-09T00:20:59Z
@amandalihunan623,太好了吧！真讓人感動,74,2024-10-09T04:25:11Z
@vita628chou,這群女學生不是最美的，卻是台灣最聰明、最優秀的女學生。,102,2024-10-14T06:16:38Z
@asakocai7815,全是高才生👍,79,2024-10-09T14:23:40Z
@小釵葉-m6g,北一的儀隊幾十年來都是傳統有名的,17,2024-10-18T16:10:17Z
@mfe989meng3,北一女美少女们文武双全🎉🎉🎉🎉🎉,16,2024-10-15T03:10:35Z
@余錦香-p9t,台灣人的驕傲、北一女👍<br>個個是青春活力、簡單氣質⋯⋯比那些啦啦隊花痴更甚好幾倍❤❤❤,32,2024-12-15T04:21:02Z
@聚興文煜,青春活力洋溢台灣女孩,94,2024-10-13T10:58:27Z
@先生連-j6d,這就是台灣之光。讚！,66,2024-10-04T09:25:19Z
@鄭樹榮,北一女太帥了！,110,2024-02-24T07:41:22Z
@張詠婷-l8r,太漂亮了，活潑、朝氣、亮眼🎉,36,2024-10-17T15:40:52Z
@莫莉-t8s,跨步、踢腿、笑容，都這麼可愛，有活力又帥氣！短髮都很像哩❤🎉❤🎉,3,2025-02-17T22:07:08Z
@金生康-k4v,優秀,29,2024-10-12T13:16:24Z
@呂碧芳,真的帥🎉🎉🎉,20,2024-10-14T14:31:14Z
@lbsbruce1555,北台灣最會唸書的女生大槪都在這裡了,50,2024-10-12T15:06:54Z
@tsung-xunhsu6486,看著這些學子都被曬的黑了，就知道她們在烈日下操練多久，加油！給妳們100個～讚👍👍👍👍👍👍,71,2024-10-14T19:27:48Z
@林朝欽-f8r,陽光般燦爛的笑容 越看越帥氣！😊😊😊,95,2024-10-11T16:45:15Z
@chunchunchang7414,‘🇹🇼臺灣’北一女‘’儀隊就是振奮人心,22,2024-10-17T14:20:43Z
@jianb5967,涌动着青春的动态美。,12,2024-10-17T03:23:11Z
@batikmadrim5843,What year is this recording ?,7,2024-02-24T04:48:16Z
@shihdingho2124,还是北么帅，氣場無法超越。,12,2024-10-12T16:36:05Z
@國耀謝,讚,10,2024-10-12T03:37:02Z
@姜先生-x3l,品學兼優~台灣之光~令人振奮~百看不厭,2,2024-12-18T11:23:27Z
@clairechen5168,前排4個顏值很高，短髮好帥氣👍👍👍,7,2024-10-18T11:33:40Z
@陳美娜-y2v,太喜歡了，北ㄧ女是我夢中的母校！,26,2024-10-14T10:45:15Z
@13756,參加這個學業成績不能退步，否則會被取消資格，別以為這都是低分，這些都是各班高分的,25,2024-10-15T10:50:56Z
@Imkajorn,ดูเป็นสิบรอบกว่าจะเข้าใจ ว่าเขาโห่อะไรกัน ..เก่งมากพร้อมเพรียง สวยสง่าทุกคน ไม่มีที่ติ น้องๆเขาฝึกมาดีจริง.❤❤❤❤❤❤❤❤,1,2025-01-12T13:41:09Z
@日本武尊-y8z,台湾の若いエネルギー‼️<br>頑張ろう‼️<br>日台友好🇯🇵🇹🇼,47,2024-10-04T13:05:21Z
@jannettecasas6822,Definitivamente son muy preciosas y me maravilla su coordinación ❤❤❤❤,0,2025-03-17T05:26:21Z
@hgo5043,👍🏼✨有朝氣活力💖,7,2024-10-14T15:31:31Z
@jennyyu5753,北一女的表現真的太棒了,25,2024-10-16T14:59:35Z
@よしひろよういち,なんと生き生きした演舞でしょう。🎉<br>笑顔で可愛らしいですね。❤<br>叉、応援も素晴らしいです。🎉,2,2024-12-22T11:18:53Z
@周美娜-z6e,國際有地位的 👍,12,2024-10-16T18:32:45Z
@chingfahuang3732,❤️👍👍👍🤩🤩🤩❤️awesome👍,9,2024-02-28T23:22:48Z
@cookie-w3b,帅,9,2024-10-11T23:03:19Z
@三四五-i5d,30年前有幸與北一儀隊一起練習，各個都是精英,3,2024-11-08T14:56:48Z
@yokochang9821,真是經典,13,2024-10-14T08:51:30Z
@おみこ-s9w,今、台湾は大変だと思ひます、<br>応援しています❤️🤩❤️❤️❤️,4,2024-10-16T00:29:37Z
@coco-tm3hg,看了好几遍🎉活力满满青春无限♾️,0,2025-01-26T07:43:17Z
@林秀美-b6x,好帥喔❤😂😂😂,11,2024-10-15T11:21:16Z
@舞熊,清春洋溢，笑容滿面，一定要給讚😂,22,2024-10-12T03:38:31Z
@易碧珍,最會讀書的、中華民國之光、愛你們呦,11,2024-10-14T06:06:28Z
