Author,Comment,LikeCount,PublishedAt
@Marilu聖人san,"That girl has a big heart, she doesn&#39;t deserve to be afraid of that man, he doesn&#39;t deserve her.",33486,2024-09-15T01:15:42Z
@ZainabaahKp,That sitting girl also with a pure heart but that boy doesn&#39;t deserve her ❤helping others🙌,13404,2024-10-17T07:16:18Z
@virginiabirkett4980,That woman who wanted to help looked scared.😢❤,11700,2024-09-10T16:28:38Z
@pasindu123,That man behind him needs to be grateful and help others,20,2025-04-14T12:59:17Z
@LeandraLagreca-l5g,This Girl has a big heart …she is so kind ❤️,3729,2024-09-21T11:19:17Z
@نعمهالله-ش2ف,البنت التي ارادت المساعده ولم يسمح لها صديقها، اتمنى ان تتخلص منه إلى الأبد ، تستحق رجل لطيف مثلها❤️,216,2024-09-24T07:14:56Z
@MatthewMoore-zi7gs,Both girls have a big heart and you shouldn&#39;t ever let nobody stop you from helping anyone,209,2025-01-18T09:19:22Z
@MimaMadi-x1e,The girl has a clean heart 💖 may god bless her always ❤❤😂🎉😢😮,0,2025-04-19T15:05:26Z
@Ariana.Smith1111,"True the first woman deserves better and she should learn to respect and love herself more, the waitress did a good job for helping him out",765,2024-09-20T22:44:03Z
@crsracing1313,You know damn well she said “should we help him?” And he said “no no” he doesn’t deserve her! She has a big heart…,775,2025-01-10T01:08:37Z
@اركانالطرفي-ت4ز,الإنسانية ورقة القلب لاتنتمي لأي لغة في العالم ❤❤❤❤❤,0,2025-05-21T13:44:13Z
@ንግዜ,The first girl deserves better person in her life &amp; the girl who helped may God bless you her🥰🥰🥰🥰🥰🥰🥰🙏🙏❤️❤️❤️❤️❤️💐🥰🥰🥰,4377,2024-09-11T09:48:36Z
@michaelwalsh9046,Never let anyone stop you doing good . That ladies heart is to good for that man ❤,1139,2024-10-12T15:11:10Z
@douglasradowick508,"These 2 young ladies didn&#39;t judge the book by the cover, and, got rewarded!❤️👍🤓😻",109,2024-10-29T01:57:11Z
@ДмитрийНусс-л2ф,"Хоть мало таких людей с сердцем, но всё-таки они есть. Спасибо что вы просто есть🙏🙂",10,2025-04-15T17:14:59Z
@jago7651,The girl is such a sweet heart tons of respect for her and loads of luv.,247,2025-01-02T13:30:53Z
@sarahhiga7513,That lady couldn’t help him but proved to have a good heart❤❤,287,2025-02-01T03:04:45Z
@QWERTZY001,That girl who wanted to help props to her❤<br>Thank god there are people like this❤,244,2025-01-10T20:34:10Z
@HelenaGarcia-s2i,We have  to take care of those who are sick and what a good lady❤❤❤,1,2025-05-13T22:07:34Z
@sherryldavid5423,I have parkinson&#39;s and I would will be lucky enough to be able to get some help from kind girls like them. God bless you both.❤,55,2025-01-22T23:47:52Z
@justeemm_,Real kind act ❌<br>Real actors ✅,72,2025-01-04T14:29:13Z
@AsareNii-tw2cl,This woman deserves a like,10,2024-10-04T20:08:03Z
