Author,Comment,LikeCount,PublishedAt
@Nic,"Longer Glitch Video here!! <a href=""https://www.youtube.com/watch?v=pD05MLqwN4Q"">https://youtu.be/pD05MLqwN4Q</a>",8321,2023-04-06T19:32:40Z
@ethanschannel,<b>Cyberpunk 2077 when it’s first released be like:</b>,13494,2023-09-11T15:53:05Z
@mazzysmainframe,"It seems that no matter how many of these videos I watch, the surprise T-pose gets me every single time!",927,2023-03-29T09:53:57Z
@sarahmoazzam9380,"&quot;You don&#39;t throw ball, ball throw you.&quot;<br>-Wise man",852,2023-09-04T13:50:08Z
@dioniesteveprado4483,Offline mobile games when you have low wifi belike:,168,2025-01-03T12:24:09Z
@LilBryant44,Bro became the master editor,9670,2023-03-28T23:13:15Z
@MightyArmadilo,"he made himself a actual 3D model, props to him",588,2023-04-07T21:47:43Z
@Mr.Boombastic_505,This series gives me chill on spines. I don&#39;t why?<br><br>(Edit)- 😁😁Thanks for the likes😁😁,401,2023-03-29T05:16:14Z
@XYLIE_STAR,The t- pose is so accurate tho💀,12,2024-11-03T18:59:26Z
@Yi_ALAN,McDonald&#39;s Wi-Fi be like:<br><br>Edit: ty for 1.5k likes I really appreciate It!,1813,2023-04-19T18:04:20Z
@ThePixelman0408,Doctor: “All of your dreams have meanings”.    <br>My dreams:,305,2023-08-18T02:32:15Z
@qwau,"Bro&#39;s internet is that bad, that he started glitchng irl 💀",1209,2023-11-20T17:03:51Z
@JonatanSciega,Dude this guy is really good at what he does 😂😂😂😂,1,2025-03-05T16:58:21Z
@TheBetaMinion,"I like how he just realizes, it makes it more realistic.",88,2023-04-18T20:38:36Z
@Huhh.........,Bro went back to his most primal state... His dad&#39;s bal-,2465,2023-04-03T16:53:36Z
@neelshikharbhattacharya6466,Bro&#39;s a god tier editor.,804,2023-04-10T13:52:31Z
@Owl-j7u,"As a videogamer,I like the T - Pose characters and the behind the scenes",8,2024-10-06T04:14:07Z
@Yoriichi_edits528,Bro doesn’t need a Oscar he needs Wi-Fi 💀,343,2023-07-20T04:27:47Z
@credrag,"This guy doesn &#39;t need an Oscar , he needs a Real Life update",183,2023-09-11T17:43:35Z
@patrickidontremember9252,bro explained my entire steam games.,389,2023-04-06T09:31:58Z
@MBMI_ARTs,HIS MOM: wtf happen to you?,1,2025-02-27T21:13:18Z
@Divine_Love44,Legend says that he&#39;s still glitching every video.,136,2023-08-20T12:16:59Z
@OryzaTheGuard,Bro doesn&#39;t need an Oscar. He needs a developer asap 💀,466,2023-10-16T14:29:34Z
@thecalicodude,"His editor needs a 10,000 dollars check 💀💀💀",739,2023-05-16T14:05:45Z
@urboytigolf,"after effects is sick, you do a great job",0,2024-12-21T04:45:03Z
@ReignDome,The devs need to fix it fast💀,134,2024-04-09T02:47:34Z
@coastertimmy,"He doesn’t need an Oscar,he needs wi fi.",246,2023-08-27T12:29:43Z
@HonoredSavior,Devs patch update:<br>- Fixed cup glitching to the backrooms<br>- Fixed delayed shoot of the ball.<br>- Other bugs fixed<br>- Added anti nipnip system,283,2023-07-24T06:58:48Z
@ongziqiankeithnbps8847,Bro clipped into the Backrooms😂😂😂😂,0,2024-10-11T07:26:23Z
@RoyalNBA,This editing is so good that Ben Simmons ate a cookie 🍪,240,2023-03-28T22:37:56Z
@МихаКз,After 10 seconds: *WELCOME TO BACKROOMS! *,300,2023-11-23T19:21:50Z
@Rosiek9,This man needs a Oscar for editing,442,2023-03-28T22:44:05Z
@OSHBENDAR,3rd one is too much like Minecraft 😂,1,2025-01-31T14:13:04Z
@holauuuyyy,&quot;Huh?&quot;<br>&quot;Is that me in the cup?&quot;<br>-Nic&#39;s last words before getting dissolved to golf balls,174,2023-12-13T02:21:06Z
@macaroni_edits,"&quot;When life gives you balls, become a ball&quot;",277,2023-12-12T12:26:29Z
@FruitGT,These glitches are so relatable until you don’t know where they are from,94,2023-10-12T01:59:13Z
@scottpilgrim_00,"Man, I hate it when this happens",1,2024-10-13T00:58:48Z
@TravisWitt-gh1my,&quot;how good are you at editing&quot;<br>Him: yes,150,2024-09-02T06:33:41Z
@afl201,Bro be clapping those counters 💀,94,2023-04-09T03:30:30Z
@jarts74,Give this editor an Oscar award,672,2023-04-19T05:29:02Z
@Bl0_ssomm,His edits always amaze me always,0,2024-10-03T11:08:56Z
@rbowbelac-mh5kb,The devs: the bugs aren&#39;t that bad<br>The bugs:,300,2023-10-08T22:56:43Z
@liamderrickdealday7422,“This is fine”<br>Literally whats happening:,260,2024-05-07T11:33:23Z
@FullCavGuy,"Imagine trying just to throw a small ball into a cup, and then the cup just have an existential crisis<br>(edit: damn, good words, good likes)",697,2023-03-28T22:10:19Z
@Isaac-o8s,This is so relatable bro when u played stuff it glitches,0,2024-10-11T16:32:12Z
@Fragmentz,This man needs a award for how relatable these glitches are,260,2023-04-12T19:21:53Z
@Badmutha27,Grandma’s Wi-Fi be like,299,2023-04-01T20:52:53Z
@ashay7506,Hollywood needs to hire him for editing,308,2023-03-29T07:49:26Z
@Lolloxivn,The editing is Crazy,0,2024-10-05T23:33:06Z
@B400K3,The editor doesn&#39;t need an Oscar <br>Oscar needs editor<br><br>Edit: y&#39;all are blowing my notifications 💀😭,402,2023-05-21T21:49:52Z
