Author,Comment,LikeCount,PublishedAt
@mikejones6064,Their patience is unreal,248606,2023-06-01T16:03:24Z
@ilnwjns,the “OHH LETS GO!” everytime was so heartwarming idk why lol,107688,2023-11-26T02:11:56Z
@space00055,Tbh the best part is them celebrating it’s just too wholesome,14110,2023-11-22T23:23:39Z
@CosEntity,Best part is them being happy for each other like it&#39;s just one person,12427,2023-11-20T15:41:37Z
@tiffanidoesASMR,their reactions are the best part,2895,2023-11-09T16:21:11Z
@wasntwas,I love how their reactions never changed lol.,5999,2023-10-01T02:55:14Z
@DougHanson2769,Crazy.  It is funny.  The most gorgeous artists and music etc that’s out there and I’m watching this,6,2025-02-05T02:09:03Z
@shizafatima9775,&#39;&#39;OHHHH LET&#39;S GOOOOWWWWWW&#39;&#39; got me dying...😂💀,8266,2023-10-31T14:24:10Z
@hr_here,These reactions are pure happiness,3028,2023-07-19T00:07:01Z
@kittervision,I think these two experience more pure joy in life than any of us combined,2562,2023-10-21T12:48:55Z
@purplekat5864,They put in a lot of work and dedication to reach their goals.  This patience and tenacity will come in handy someday with parenting.  😜,2,2025-02-12T05:05:48Z
@tired_manatee,i love how every time they get it their celebration is always “OHHH LETS GOOO”,2064,2023-11-18T03:32:29Z
@Sensei_Bac0n,"&quot;*Inhale* OOOH, LETS GOOOOO&quot; 🗣‼️‼️🔥🔥",3141,2024-01-29T06:31:30Z
@omega1845,I love how their excitement each time doesn&#39;t change,4094,2023-11-15T20:36:24Z
@Stachios7777,I think my favorite part is your reactions. They made me smile!,1,2025-03-02T03:07:47Z
@TheBeautifulBre,I like their reactions.  So supportive of themselves and each other.,5163,2023-06-08T20:28:03Z
@Anto_85571,They&#39;re reactions are what make it so genuine,1681,2023-11-26T04:11:57Z
@donsauyce9156,There’s no purer form of excitement than “OH Let’s Go!”,5509,2023-06-12T23:34:05Z
@elliottanda,This is so impressive!,2,2025-03-02T19:58:43Z
@Jayn0x,There’s nothing better to have great friendship than moments like that,4451,2023-07-04T22:07:58Z
@Aurora_lilmonkey,I think their mom is tired of hearing &quot;OH LET&#39;S GO&quot;😂,20472,2023-05-26T00:32:47Z
@TheeDavidDee,This is a painfully adorable compilation,1540,2023-06-16T12:50:57Z
@bhongzkey3801,(nailed the shot)<br>Them: Oohhhh!! Let&#39;s gooo!!!... (Giggles)...<br>(Hugs &amp; kissed themselves altogether)... <br>🤣😂❤️❤❤️🤗🥰,4,2025-02-16T11:11:16Z
@thisDeafmom,Imagine their level of patience. I bet it’s incredible.,2226,2023-12-06T20:20:42Z
@youssefelhawarii884,Their happiness is so wholesome,2905,2023-08-01T19:53:17Z
@MK-jn9uu,Their excitement is contagious.. my new fav trickshot team,833,2023-06-09T06:52:52Z
@mebsuta9352,Lads being lads and having harmless fun together. It&#39;s great to see and brings a warm smile to my face.,3,2025-02-09T12:24:04Z
@jakkuwolfinsomnia8058,The funniest part is their reactions and yelling “OOOH LETS GOOO!!” For 3 years 🤣,1289,2023-11-23T09:30:47Z
@mirasibai2001,Their excitement makes me smile sm,4100,2023-07-14T02:12:50Z
@e.9874,The way they always maintained the exact same level of excitement 😭,5881,2023-11-10T15:58:06Z
@kuri369kuri,You guys just gave me the best laughs I have had in a very very long time. Thanks for the therapy. I loved vicariously through your successes! And damn good job boys!,0,2025-03-01T11:49:06Z
@blueshibai,The genuine total joy at succeeding is just awesome 😂,1889,2023-06-18T19:54:16Z
@gwencybertrand7059,CAN&#39;T USE WORDS TO EXPRESS HOW EXCITED IT COULD BE 😭,2302,2023-06-27T16:16:26Z
@ericoneill-thomas8492,I love how they stay just as happy every time they do it,860,2023-10-13T23:05:08Z
@tvj20xl,Ahhh the simple things in life makes us the most happiest. Bravo! 👏🏾,3,2025-02-16T20:34:00Z
@Isaac-bc3nr,The synchronized gasp is so wholesome,1491,2023-08-11T02:46:29Z
@Ssarah13,The fact that they’re so unbelievably happy each time they get it is the best part!,8247,2023-08-31T16:05:02Z
@YungOGRawby,Their joy is contagious bro lmao. Every video they’re like “LETS GOOO”,4489,2023-06-14T05:42:31Z
@KpopArmyBlinkStayMonstiez,"Okay, but can we talk about the fact that this short hit 1b views?????????  🥳✨ well done guys, you did it!!!!!!🧨🎇✨🎉🎊.",18,2025-02-28T14:32:16Z
@Valeriewealth_studio,The joys are freaking contagious 😁,948,2023-06-21T17:31:56Z
@bedofrosies,the synchronized gasp I CANTTTT 😭,1236,2023-11-20T10:12:56Z
@miasakue,The pure excitement every time a shot is landed is by far my favorite part,580,2023-11-17T17:35:37Z
@TrinBago_Sweet,Clearly these boys got nothing but time....love it 😂🤣👏🏾👏🏾👏🏾👏🏾,10,2025-02-12T15:30:35Z
@iciclecold2991,It&#39;s the pure joy over something simple. It is contagious.,1354,2023-06-24T07:40:08Z
@Baishnavi_padhy,<b>The patience they have is</b> <b>UNBELIEVABLE</b><br>OHH LET&#39;S GO!!,716,2023-11-29T10:27:38Z
@trjahson,Man their energy and happiness for each other is unreal 😂,1079,2023-11-19T00:08:00Z
@christimacc,It&#39;s the simple things that make life grand.,2,2025-02-10T02:38:50Z
@aqila9381,Their reactions are everything✨,1056,2023-08-22T13:25:12Z
@denisejames855,Their happiness is infectious.  Love their dedication.,1221,2023-11-22T11:01:09Z
@Dummy_1,The way they react so happily just makes my day 😭,884,2023-06-08T13:43:19Z
