Author,Comment,LikeCount,PublishedAt
@kuddusk8056,"A ton of people= 1000 kg of people = about 12 people, so this actually makes sense",4334,2023-04-03T07:45:55Z
@Noahkita7704,Alternative title: A ton of first graders get this problem wrong<br><br>I- I should probably clarify this since this comment is STILL getting replies and discourse: this comment is a JOKE!!,7721,2022-09-22T23:45:46Z
@xyboyzw,I wish maths was this easy in India,801,2024-04-20T16:48:40Z
@magicalbeatsuk,"If adults are getting this wrong, our society is in danger.....",237,2024-03-10T15:47:48Z
@cherryxx123,"um...i&#39;m an indian, and if i get this question wrong in my exams, my teacher will personally give me an hour-long lecture about taking arts after 10th grade :)",316,2024-07-07T05:03:23Z
@user-wx8pi8fy5d,"If you are smart enough to know it, just skip the video. Don&#39;t leave a comment making people feel bad about themselves. The video probably helped someone, that is what matters",464,2022-05-29T01:42:44Z
@block9349,"The reason people get it wrong (based on my guess) is that they solve for x and get 18, instead of just getting 90 = 5x.",1268,2022-06-15T02:42:41Z
@TestxAnon,"Here,<br>If we add x+2x+2x would be in total 90°, which means x+2x+2x = 90°<br>Now, add all x = 5x = 90°<br>And at last, transfer the 5 to right side which will make the sign of &quot;*&quot; change into &quot;÷&quot;. = x = 90 ÷ 5 = 18.<br>Now x = 18, therefore 2x = 18*2 which is 36. So repeat it two times. And that&#39;s the value of other angles too!",9,2024-10-26T17:05:22Z
@ronhoward121,"This is a standard multiple choice mistake, though it is slightly twisted.  Frequently, a MCQ will have you solve for x, (say x = 18), then plug x back into an angle for the final answer (say 36 degrees).  But because one of the multiple choice answers is 18, the immediately pick that answer as soon as they find something that applies, without considering what the question is actually asking for.",13,2024-01-02T19:14:53Z
@shehabgamal8640,"For anyone confused, people probably get it wrong because in this type of questions, everyone simply finds th value of x which is 18 and thinks it&#39;s the answer, people don&#39;t read carefully to know it was 5x.",16,2024-05-07T23:12:33Z
@paperroman8345,You gotta be kidding me with these questions !!!!!!!! Wtf dude !,1893,2022-05-28T06:16:54Z
@mtb095,“If you add them up you get 90 degrees” <br><b>Proceeds to do unnecessary math</b><br>“The answer is 90 degrees”,177,2023-05-03T05:27:20Z
@SSK-Sonukelkar,Legends chose option D.,250,2023-03-19T15:59:35Z
@murderouspikachu3971,"IDK if this is a thing but you are not told if the line on the bottom is a straight line and you can&#39;t just assume it is because it looks like one hence the question isn&#39;t solvable without that information. In my experience, you should never take anything for granted in geometry as it is really hard to eyeball stuff like that.",4,2024-01-02T18:53:58Z
@antheamapa7564,"The sum of 1 + 5 is a basic arithmetic operation that can be solved using addition. The result of this operation is 6.<br><br>To solve this problem, we can simply add the two numbers together as follows:<br><br>1 + 5 = 6<br><br>This is a simple and straightforward calculation that does not require any advanced mathematical techniques or concepts.<br><br>However, if we want to be more &quot;genius&quot; about it, we can think of this problem in a more abstract way. For example, we can think of 1 + 5 as a problem of combining sets. We can represent the number 1 as a set with one element, and the number 5 as a set with five elements. Then, we can combine these two sets to get a new set with six elements.<br><br>Alternatively, we can think of 1 + 5 as a problem of counting. We can start at 1 and count up by fives until we reach 6.<br><br>These more abstract ways of thinking about the problem can help us to develop a deeper understanding of the concepts of addition and number. However, they do not change the fact that the sum of 1 + 5 is 6.<br><br>In summary, the sum of 1 + 5 is 6. We can calculate this using basic addition, or we can think of the problem in a more abstract way using sets or counting. These more abstract ways of thinking can help us to develop a deeper understanding of the concepts of addition and number.",10,2024-05-01T17:49:01Z
@GilTheDino,"I thought it was 2x^0 and not the degrees symbol, I was soooo confused😂😂😂",503,2023-03-21T16:25:47Z
@lembooleenpaasauskeisari,Bruh it takes 0.01 seconds to get this right😂,305,2022-06-02T10:25:03Z
@pratinavp,Broo 😂 this is such an easy question ngl,364,2022-05-28T11:25:34Z
@75Prechallenge,Sum of all angles on a straight line = 180<br>X+X+2X+90=180<br>5X=180-90<br>5X=90,1,2024-08-09T17:00:33Z
@Irakli_SKG,"What is the value of \(5x\)?<br><br>1. The diagram shows three angles: \( x^\circ \), \( 2x^\circ \), and \( 2x^\circ \).<br>2. These angles together form a right angle, which is \( 90^\circ \).<br>3. Therefore, we can write the equation:<br>   \[ x + 2x + 2x = 90^\circ \]<br>4. Combine the terms:<br>   \[ 5x = 90^\circ \]<br>5. Solve for \( x \):<br>   \[ x = \frac{90^\circ}{5} = 18^\circ \]<br>6. Find the value of \(5x\):<br>   \[ 5x = 5 \times 18^\circ = 90^\circ \]<br><br>So, the correct answer is C) 90.",0,2024-06-30T05:30:57Z
@grandxeno7288,Isn’t this easy????,190,2022-05-28T04:37:21Z
@lujixcjml,Got 90 but I was really skeptical that it was something else from the title😂,75,2022-06-15T21:50:03Z
@george-odisseasdritsas5922,Of course they get it wrong!<br>What kind of person wouldn&#39;t answer D?,45,2022-06-10T08:17:10Z
@Mr-Raw-Chicken,"Sum of all angles in a line is 180. <br><br>So given,<br><br>90+1x+2x+2x = 180<br>90+5x= 180<br>5x=180-90<br>5x=90<br>x=90/5<br>x= 18.., substitute value of x to find 2x. <br><br>2×18=36.",0,2025-01-28T17:11:31Z
@tylerboston4342,Alternatively you are assuming that it is in fact a straight line of 180 degrees. How do we know it is not 181 or 179? The only info actually given is the right angle,9,2024-03-22T00:18:09Z
@NexGoated,"x=18, i wish it was this easy in india, in our exams, this is a 1 mark question",3,2025-01-18T13:05:51Z
@shravanidhoke236,"Ans) Option C )90<br>From the figure we have ,<br>x degree + 2*x degree + 2 x degree = 90 degree<br>5*x degree  = 90 degree<br>5*x*π/180 = π/2<br>5*x = 90 <br>Thus, Ans is 90",3,2024-01-30T05:26:06Z
@dhwyll,"You are assuming the bottom line is straight and thus the other side is 90°, but that is unjustified.",30,2023-04-21T06:09:32Z
@shilpisrivastava7311,For those who did not understand the question is asking value of 5X and we know that 90°=5x <br>So in this way we&#39;ll get the answer 90•<br>Many people will proceed and get value of x=18° but remember question is for value of 5x NOT x,0,2024-09-19T05:00:49Z
@Sanjaykumar-uy6sk,18 is the answer<br>It is right angle.<br>5x=90<br>x=90÷5<br>x=18,1,2024-12-15T16:34:51Z
@farukeminguzel6629,x^0 = 1 and 2x^0 = 1 right? So answer should D?,4,2022-06-01T22:43:32Z
@davidtaylor4053,If it ain&#39;t straight it ain&#39;t a line.,8,2024-01-01T03:17:04Z
@TekasCh,I would be lucky to find these most easy maths problems in my 10th boards 😂,5,2024-07-10T13:44:13Z
@JaydenItabontianariela,&quot;no math during summer!&quot;<br>People who live in tropical areas:👁️👄👁️,0,2025-03-06T12:24:54Z
@davidparker5345,When there are 2 correct answers I think the best answer should be used.  D is the best answer,1,2024-03-08T06:16:00Z
@Hayernator,This man doing his surveys in primary school special rooms,9,2023-04-11T02:11:37Z
@salamander26671,Not me thinking it said x to the 0 power 💀,7,2022-06-10T03:51:04Z
@failurefiend,"Lmao i thought i knew it immediately then he said &quot;a ton of people get this one wrong&quot;, so i second guessed myself. But nope, its as obvious as it seems!",13,2022-06-05T05:08:24Z
@LungileCatherine,Is it right if calculation is:<br>5*18=90😊,1,2025-01-15T17:29:00Z
@Uatemydoodle,I didn&#39;t read the question and assumed I was solving for x. I finished uni level maths lmao.,1,2024-03-30T01:04:01Z
@Mansellot,Who tf is gonna get this wrong 💀💀💀💀,92,2022-06-08T15:42:13Z
@dishansaha7950,Can i ask what is this exam SAT i feel like the easiest exam i have ever discovered on internet,48,2022-05-28T04:54:17Z
@TartanTuba,"Never let them know your next move.<br>The degrees symbols are actually exponents to the power of zero, so 5x=5",14,2023-05-25T23:21:01Z
@MoonWarior325,90+2x+x+2x=180°}angles on a straight line<br>5x+90=180<br>5x=180-90<br>5x=90,0,2024-08-07T16:23:22Z
@ratsaregamers2098,This man just made math easy.,2,2024-03-22T05:11:31Z
@edwardlee7046,For this to be true we have to assume that the bottom is a straight line.,3,2023-12-09T14:18:53Z
@MrSomebunny,"They probably get it wrong because it’s not written correctly. It’s not clear that you’re solving for an angle. As written, you’re solving for the length of the line. If you’re solving for the angle, the problem, the diagram, and the answers given need the correct markings.",4,2023-04-12T15:37:27Z
@degushi5959,"And here I thought, well it&#39;ll obviously be 18, surely, right? Who would not ask for X&#39;s value... Yep, that&#39;s how I got it wrong ;-;",16,2022-05-28T18:51:13Z
@ProudSquirel,A ton of people get this problem wrong❌<br>A ton of elementary kids get this problem wrong✅,1,2024-10-19T19:57:49Z
@NoorulShifa-qp3nd,"for ,the confused one , the question is find the value of 5x ,and it is 5x=90 and we might find the value of x😅,coz the option is there,dumb us🙂",1,2024-09-24T18:27:15Z
