Author,Comment,LikeCount,PublishedAt
@Bustin-jieber09,Join the discord basement from the link in bio or your pizza will always arrive cold <br>(Subscribe for more basement content),533,2025-03-02T15:18:15Z
@Noobplayer123-t4z,❤❤<br>I love you 1%❤<br> I love you 2%❤<br>  I love you 3%❤<br>   I love you 4%❤<br>    I love you 5%❤<br>     I love you 6%❤<br>      I love you 7%❤<br>       I love you 8%❤<br>        I love you 9%❤<br>         I love you 10%❤<br>          I love you 11%❤<br>         I love you 12%❤<br>        I love you 13%❤<br>       I love you 14%❤<br>      I love you 15%❤<br>     I love you 16%❤<br>    I love you 17%❤<br>   I love you 18%❤<br>  I love you 19%❤<br> I love you 20%❤<br>I love you 21%❤<br> I love you 22%❤<br>  I love you 23%❤<br>   I love you 24%❤<br>    I love you 25%❤<br>     I love you 26%❤<br>      I love you 27%❤<br>       I love you 28%❤<br>        I love you 29%❤<br>         I love you 30%❤<br>I can’t with the hearts anymore<br>         I love you 31%<br>        I love you 32%<br>       I love you 33%<br>      I love you 34%<br>     I love you 34%<br>    I love you 35%<br>   I love you 36%<br>  I love you 37%<br> I love you 38%<br>I love you 39%<br> I love you 40%<br>  I love you 41%<br>   I love you 42%<br>    I love you 43%<br>     I love you 44%<br>      I love you 45%<br>       I love you 46%<br>        I love you 47%<br>         I love you 48%<br>          I love you 49%<br>         I love you 50%<br>        I love you 51%<br>       I love you 52%<br>      I love you 53%<br>     I love you 54%<br>    I love you 55%<br>   I love you 56%<br>  I love you 57%<br> I love you 58%<br>I love you 59%<br> I love you 60%<br>  I love you 61%<br>   I love you 62%<br>    I love you 63%<br>     I love you 64%<br>      I love you 65%<br>       I love you 66%<br>        I love you 67%<br>         I love you 68%<br>          I love you 69%<br>         I love you 70%<br>        I love you 71%<br>       I love you 72%<br>      I love you 73%<br>     I love you 74%<br>    I love you 75%<br>   I love you 76%<br>  I love you 77%<br> I love you 78%<br>I love you 79%<br> I love you 80%<br>  I love you 81%<br>   I love you 82%<br>    I love you 83%<br>     I love you 84%<br>      I love you 85%<br>       I love you 86%<br>        I love you 87%<br>         I love you 88%<br>          I love you 89%<br>         I love you 90%<br>        I love you 91%<br>       I love you 92%<br>      I love you 93%<br>     I love you 97%<br>    I love you 98%<br>   I love you 99%<br>  I LOVE YOU 100%<br>❤<br>❤❤<br>❤❤❤<br>❤❤❤❤<br>❤❤❤❤❤<br>❤❤❤❤❤❤<br>❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤❤<br>❤❤❤❤❤❤❤<br>❤❤❤❤❤❤<br>❤❤❤❤❤<br>❤❤❤❤<br>❤❤❤<br>❤❤<br>❤<br>🎉<br> 🎉<br>  🎉<br>   🎉<br>    🎉<br>     🎉<br>      🎉<br>       🎉<br>        🎉<br>         🎉<br>          🎉<br>         🎉<br>        🎉<br>       🎉<br>       🎉<br>      🎉<br>     🎉<br>    🎉<br>   🎉<br>  🎉<br> 🎉<br>🎉<br> 🎉<br>  🎉<br>   🎉<br>    🎉<br>     🎉<br>      🎉<br>       🎉<br>        🎉<br>         🎉<br>          🎉<br>         🎉<br>        🎉<br>       🎉<br>      🎉<br>     🎉<br>    🎉<br>   🎉<br>  🎉<br> 🎉<br>🎉<br> 🎉<br>  🎉<br>   🎉<br>    🎉<br>     🎉<br>      🎉<br>       🎉<br>        🎉<br>         🎉<br>          🎉<br>         🎉<br>        🎉<br>       🎉<br>      🎉<br>     🎉<br>    🎉<br>   🎉<br>  🎉<br> 🎉<br>🎉<br> 🎉<br>  🎉<br>   🎉<br>   🎉<br>    🎉<br>     🎉<br>      🎉<br>       🎉<br>        🎉<br>         🎉<br>          🎉<br>         🎉<br>        🎉<br>       🎉<br>      🎉<br>     🎉<br>     🎉<br>    🎉<br>   🎉<br>  🎉<br> 🎉<br>🎉<br>This took me so long so pls like I never get likes😢,43582,2024-09-22T07:15:49Z
@Payton_Fain,Those mugs are crazy😂,9070,2024-08-27T05:37:08Z
@RaymondRicamara,1984: we will have flying cars in 2024! <br>meanwhile 2024: water breaking physics<br><br>Edit: i deleted my first edit because @ developerAidan said<br>The first edit i made ruined everything,12469,2024-09-03T00:27:43Z
@kmlouv0,Physics are crazy these days,7358,2024-08-27T05:24:46Z
@MaryAnnUdtohan-c4h,When the mug is full🫙💦<br>When the mug is half full 🫗,1506,2024-09-14T04:47:50Z
@THE8totheATE,My brain is not braining 💀,875,2024-08-27T06:19:43Z
@hailectric77310,"For anyone wondering: in the first clip, the mug was full, so only a small stream of water had to adhere to the cup. The second clip probably had a half full mug so the cup would be tilted more to let it out, therefore eliminating the adhesive property because of gravity and letting the water flow freely",277,2024-09-24T20:34:46Z
@SAURAVSILWAL9,He broke the law of physics😂😂,392,2024-09-09T15:05:10Z
@Sreels-hindi_officials,This is very relatable &quot;&quot;😂😂🤣🤣,218,2024-10-21T20:25:31Z
@stacyh1271,The water was really like I&#39;m not going in.😂😂😂😂😂😂,202,2024-12-26T00:22:36Z
@samadseikh01,💯 relatable 😂😂😂😂❤ From 🇮🇳,162,2024-10-27T17:42:26Z
@BeyiokuObaloluwaMaxwell,This happens to me all the time and it gets so annoying 😂,206,2024-08-27T06:09:39Z
@tonibarron1700,"The reason why this happened is because when he first tipped to he did not tilt it that much so gravity defines it and makes it go sideways but the other side didn’t because if u look closely he tilts it way more so gravity doesn’t define it and it goes down,ty for reading pls like",104,2024-10-01T12:57:29Z
@hollyreese2680,the &quot;YOU DIDN&#39;T HAVE TO CUT ME OFF&quot; moment ☠💀,35,2025-01-20T22:46:21Z
@antexemusic,"For those who don’t know, if the cup is filled all the way, it runs on the side of the cup because it tries to find a way down via down the side of the cup<br>If it isn’t all the way filled up, you need to tip the cup more to get the water out and by doing that the water can’t run on the side of the cup so it just runs down.<br><br>But I still hate physics",155,2024-08-28T20:49:51Z
@quickmoment-e1y,Bro was flabbergasted 😂😂,17,2024-09-23T10:02:35Z
@RobertRushworth-y4n,Bro got outsmarted by an m&amp;m,40,2024-10-12T15:54:05Z
@shadowhenry7680,The way he looks at the sassy ass mug when it&#39;s not mugging,28,2024-10-03T20:19:11Z
@JoshuaQueeley,The &quot; you didn&#39;t have to cut me off&quot; was perfect for this 🤣,81,2024-12-06T14:46:08Z
@Jit-h5n,"This man doesn’t need an oscar, he needs a new cup 😂",18,2025-01-27T09:25:57Z
@michaellav7236,Is it just me or am I the only one who thinks the face on the cup is hilarious 😂😂😂😂😂😂,25,2024-12-11T00:47:47Z
@preetishukla8756,Everyone: * Relatable *<br><br>Me: HOW GREAT JAWLINES HE HAVE 😅,52,2024-12-23T10:48:08Z
@BradynReynolds,1970:we&#39;re gonna have flying cars!<br>2024: i&#39;m getting bullied by water😢.,246,2024-09-15T02:41:06Z
@Ashley_Playz10,Bro&#39;s so good at mewing that physics can&#39;t stand him anymore 💀,188,2024-11-23T18:26:47Z
@cani-mee,"That face on the cup, said: That what you deserve ☠️💀🌝",158,2024-09-21T15:48:39Z
@elenadina9641,The face 😂😂😂I CANT😂😂😂I CANT BREATH...😂😂😂,96,2024-09-03T21:49:48Z
@denisecalfee8796,Bro broke the law of physics twice😂😂😂😂😂😂😂😂😂😂😂😂😂💀💀💀💀,8,2024-10-22T22:24:25Z
@Harsha_MC,Most normal mug in America:,27,2024-10-18T11:48:04Z
@SavannavandenDungenBille-wp7op,I COULDNT STOP WATCHING THIS AND IT MADE ME FALL OFF MY BED😭😭😭🤣🤣🤣🤣🤣🤣🤣🤣,114,2024-09-24T22:29:19Z
@Vradam24434,1984: We will have flying cars in the 2000’s! <br>Meanwhile in the 2000’s: Water being annoying,116,2024-10-29T11:42:53Z
@binuiamoreth,"When a glass is full, there isn’t much space for the water to move, so when you tilt the glass quickly, inertia causes it to gush out. But when the glass is only half full, there’s more space for the water to move, allowing it to pour smoothly into the container without gushing, due to greater control over the flow.",112,2024-11-09T14:51:58Z
@safdarali6746,My brain while doing this : <br>  Wht happened to this cup 🍵 💀,105,2024-09-30T03:21:18Z
@KiahBeverly,Bro thought he could make it into the cup 😂😂😂,131,2024-09-03T02:30:29Z
@Mahrana.2009,"Forget the physics, look at the charm",203,2024-08-27T05:44:46Z
@ANina1111,I LOVE THIS IM ROLLING ON THE FLOOR FROM LAUGHING SO MUCH🤣🤣🤣🤣,31,2024-11-01T20:50:48Z
