Author,Comment,LikeCount,PublishedAt
@CelineDept,This was harder than it looks.. 🙈😅,4928,2023-08-21T16:09:14Z
@CEMI,Michiel 🤯🔥,6887,2023-08-21T15:53:59Z
@Noobie_Moodie,Bro called that girl noob in 1000 different ways 😂,162,2024-04-03T09:53:58Z
@sahalakbar344,Me waiting for a bicycle kick 😅,598,2024-03-31T11:25:54Z
@DMFooty,Michiel never gets bored of winning all the time,416,2024-03-14T19:54:39Z
@MariavalerianaDominguezsancjez,Michiel is goat😂,24,2024-04-01T13:27:36Z
@Historyman4956,Michiel=Peter Crouch,22,2024-03-21T11:11:33Z
@LenGresham-h7g,This is hands down the best thing I&#39;ve seen today.,3,2024-04-02T01:55:26Z
@Matukasッ,Team Michiel <br>👇,1573,2023-08-21T16:02:53Z
@Xiter777.x,Eu achando que ia lançar a bike do CR7,7,2024-03-29T22:31:57Z
@WillO-d21,Michiel: lemme show you how it’s done,554,2023-08-21T15:44:39Z
@guo_uyon,Michiel is another level..,8,2024-03-27T21:06:29Z
@Rushil_-Gamer,Celine is average and Michiel is GOAT 🐐🐐,595,2023-08-22T04:45:59Z
@Pluh_43yt,My instincts are telling me to do a bicycle kick,2,2024-03-31T16:25:08Z
@Abdulalim-u7y,micheil is goat of football❤❤❤,88,2024-03-15T22:55:08Z
@raj999god2,Michiel is a 🐐,7,2024-03-26T09:26:38Z
@AgustinAcosta-tk5tl,El video:😊<br>La cancion💀,22,2024-03-15T01:33:29Z
@vinitsingh5887,Not even a single bicycle mann i was waiting for it,2,2024-03-29T11:29:43Z
@cajumottabasso267,"A música ksks, só os BR vão intender 😂😂😂😂😂",89,2023-08-21T23:45:13Z
@KoneMariam-ft3ut,Congratulations Michel🎉🎉🎉🎉<br> Courage Celine we are with you,2,2024-04-02T15:14:57Z
@Carnafishh,Beautiful shirt ! 🇭🇷,31,2024-03-17T21:48:02Z
@JeanPierre-nh7tg,Michiel the 🦒🐐 🔥🔥,17,2024-03-29T02:14:15Z
@nohabelfakhir7582,This why we call Michiel the G.O.A.T.,4,2024-06-17T14:42:12Z
@djmegadgamer8867,Michiel is GOAT!!😵🔥🔥🔥🔥,1,2024-04-12T00:02:20Z
@TinaAdu-p6s,Michael need his own channel,26,2023-08-22T00:06:28Z
@sbcutz7761,Michelle&#39;s suiii was so cute tho... 🤍,2,2024-03-30T11:24:07Z
@nflking,You know we all wanted to see a bicycle kick,4,2023-08-21T20:31:24Z
@SylviaKellogg,This is breathtaking!,0,2024-04-03T15:31:42Z
@joosttenbulte9445,Celine is zo grappig 😂😂😂,3,2024-03-25T07:27:35Z
@Cesar_Hadchiti1,Tall dude be carrying the channel fr,2,2024-03-27T08:10:03Z
@Izabela-bo6sx,Cheline:😊<br>Miciel:☠,11,2024-03-20T05:50:32Z
@marialaurabecker5645,Others:michiel <br>Me:ibrahimovic (PSG),2,2024-03-24T21:15:56Z
@PhillysVerelst,🎉🎉🎉 kun jij nog eens 24u schelendjes doen🎉🎉🎉,4,2023-09-26T17:06:42Z
@pastyt8695,Michael has a lot of takes,1,2024-11-18T02:21:57Z
@M4R155A,Michiel’s shots were all on the beat 😮,17,2023-08-22T10:57:20Z
@parambratabiswas4330,Michel is kinda peter crouch😂,1,2024-03-31T16:51:21Z
@achuta_25,I think Michel have selected in national Team 🤔,5,2024-03-18T02:45:53Z
@APgames421,Just make me laugh the girl miss a lot😂😂😂😂😂😂,0,2024-05-25T00:13:20Z
@Floriskastelein,Michiel is weer eens een GOATje 😂😂,8,2023-08-22T14:01:22Z
@samuelkings9416,Michiel always the main character 😂,1,2024-04-04T16:30:24Z
@hehe_zx,Eles sabem a tradução dessa música? KAKAKAKKAKAKA,5,2023-09-01T14:06:39Z
@subhashawasthi5107,Michiel after winning : siuuuu 🎉🎉 <br>Celine after each chance : 😢🤷,0,2024-05-16T15:52:12Z
@aayushpadmanabhan8836,Celine: Not my cup of tea 🙄<br>Micheil: I&#39;ll show you how it&#39;s done 😎,6,2023-08-21T18:45:10Z
@DigvijayVaghela-k2r,Michelle the Greatest Of All Time 🐐,0,2024-04-08T08:02:09Z
@캔딜,"I was so jealous not of his skills, but of having a swimming pool at home. I was also jealous of his skills.",6,2024-03-28T07:48:01Z
@aaryan5059,Michiel is secretly a ballon d&#39;or winner fr <br>Bro wins everythin in every vid,0,2024-06-22T08:51:03Z
@samparai1895,Vote Michiel is goat💖<br>👇,9,2024-03-07T14:20:34Z
@joaopaulogomescoutinho2127,"A tradução é linda, pois fala de amor☝️🤓",0,2024-04-02T14:48:57Z
@lazizaabdullaeva,Two of you guys are the best soccer player?,13,2023-08-22T01:09:43Z
@ClearlyUzun,I thought for a moment michiel is doing a bycicle kick💀,1,2024-04-30T12:35:32Z
