Author,Comment,LikeCount,PublishedAt
@poizonytgamingxx1504,She fr hit the &quot;i wasnt ready&quot; excuse 💀,82477,2024-11-10T05:52:06Z
@danielcastaneda7324,She really said &quot;its only fair when I do it.&quot;,39946,2024-11-09T17:56:13Z
@TusoEdits,As soon as she lost she trying to say it don’t count bruh💀😭,45915,2024-11-03T03:26:27Z
@ArriIsSilly,She fr said &quot;That doesn&#39;t count I wasn&#39;t ready&quot;,768,2025-01-26T04:00:43Z
@eliqino,NO WAY SHE WAS LIKE “IT DOESNT COUNT” 😂💀,2699,2024-12-13T15:10:20Z
@AdibHurajrah,The girl after losing :thATs noT faiR 😭😭🙏🏼 &#39;GET OUTTTTT&#39; 🗣️🔥🔥,3793,2024-11-10T10:08:23Z
@Walk-around-everywhere,bro hit the “tHaT dOeSnT cOuNt”,1905,2024-12-13T16:16:55Z
@Theowillow,BRO REALLY SAID BET💀,27,2025-03-10T16:25:04Z
@rakhisherma1374,That lady was surely saying &quot;JUST A SECOND!!😳😡&quot; 🤣,2123,2024-11-26T11:33:04Z
@OfficialHamikosante,The girl tryna defend herself saying &quot;It&#39;s not counted i&#39;m not ready&quot;<br><br>Edit:Not gonna lie y&#39;all are pretty funny😂<br>BTW thanks for the 9.8k likes<br><br>Edit:I just hate girls yapping that&#39;s what I want keep liking!,12341,2024-11-12T09:21:06Z
@karinadorado6263,Girly rlly said “that’s not fair😖” excuse💀💀💀,1308,2024-12-03T02:56:20Z
@NatoyaFagon,She got humbled in the speed of lighting 🙏 😂,1,2025-05-18T01:12:44Z
@CrimsonGames2012,Woman even tried telling him &quot;its not fair bro your cheating!&quot; ahh excuse,1816,2024-11-18T10:52:04Z
@Shadow_mm2I,Scammer gets scammed ❌<br>Hogger gets hogged ✅,669,2024-11-07T01:20:27Z
@AGiantPotato,She really said “U have to make sure I’m ready”,439,2024-12-15T03:12:50Z
@B-idc,"She really said” no, it doesn’t count”😭🙏💀💀💀",14,2025-01-19T21:38:58Z
@tgsdagooberreal,Bro took &quot;Taste of your own medicine&quot; to a whole new level,720,2024-11-03T11:00:30Z
@Kess_Bestgn3,She actually try hitting the «it doesn’t count I wasn’t ready» excuse bruh💀,303,2024-11-25T06:32:13Z
@HRTSJ,She went STRAIGHT to yapping 🙄,1374,2024-11-03T03:29:00Z
@neoniteplayzgoingto1009,&quot;Uhm actually it&#39;s only fair when I do it and I wasn&#39;t ready so I want a rematch&quot; 🤓☝️,1,2025-05-22T08:38:33Z
@Builderzunite,scamming ❌<br>playing well ✔️<br>got demolished ✔️,482,2024-11-19T18:02:12Z
@SHELLYDINOSAURS,The girl tasted her own medicine LOL i bet she said<br>“It’s not fair!”😂,200,2024-12-19T07:01:06Z
@DoomvictGaming,It&#39;s more obvious than my bro&#39;s gayness😭,2,2025-05-20T12:16:59Z
@Silver-Sir_Galahad,"no one started complaining and trying to talk herself out of it, but as soon as she lost, she started to turn on the hysterics that infuriate women",109,2024-11-16T03:08:39Z
@ansarahmed2238,The girl:&quot;yes I&#39;m winning&quot;<br>The guy uno reverse card to her💀,114,2024-11-12T10:08:51Z
@QUIT_QUIT_donebye,I love how she was about to argue. It looks like she was about to say<br><br>“yOu CaN’t Do ThAt!1!1!! 👁️👄👁️”<br><br><br>Edit: ya’ll the amount of likes😭😭,488,2024-11-27T20:41:10Z
@ItsNoah-o,Girl got scammed bro wasn&#39;t ready💀💀💀,1,2025-05-19T13:30:55Z
@Hedgehog_313,"the woman immediately cries, of course I&#39;m a girl, but this bro really kills 💀<br>Oh my god, 1.2 thousand likes, oh my God, that&#39;s my record",1281,2024-11-23T21:24:23Z
@고양이나-k9g,“Im JuST a gIrL” ahh moment<br><br><br><br>Thx guys I’ve never had so many likes before,350,2024-11-08T16:58:54Z
@Alexcooly333,The girl tried to call excuses… but the guy on the phone never picked up 😂<br><br><br>Why does this only have 1 liek :/,157,2024-11-30T23:07:46Z
@AmeraSalih-o6h,&quot;scammer gets scammed&quot; moment💀🙏,1,2025-05-12T11:48:17Z
@charginxD,The girl had a clown face saying: Noooo that&#39;s not fair😭😭,93,2024-12-10T00:01:29Z
@yukies3955,Girl be like &quot;no no you can&#39;t do that&quot;<br>Even tho she did it like 4 times😂?,251,2024-11-08T20:43:06Z
@benjamincazares4253,She really said &quot;ERMMM ACKSHUALLY  🤓🤓🤓🤓&quot;<br><br>Edit: stop having a literal argument this is YouTube not TikTok drama,287,2024-11-11T22:41:00Z
@sajasaja400,The boy: I win😊 the girl:umm actually🤓🤓,1,2025-04-26T07:34:53Z
@muhammadfarhanjasmi3670,Scammed:❌️<br>Instant Karma:✅️,70,2024-11-09T07:51:29Z
@Shapeshifter780,"Girl really said &quot; ERRRRM, AcTuAlLy, YoU cAn&#39;T dO tHaT&quot;<br><br><br><br>Edit: 159 likes?!?!?!? Omg yayayaayyaay",481,2024-11-13T04:03:17Z
@Azkaytishere,She fr hit the &quot;I&#39;m not Ready he scamming&quot; excuse of the skill issue<br><br><br>Edit:Ty for 800 like I never get so much like😭,815,2024-12-19T03:19:35Z
@liea-x8I,Not her complaining💀💀☠️,1,2025-03-10T05:11:59Z
@carandant757,She’s one of those girls that complains about like the littlest things 😂,21,2024-11-11T16:13:02Z
@SHAD0WM1LKC00K1,She was fr about to hit that “that doesn’t count!” Card💀,11,2024-11-30T01:04:45Z
@ThifanyHeinech,I know this girl is saying &quot;ERMMM ACTUALLY YOU CHEATED! ☝🤓&quot; 💀🙏<br><br><br>Edit 1#: Oh my god👁️👄👁️ bro mom I&#39;m going to be famous,404,2024-11-09T02:45:43Z
@arelycardona9072,That’s karma💀💀<br><br>Edit: thanks for liking me,2,2024-12-25T19:08:07Z
@BlupinYT,Her audacity to say he cheated is unbelievable,9,2024-11-05T16:00:43Z
@noureddinebouzeggar2138,&quot;No you can&#39;t do that&quot; ahh lost😭😭,29,2024-11-07T19:05:49Z
@merhaba_arkadaslar00,Scamming? Thats how the game works lmfao..,24,2024-12-13T21:17:06Z
@VidyaR-q5r,The girl can&#39;t accept that,1,2025-04-28T05:15:22Z
@Tixo_27,The fact she complained after being humbled is crazy,115,2024-11-03T19:08:08Z
@jedhigaming,The girl was like saying &quot;oh thats not fair&quot; in the end<br>BASIC AHH GIRL,70,2024-11-23T06:04:39Z
@Flamingspider613,That girl was about to hit the “NUH UH.” 💀,13,2024-11-12T04:14:15Z
