Author,Comment,LikeCount,PublishedAt
@rickymendez2178,This had no reason to be this genuine and deep,29939,2024-07-10T03:44:27Z
@noahg-ms8ef,Time flies when we’re on our phones 📱,20940,2024-07-10T03:41:52Z
@demonslayer5960,"As adults, time flies due to busy routines. <br>For kids, it crawls because everything is new and exciting. 💯",11287,2024-07-10T03:47:54Z
@dakshina.a7778,"Vacations felt so so long, when we were children🙂",154,2024-07-14T23:33:08Z
@ancientbasilisk,the 24 hour clock made this hit way harder,1025,2024-07-13T02:05:14Z
@aliyastromberg9996,THE COOL HEART SCRIBBLE THING!!!😂😂❤,223,2024-07-30T20:36:53Z
@Nickbs02,Bro she&#39;s so cute,58,2024-08-06T17:14:32Z
@annsknowledge6670,"I can tell you this, no matter what age you are if you are waiting for something you’re excited for, it will feel like forever",30,2024-07-13T17:19:23Z
@grantcotton2493,That is SO relatable 😅 😂,595,2024-07-10T03:46:57Z
@KanonLooksLikeL,As a kid 30 min felt like  an eternity now 30 min is a blink of an eye,8,2024-07-19T18:09:53Z
@baroukeyobs2958,"As a kid, this is so relatable 😭 our class is 1 hour but to me and my classmates it feels like 30 minutes",362,2024-07-14T00:54:25Z
@CleverCheetah,When you’re at work it goes back to being slow. On days off it flies by.,17,2024-08-07T16:22:43Z
@KiroYT24,This is actually so relatable,3,2024-08-15T13:48:47Z
@mikaylawong7762,"This is so real, as I get older, time passes by so fast😢 also her phone says 8 July, which is my birthday, so that&#39;s fun! 🥳",74,2024-07-15T10:49:25Z
@hiking_hunger,Shes just too pretty!,2,2024-09-18T14:38:13Z
@videowatcher01,my mom used to say time slows down when you’re excited so i’d act like i wasn’t excited,8,2024-07-13T14:21:25Z
@lizardvibes,"Finally someone who also uses the 24 hour clock<br><br>Guys I don’t give a shit if you were homeschooled, literally all I said is that I use a 24 hour clock",1129,2024-07-11T09:50:33Z
@Menaceblue3,"At 10 years old, 1 year passing by is 10% of your life....<br>At 20 years old, 1 year passing by is 5% of your life....<br>At 40 years old, 1 year passing by is 2.5% of your life....<br><br>Let&#39;s be proactive about our live&#39;s and live it to the fullness with love!<br>Call mom and dad, chat with your sibling, hangout with that old high school friend who got you into trouble because time is the fire in which we all burn and can never acquire....",235,2024-07-10T03:51:55Z
@RealeBakerMaker,"jokes on you, time has always moved slow for me and still does. it used to be mentally draining but now im used to it and i enjoy the longer perception of time 😅 nice vid btw",1,2025-03-14T07:33:59Z
@me-now-,"I heard it is because as a child our brain is still processing a lot of information, so time seems slow when we are learning new things.",4,2024-08-06T02:14:24Z
@kararalftlawy-q8c,You are an Angel from our embryos ❤,1,2025-02-11T19:50:43Z
@t57casre3,I&#39;ve never seen anybody draw hearts like that.,106,2024-07-10T06:30:31Z
@LAVISHLYLAVISH,The boba actually going down was really cute!,2,2024-08-07T04:41:17Z
@Mikayla-nq8sr,The fact that she waited till night time to do that last take and be the most realistic possible! 10/10 all of her videos 🏆,74,2024-07-10T03:50:24Z
@SwanMan_o2w,"For a second I thought it was no<br>time at all cause <a href=""https://www.youtube.com/watch?v=N2BiQKS3e2Y&amp;t=480"">8:00</a> in military is <a href=""https://www.youtube.com/watch?v=N2BiQKS3e2Y&amp;t=1200"">20:00</a>. Then I realized it was 8am and not pm to start😅",2,2024-09-24T21:22:09Z
@Salata2000,She waited a whole day to make this video 💀,3,2024-08-06T17:44:30Z
@RidiculousReviews-ii9ky,So true and it hurts so bad. Apparently there is a science to this phenomena and as adults we could mitigate this feeling by doing something different every day but it takes a lot of effort,0,2024-09-26T13:14:48Z
@ch44227,"Her mimicking drinking, lol",7,2024-07-10T13:04:35Z
@joshuacarter4611,It’s simple really as you age your frame of reference for time is constantly changing. With respect to your life and memory your perception of time adjusts. Therefore we are all continuously perceptually accelerating towards our deaths,1,2024-09-18T20:45:13Z
@cocomambo26,Awesome!!❤😍❤,16,2024-07-10T03:42:26Z
@britneyfrench7878,"This is so true, and also how it feels being at work vs. not at work 😅",0,2024-10-19T04:52:29Z
@HeraldOfChaos76,That is definitely me😂😂😂,65,2024-07-10T03:39:00Z
@baseerehsan,Awww the drink is so cuteee ❤,1,2024-07-25T09:19:40Z
@Anna-e8b,Same😂<br>You’re videos are so funny and cool!😂,18,2024-07-10T04:46:35Z
@SquatPenguin2,Unfortunately true. My whole weekend goes by in the blink of an eye but the work week takes forever.,2,2024-08-05T17:53:35Z
@vladydaddy9116,I liked how you drank the drink,4,2024-07-10T13:29:58Z
@fortznite8150,time flies when we are having fun,0,2024-08-18T13:34:39Z
@potato7640,You know your it&#39;s late when your 8 hours ahead of time itself.<br>Edit: r/woooosh yall are missing the joke,80,2024-07-10T11:40:53Z
@Nuri417Lazerian-m1z,WHY IS THIS SO TRUE?,1,2025-04-18T13:41:19Z
@minhhieu5665,so cuteee❤,7,2024-07-10T04:17:20Z
@jonastrach8851,&quot;Nothing like a bit of activity to pass the time! How long&#39;s it been?&quot;<br><br>&quot;About half an hour&quot;<br><br>&quot;Can&#39;t do it&quot;,1,2024-09-23T13:07:21Z
@ethanjohn3172,Who thinks this is relatable?😊,4,2024-07-10T03:44:33Z
@Szasbiggestfan,The heart drawings was so relatable,0,2024-07-27T19:52:03Z
@GruseligerZigeuner,How is she so beautiful,12,2024-08-06T20:25:54Z
@Felix-t5k,But in School time feels so slow no matter how old you are:,1,2024-11-18T14:55:54Z
@varsha8229,"Thank you for the video i just remembered that i have put milk to boil hours ago and came to scroll video for a minute, now my kitchen is burnt🙂",6,2024-07-11T04:20:37Z
@BuffPomsky,Dem abs! We need a workout routine vid!,1,2025-01-31T20:30:28Z
@Starslovelybeauty,Feels illegal to be this early,26,2024-07-10T03:47:36Z
@pinkdeer16,I’m so glad someone addressed this because I swear I used to have the longest summers and now they are gone so fast,0,2024-07-13T03:21:36Z
@minleya,oh you have military time too,30,2024-07-10T03:57:36Z
