Author,Comment,LikeCount,PublishedAt
@MsGalfreak,"Your father looks like a movie star, from the glory times of Hollywood.<br>One of those legends.<br>Long live your father !<br>💪😇👍",88845,2024-08-05T12:49:00Z
@ericfitzpatrick5319,"He took care of himself, that&#39;s why he&#39;s blessed to see 95 years of age.<br>He was a Hulk.",45054,2024-08-10T13:27:28Z
@teresabusico2683,They are both extraordinarily HANDSOME...😊😊❤❤,4,2025-05-02T22:38:58Z
@bryanmuncy3900,"Pops is pure stud and has been since the old days, you&#39;re lucky glad you appreciate it.",42,2024-08-07T00:10:43Z
@flow-how5578,Your grandpere was a real Machine at 59!!!!!,21,2024-07-30T10:40:42Z
@jonathanmontana3591,This video make me cry😢 I never had a father growing up but it hit me really deep to my soul. Good bless this family.,85,2025-01-17T08:27:27Z
@moffjerjerrod1579,I miss my grandpa. He was the best. He could fix anything. And even when he lost his sight he could still do ir by feel. RIP Grandpa,26,2024-08-13T17:47:07Z
@violettemitchel6772,Lovely Dad and Son! You two are blessed to have each other!!❤❤❤,2,2025-04-05T17:48:52Z
@elissel,"That sweet kiss on his head  ... you sir, are a doll.  ❤",89,2024-08-13T06:38:37Z
@RainRain-qh9eg,"Man, your dad’s arm is to die for. Handsome genes runs in the family. 💪❤",61,2024-08-03T18:22:14Z
@gagrg76,Grandfather definitely looks like he was no joke in his days!! 👍,5178,2024-08-07T17:34:17Z
@nellyaiyke,"Beautiful, this shows you got you dads look 100%",2,2025-03-29T04:53:09Z
@Ruatsanga13,Grandpa was an absolute unit back in his late 50s,20,2024-08-17T19:50:22Z
@icutoffmyleftwing7190,A proud father makes a proud son.  Your dad is a complete unit.,210,2024-08-15T03:34:02Z
@t-dog82,Grandpa was a Beast ! Mine was 93 and still had stories I never heard !! I’d give anything to have lost family members back !,54,2024-08-18T21:41:46Z
@frankrodriguez7311,Such a beautiful moment to remember one&#39;s early childhood at dad&#39;s lap!!❤❤❤,2,2025-03-25T19:00:47Z
@Bramnxz,Nothing takes my mind off why older people looked so beautiful in old photos.,135,2024-10-13T10:15:37Z
@rwilson7197,Dad was so handsome and now Regal.  Respect!!❤❤❤,317,2024-08-06T16:15:39Z
@k恭子-v6l,素敵❗️お父様と、息子さん、イイ親子さんですね❤何時までも、仲良くお幸せでいらしてね最高🎉,165,2024-09-09T21:28:59Z
