Author,Comment,LikeCount,PublishedAt
@g9teen,Wow lovely editing ❤❤,7,2025-05-03T13:33:08Z
@eduarortiz8647,That looks so COOL 🤯,159,2024-11-26T20:30:01Z
@cerealfibre6938,"Zach, are you ok?😮😮😂😂🤣🤣",673,2024-11-26T20:21:46Z
@nibalumbertrand1908,The plant needs more of Zack. He was tastier than any other meal ever had.<br><br>Edit: Thank you All for 500 likes 🥹.,587,2024-11-26T20:28:55Z
@Maxxattack-m4,“What goes in never comes out” ahh moment 😂😂😂😂😂,0,2025-03-26T20:01:20Z
@GegeOriloye,In the belly of plant. I only knew of Jonah in the belly of a fish. 😂. You are truly a King,22,2024-11-27T06:05:37Z
@gaelbernal2025,Props to Zach for always giving his life in these shorts ☠️,105,2024-11-26T20:33:50Z
@EKinus-24,"This Sketch has been filmed in The Massoala Halle, in the Zoo of Zurich.❤🎉",15,2024-11-26T20:45:49Z
@BellBoop,This video actually teaches us something it teaches us that it&#39;s about what&#39;s on the inside that counts not on the outside,4,2025-01-12T13:07:24Z
@Startlight-o3m,It looks really cool. How was it made?,1,2025-01-09T12:04:17Z
@Livlovbts,In his Indiana jones era lol!😂,40,2024-11-26T20:33:54Z
@Nico-yi2bi,OUCH.. falling on those pebbles has got to hurt.,2,2025-02-03T22:51:28Z
@vador_v7693,El loco Dave: webi wabo(mi momento ha llegado)<br>😂😂😂,2,2024-12-02T20:17:19Z
@Waynetxsa,I like his type of Magic/Illusion,6,2024-11-26T21:45:57Z
@chikali187,"Omg thats sooo good 😂❤ the plant think:,, oh you look so delicious yummii 😋 you are mine....&quot;",4,2024-11-27T07:38:02Z
@kasperfrkjr7473,Erm actually venus flytraps wait until prey walk onto their traps🤓☝️,3,2024-12-15T15:40:02Z
@RecallGaming533,Camera man never dies😂,4,2024-11-27T07:30:16Z
@LukeMan97,The cameraman never dies is so true😅,1,2024-12-24T18:32:47Z
@Johnmurray77,I love your videos ❤,8,2024-11-27T16:06:54Z
@pawansahu4280,Bro playing Plants vs Zombies in real life ☠️💀,4,2024-11-27T10:26:12Z
@JackSchneider-r7x,Legend says he didn’t do his Duolingo French lesson.,154,2024-11-26T21:43:07Z
@antharaaralielabelle6433,Depuis Haïti 🇭🇹  manman  gen yon fleurs  konsa mwn tou boulel❤❤❤❤😂😂😂😂😂,2,2025-02-17T14:04:22Z
