Author,Comment,LikeCount,PublishedAt
@jayrathor8482,Who noticed the sponge smiley ball😂😂😂 <br>Edit: Thanks for the likes🤩😇,6935,2023-10-16T08:07:37Z
@GreenBattles-K60,❤❤❤❤nice 1 👍🏻🙂😊,332,2024-04-09T02:10:40Z
@ArjunSyamArjun,Teaching made artist:😊<br>Self made artist:💀 are deadly pro,3,2025-04-24T15:44:59Z
@avelyncathren,Team got scared at first looking at the ball🤣🤣😂,1787,2024-01-02T18:25:33Z
@rickybhatti4688,The smile face scared me at first 😂😂😂,515,2024-01-14T08:28:52Z
@freddietaylor9876,that ball scared me at first,416,2023-11-08T23:38:02Z
@power_2.0-p2i,His expectation in comments: Wow Amazing 3d drawing ❤😮<br><br>The Comments: who noticed smiling Ball 😂😂,68,2024-03-16T06:10:20Z
@honiacorpuz,Wow! Your art is so good that my eyes are going crazy 🤣🤣🤣,2,2025-04-26T04:42:25Z
@Brunoki22,"Still, how the heck did his pencil go under the box??<br><br>Edit: Ok, guys. I get it. It was video edited.",579,2023-11-06T06:51:11Z
@PandaNerhu,You Have Became The 2ND Zach King,318,2023-09-12T11:18:00Z
@ArtiSaini-x9q,Nice thank you so sweet and beautiful pictures of my life 😊😊😊😊,9,2024-10-15T14:21:29Z
@Thewifipassword,I have questions.,1060,2023-10-06T22:56:02Z
@MeldyCajucom,Wow! This is great talent ❤,13,2025-03-11T05:40:11Z
@MariaConceicao-or6dj,The drawing was cool and the editing was insane,1,2025-04-15T21:53:42Z
@OggyMc134a,Team who noticed the weird scary and a bit funny ball😂<br>👇,38,2024-01-19T16:24:45Z
@madhurivaghela-po5hb,And this smile is very horror of course and this drawing is very nice❤❤❤,4,2025-03-20T14:28:24Z
@meisrobloxorphanage6975,realistic ❤❤❤❤❤❤❤❤❤ you’re a professional art ￼￼,1,2025-03-19T08:20:30Z
@yaquelinmorejon8511,That ball scared meeee 😂😂😂😂Turbiooo,17,2024-05-25T03:42:43Z
@midnightgamming7023,"Wow, that looks so magic🎉",4,2024-11-11T21:51:41Z
@SyedaRushmileFatima,It is a good sketching l like it 🎉🎉🎉🎉🎉🎉🎉😊😊😊😊❤❤❤❤❤❤,1,2025-05-14T11:53:13Z
@saadinhalf,Perspective was already impressive<br><br>Masking that so accurately was even more impressive,230,2024-10-03T23:19:50Z
@thesmartwayest,It&#39;s good 🎉🎉🎉 i love it ❤❤❤❤,12,2024-09-21T11:44:12Z
@up.13rtgamingyt33,Wow what a magic ❤ and smiley ball😂😂,2,2024-12-28T14:12:17Z
@KitsuneKatt,The smile ball 😱,62,2023-10-03T01:04:55Z
@CristaDavis-jf2eg,I have a few questions if it’s fake then how did you get your pencil under it if it’s glued,138,2024-07-06T01:33:14Z
@rgibbons346,Your art is so mind blowing,2,2025-01-26T19:19:22Z
@NurAthirahNabilah,Whatt!?? 😮😮,38,2023-11-13T11:24:21Z
@arielestrella6695,Ain’t no way got that smiley face ball from that store abt 😂😂😂😂,4,2025-02-06T01:31:42Z
@AnkitaSinghchauhan-m2p,Oh wow what a illusion bro nice 💯😊,1,2025-01-25T14:43:32Z
@adam_always1945,Who’s watching the video while reading the comments?,90,2024-08-02T21:12:08Z
@PoonamMishra-f2c,Only legend was notice the sponge smiley ball😂😂😂😂<br><br>Mom I got famous 😅,132,2024-06-25T03:52:22Z
@kasiadraws2012,This is so beautiful ❤️❤️❤️,1,2025-02-25T13:41:28Z
@rahahassan5132,Yooooo 🤘 bro you have done 👍 very nice 👍,4,2025-01-26T09:53:41Z
@Duh670,Bro just puzzled our brain like it was a rubik cube ☠️,15,2024-01-18T12:59:05Z
@vrgaming1482,It is very very very realistic😮😮😮😮😮😮😮😮,1,2025-02-09T16:14:17Z
@SketchFlow13,"Wow, your sketching technique is amazing! I love how smooth the shading is. Do you usually draw digitally or traditionally?",2,2025-02-14T04:55:58Z
@phucthanh9023,That smiley ball got me at first ( lol ) 😂 😅,7,2024-06-09T03:54:59Z
@Naturallandscip3103,Waw is the good special art 👍👍💪💪💪🙏🙏❤️❤️,1,2024-12-20T22:53:44Z
@loukaarevalo4003,Yooo W bro ❤,4,2024-12-11T17:20:54Z
@Your_Only_Steffanna,My brain is not braining 💀,12,2024-08-28T14:48:41Z
@ThadGavriel,This makes me confused but I liked it😁😊,1,2024-10-26T05:44:04Z
@my__princess802,Like whi saw smiling ball  shocked,6,2023-10-26T08:27:02Z
@HameedaMk-s6k,Realy😯 nice 👍🙂💕,4,2024-11-04T15:36:30Z
@AdminatFitchMarketing,The smile face hits different 👏🏼😩,1,2025-04-09T22:07:43Z
@MeriamMohamed-o5c,"The smily face in the background smiles even more, and it becomes more freaky 😬😂",19,2024-10-07T19:53:26Z
@rupalmore3493,Its majic na ❤❤,9,2025-02-04T14:59:34Z
@AaryaTripathi-k6m,The ball reaction is wow 😂 but drawing is best who agree 😂😂,1,2025-01-22T12:12:56Z
@rakshan1790,Draw the.  Nice picture with you 😍😍,5,2025-02-02T05:16:32Z
@sumanpal568,Who noticed that smilie cringy ball 😂😂😂😂😂😂,136,2023-10-07T10:09:27Z
@myvideos7940,you have done a great job,1,2025-01-12T17:06:06Z
