Author,Comment,LikeCount,PublishedAt
@YoussefTaleb-qn8uk,New skill unlocked the American hot water,29323,2024-08-27T09:32:44Z
@Kurtybird,Oh thats how they put it on cans and bottles😮,19014,2024-08-25T03:53:08Z
@larstreat8650,"Yes this is how they put labels, just dont forget the vortex. Its the most crucial part.",869,2024-09-23T12:31:20Z
@NAHIDVlogBD423,𝐇𝐨𝐭 𝐰𝐚𝐭𝐞𝐫 𝐩𝐨𝐰𝐞𝐫💪,7582,2024-08-23T01:46:37Z
@maqaimayes8800,"if you look at the chinese symbols you might ask, “what does that mean?” well the symbols 热开水 means hot water. 热（rè） means hot and 开水（kāi shuǐ） means boiling water 😃👍🏽",955,2024-09-20T12:32:26Z
@Itsnot1c,Random Commentor:<br>&quot;American Hot Water Power!&quot;<br><br>The machine&#39;s origins: 🌏🌏🌏,62,2024-08-28T08:29:49Z
@StreamKingRello,Yea I use to work a bottling company and this was it pretty much😁,6,2024-08-26T23:02:18Z
@Based_Face,My sack does the same exact thing in cold water.,2130,2024-08-28T02:13:25Z
@magnusnielsen2648,Never would have worked without shaking the bottle,19,2024-11-14T16:01:40Z
@MeowvieMagic-z5v,I love how you explain things so clearly and make it easy to understand.,2,2025-02-24T08:01:10Z
@RK-fy4yo,That&#39;s why my beer sometimes tastes funny 😂😂,35,2024-08-27T01:02:53Z
@CatcreatoR301,Ooh satisfying I’d love to have a job that involved doing that lol,280,2024-10-06T19:05:30Z
@F-A7,I live in England and we have two of those taps - one just for hot one just for cold. You cannot get them to run luke warm it’s either boiling hot or ice cold.,14,2024-10-05T10:21:38Z
@ThaKiddCT,Omg who could&#39;ve known shrink wrap actually does what its supposed to do when applied the way its applied.......MIND BOGGLING,601,2024-10-15T05:33:10Z
@Giova104,Thank you for shaking my beer,48,2024-09-24T16:02:31Z
@e1_vemoss70,"I work in a factory, and there is a sleever machine that throws the sleeves on, then a big  heat machine that the bottles go through to melt the sleeves on",105,2024-10-02T07:14:39Z
@SeanSCorliss,This is pure joy!,1,2025-03-02T13:36:59Z
@dikshantrathor6291,999+ missed calls from industirial bussniss mans😂😂,271,2024-09-22T16:12:33Z
@MarianaM-m9v,That was so satisfying😌😌😌<br>Wait if we touch the water do we get burned,16,2024-09-17T12:19:29Z
@yavaland4121,The beat synchronized 😮,574,2024-08-25T08:01:53Z
@99SecondsofBrooklyn,This deserves way more views. Such an underrated masterpiece!,2,2025-02-06T03:51:23Z
@RitaRoy-1310,This is oddly satisfying and genius at the same time!,77,2024-12-12T10:48:17Z
@kirandsouza3529,"Hot water magic, you don&#39;t understand when you feel hot😂<br>When your 5 inch nerves feels that😂😂",133,2024-08-25T18:41:59Z
@please-wake-up-now,"This is super cool! Mixing soda with wine sounds wild but also kinda genius! 🍷🥤 Can&#39;t wait to try it, I bet it&#39;s gonna be a fun drink for parties! 🎊",113,2024-08-25T15:02:09Z
@Recyclingprocess,Oh that’s how they put it on cans and bottles 😊😮,0,2025-02-12T09:59:01Z
@ryleemaddux2106,Love how YouTube makes simple things like this into these hardcore videos,8,2024-08-28T12:50:19Z
@BaoBlackstore,"Sending you good wishes for Monday, luck for Tuesday, smiles for Wednesday, all the best for Thursday, success for Friday, warm love for Saturday, and a happy Sunday. Blessed!",17,2024-11-28T15:12:38Z
@dr.driller5373,At least he didn’t put the picture of Einstein with it,29,2024-12-10T07:42:20Z
@SamAzar-p4p,this fused like yuji and sukuna 💔💔💔,1,2025-01-26T13:27:55Z
@DjJasmine2024,Music makes everything 100x better,12,2024-12-11T10:58:53Z
@gwalker1652,We did this with a steam tunnel in the bottling industry. 👍🏽,5,2024-12-23T23:39:13Z
@Espanolo-0lo,This is useful for lots of people!,5,2024-10-27T10:42:35Z
@natural-l2s,Oh thats how they put it on cans and bottles😮,1,2025-01-05T13:24:12Z
@Mahbod_christian,POV: me turning a shampoo to a coca cola with this stickers💀💀,110,2024-08-25T09:31:11Z
@beastlyblends07,Your editing skills are top-notch! Such a pleasure to watch.,4,2025-01-24T07:49:57Z
@megawatch8625,Music makes everything 100x better😎,35,2024-08-27T00:45:20Z
@mastermindynwa2444,Now i know why my beer is hot 😣,0,2025-01-08T21:43:06Z
@tessi-z1q,"Hi love you videos so ao much<br>They always my notifications<br><br>My mind:✨<br>“You’re a mature adult” 💛<br>“You’re a mature adult” 💛<br>“You’re a mature adult” 💛<br>💛😊%",13,2025-01-26T14:18:30Z
@clash_king1486,Good job now your drink is hot from the hot water 🤣,72,2024-08-30T06:48:04Z
@zaine6669,Company: &quot;American Power Train Soda&quot; <br>The faucet: clearly showing mandarin,419,2024-08-27T01:45:38Z
@aliannacrow5830,Yas yo rebranded lol. Love it,0,2025-01-12T00:39:54Z
