Author,Comment,LikeCount,PublishedAt
@legenduamrbhokal7214,Ping pong ball trick shot: ❎ <br>Twinkle twinkle little star: ✅ <br>               😂😂😂,210147,2024-09-10T08:01:34Z
@marydadzie955,Bro started from sunrise to sunset a PhD in dedication,60714,2024-09-11T11:15:33Z
@Forget-me-not25,Ping pong ball sounds: ❌<br>A B C D E F G: ✅,21442,2024-10-16T11:22:08Z
@amiracalicocat,Bro is playing A B C D E F G 😂😂😂😂,31,2025-02-03T22:00:55Z
@Im_in_ur_walls877,It went from undertale to twinkle twinkle little star,5050,2024-09-14T15:29:45Z
@OneTrueChris,Dead internet theory is real😭🙏,1343,2024-12-30T10:46:41Z
@HplaysGAMEZ,Everyone saying twinkle twinkle little star <br><br>My ass thinking bah bah black sheep,263,2025-02-02T11:17:24Z
@Lovelybroq,The only guy who can solve Navier -Stokes equation,1,2025-02-09T06:42:24Z
@amoghverma3108,Eventually turned out as Twinkle Twinkle Little star😂<br>Edit: My God! Thanks for the 17K likes🥹,17874,2024-09-07T09:56:25Z
@sharpiefam2788,Ping pong ball trick shot: ❌<br>Twinkle twinkle little star: ✅<br><br>Edit: OMG THANK YOU SO MUCH IVE NEVER GOT 11K LIKES BEFORE😭😭😭💗💗💗💗💗,28176,2024-07-22T05:33:28Z
@human_eggbeater,&quot;what instrument do you play?&quot;<br>&quot;pans&quot;,2200,2024-11-21T04:04:24Z
@I-am-soihau,not my artistic instincts brewing up a song with this,1,2025-02-04T01:09:58Z
@NexiTech,Some people have way too much spare time 😂,297,2024-11-15T11:11:38Z
@Kazuma-cz7ng,キラキラ星作っててマジてすごいと思う。尊敬する。頑張ってください！,3772,2024-09-11T17:07:46Z
@K162KingPin,He had a good start there for &quot;Twinkle Twinkle Little Star&quot;,789,2024-12-24T22:20:14Z
@xahidhasan6090,The guy in the greendress is working really hard 😂😂😂,0,2025-03-17T19:27:44Z
@MSz-rj5jd,I thought he was Ter Stegen 💀,690,2024-12-17T19:25:04Z
@edvinyang5465,"Look at the light, he spent a whole day😂😂😂",402,2024-12-14T15:58:45Z
@Nebula_Ena,1. Sans Undertale ❌<br>2. Twinkle little star ✅,1511,2025-01-19T22:15:38Z
@UltimateAIFishing,Dead Internet Theory is too real! 😭🙏,2,2025-02-18T08:44:37Z
@Spain10Animations,The way the ball entered the cup and with the sound 😂<br>S M O O T H,16,2024-12-25T21:53:35Z
@Sasgoo46-10,Dead internet theory,747,2024-12-26T00:22:57Z
@nning_yian,Dead internet theory:,687,2024-12-17T21:33:08Z
@zakkarcher,"&quot;Ping pong, ping pong, trickshot hard&quot;",1,2025-02-04T06:37:54Z
@symcodm1488,Mom : Darren!!!… where are my pots I need to cook<br>Darren : twinkle twinkle little star,347,2024-11-02T08:22:33Z
@Vivienne-i5i,The whole time I was watching this I was like...<br>tWiNkLE TwInKLe LiTtLe sTaR😹😹😹,392,2025-01-11T15:46:38Z
@Kevingv08,Meanwhile Ter Stegen doing trickshots on his home:,112,2024-10-18T07:30:16Z
@oscarlieow2002,“One missplace is all it takes”,1,2025-02-03T19:33:59Z
@betterideas,Surprised nobody else thought it was going to be “God Rest Ye Merry Gentlemen”,137,2024-12-17T19:59:33Z
@MariadoSocorro-f7s,Bro summoned an whole Undertale Fandom with those firsts three pans,155,2024-09-11T13:33:41Z
@snowz4314,Daha dün annemizin kollarında yaşarken...,677,2024-09-11T14:56:38Z
@Qmanity,Trick shot ❌<br>Tune shot ✅,1,2025-02-10T07:20:26Z
@muhammadaqil5548,Dead theory was real😔,289,2024-12-26T12:57:49Z
@musicmaniacrr4502,&quot;Baba black sheep have you any wool&quot; 😂😂,825,2024-09-04T16:07:57Z
@aluminumslug,the dead internet theory is real,390,2025-01-22T16:25:37Z
@HahaNoComment,Dont know why it sounded like the Corn intro at the start lmaoo,2,2025-03-18T00:16:35Z
@aayatisharmaa,Bro just played twinkle twinkle little star😂😂😂,345,2024-09-15T07:08:16Z
@yvetteo6571,bro was halfway through getting dressed and decided to do a trickshot,192,2025-01-06T00:47:12Z
@o_brown77,Mother: Did you prepare for the upcoming exams today?<br>Me:,178,2024-12-16T17:42:24Z
@arnavverma7491,Charlie Puth be making a song out of this😂😂,0,2025-02-04T14:46:21Z
@P_Nut07,<b>That unemployed friend on a Tuesday afternoon</b>,430,2024-09-06T11:03:19Z
@theteenjewels,Twinkle twinkle little star!?!? Anyone else!!!??? 😂😂😂😂😂😂😂 trick shots great but the song got meeee,612,2025-01-19T04:13:38Z
@ΙωάνναΠ-β2ο,Start: megalovania💀<br>End: twinkle twinkle little star 😂💫⭐,346,2024-11-27T19:43:42Z
@FunnyStuff327,"&quot;Wait, I know this....Sprinkle, Sprinkle, Mr. Car?&quot;",0,2025-02-11T03:11:25Z
@2JesseandMikeMember,Friend: what instrument do you play?<br>&quot;frying pan and ping pong ball&quot;,430,2024-09-16T08:24:35Z
@alteredchallenge9318,"That ball just magically defied all kinds of physics, especially the end when it just teleports itself into the cup.",603,2024-09-09T23:43:57Z
@MUICHIRO-SAN-,Abcd - ❎<br>Twinkle lil star - ❎<br>Puppet(FNAF) - ✅,465,2025-01-21T10:03:19Z
@IDK_375,My brain: Undertale?🧐<br>Later on: A B C D E F G😃,0,2025-03-13T22:14:58Z
@Lavadawg,Alive internet theory:,454,2025-02-02T19:51:12Z
@yasminimito,the first three pans kinda sounded like undertale to me 💀<br><br><br>Edit: yoo ty all for the likes ive never gotten this much🤧,426,2024-09-10T17:07:37Z
