Author,Comment,LikeCount,PublishedAt
@BobsurUncle1117,That was the most aggressive &#39;GIMME PIECE!&#39; I&#39;ve seen yet. 😂😂,18810,2025-02-25T01:33:15Z
@SimpxSlayer,The baby had gained magnificent strength.,1774,2025-02-20T05:33:09Z
@phiaink724,I&#39;ll never get sick of seeing this baby fight a grown man for that icepop 😂 the rustle of the packaging gets me EVERYTIME 😂😂😂😂😂,17681,2024-08-25T21:59:49Z
@TGR-s1o,I have never seen more determination from anybody than this one baby,76,2025-02-25T14:41:54Z
@SHANELL032007,That baby strength when they want something is crazy! 🤣,235734,2024-07-05T18:53:06Z
@soukainalamtkhame9875,It went from a normal moment to a “GIVE THAT THING RIGHT NOWWWWWWWWW!😂❤,19182,2024-05-12T19:40:44Z
@nikkibaby726,That baby discovery of life outside of milk bottles is insane 😂.,63544,2024-05-12T17:32:24Z
@alexzandria6803,This made me smile. Thank you. Babies are so wonderful. They’re new here. Everything is new. He got so excited and had to have more. So cute.,233,2025-02-15T08:58:05Z
@timesfly1081,That pause while waiting for them taste buds to fully process the new flavor got me rolling 🤣,25870,2024-08-17T04:06:46Z
@sharriceowens913,The struggle to get that popsicle back was REAL!!😂😂😂,91583,2024-05-17T21:14:28Z
@MelissaKrystal,Baby boy was ready to fight for it 🥊 his motor skills went for 30 to 80 real fast.,37395,2024-05-28T18:24:13Z
@lilyfung5984,wow what a handsome brother 🙃 lol the baby bought for it &lt;3 so cute,3,2025-03-08T10:43:06Z
@DamoniMckoy,That boy said give that shit back<br>😂😂😂,130805,2024-05-16T00:38:59Z
@airborne444-s1b,Unbelievable pure comedy this is one of the funniest babies reactions I ever seen in my life🤣🤣🤣🤣🤣,3044,2025-01-24T00:33:05Z
@LIVE_Concerts_STL,His lil brain was like.  I know you fucking lying 😂,19309,2024-05-25T17:17:39Z
@frankmontoya8838,"This is one of the best shorts I&#39;ve seen genuine father showing love to his kiddo the bond is what sets life ,💪💪💪",2,2025-03-06T18:30:04Z
@kaki_maki403,The frantic grasping at the packaging in an effort to score the popsicle again had me 😂,48223,2024-05-29T22:07:18Z
@shystriker,The withdrawal symptoms have already started kicking in 😂😂,22055,2024-05-21T11:11:02Z
@jacobs9129,"&quot;Mmm, that&#39;s good.&quot;<br>&quot;THATS REALLY GOOD&quot;",2227,2024-09-30T19:23:34Z
