Author,Comment,LikeCount,PublishedAt
@Deez4000,All jokes aside this dude is fucking killing it with what he has going on.,43967,2024-09-08T20:02:31Z
@jeffreymurrayman,In all honesty i love this guy. He took his situation and said &quot;fuck it we ball&quot;,14497,2024-09-08T13:58:13Z
@ihitalick607,If “I’m BUILT different” was a person.,7505,2024-09-04T11:40:25Z
@duchangeaurelien5029,"Bravo a ce mec, il a réussi à transformer son handicap en talent 🎉❤",14,2024-09-25T16:11:19Z
@DubbxJay,His pull up game is undefeated,47905,2024-08-24T22:39:04Z
@TGWT,"Bruh, that aint a disability. Thats a whole ass ability.",17241,2024-09-06T06:53:07Z
@N0pe694,He ain&#39;t got a disability. He got dis ability to get sturdy😤💯🥶,19182,2024-09-05T06:17:09Z
@Teng_Siat_Hwa,"When life gives you lemons, you sell fcuking lemonade. <br>Way to go, young man. Kudos",18,2024-09-24T23:51:37Z
@Tabitictabit12,“What’s your height?”<br>“Which leg?”<br>“what”,5926,2024-09-07T18:11:13Z
@CyrusLeeJ,Never thought the Paralympics would have better break dancers than the regular Olympics,5483,2024-09-10T10:48:32Z
@Jacksonvillian904,Homie is simultaneously shorter and taller than that guy 😂,10293,2024-09-02T15:50:39Z
@davidhouse1985,He definitely has a leg up on the competition. 😎🔥,230,2024-09-25T12:36:09Z
@greatnate9492,"Bro, that&#39;s straight up the most creative way I have seen someone use their disabilitie to such a degree that it&#39;s almost an advantage. <br>Straight up props to this guy.<br>Edit: Thanks for 15k likes:D",22527,2024-09-04T06:57:03Z
@onnihalme8819,Nah that height check was brutal,2675,2024-09-07T18:26:25Z
@coffee7973,Bro&#39;s heavenly restricted.,3242,2024-09-05T01:16:57Z
@OH5311883,Bless his heart. Confidence overload. Make the best with the hand that life deals you.,5,2024-09-25T11:04:18Z
@mfadliilrizaldy5867,Bro didn&#39;t says &quot;I got disability&quot; He says &quot;I got This ability&quot;,1772,2024-09-10T10:51:34Z
@humanbeing1429,"That&#39;s actually awesome. It&#39;s a move that only he can proudly pull off. He is not handicapped, he is more equipped. Bless his soul.",1752,2024-09-12T02:00:19Z
@King_platano420,That shit was low-key smooth asf . Especially the beginning 🔥,629,2024-09-17T22:31:36Z
@ShowrammaPasala,Self esteem and self confidence ❤,100,2024-09-25T03:11:35Z
@Susweca5569,I have nothing but respect for people who are dealt things like this and not only push beyond it but EXCEL at what they choose to do.,936,2024-09-23T20:02:24Z
@jimmyfx5699,This man is a half-step ahead of his competition. ✌️,563,2024-09-14T03:34:35Z
@kimberlyryan4976,"Good for him, not allowing a disability to keep him from doing what he loves! I admire people like this!",1100,2024-09-16T13:23:23Z
@kelleyonderdonk5951,This Guy’s My Hero!! Love The Art Of Dance &amp; His Perseverance! Blessed Be!,0,2024-09-28T09:25:47Z
@joebudi5136,Dude is making it happen with what God gave him! Get it bro!,178,2024-09-24T10:11:09Z
@mephistopheles4910,If this guy competed in break dancing at the Olympics it would probably be on the roster for the next Olympic games.,537,2024-09-19T01:50:44Z
@sandeeppathak5932,This person is the real man.❤,135,2024-09-24T05:36:47Z
@RebelRoseJade,God bless you for not letting this hold you back and encouraging others.,1,2024-09-26T00:14:48Z
@ApexFanZDroid,"All jokes aside, he&#39;s doing amazing, ong",688,2024-09-02T10:41:07Z
@liquidSAusage8900,I&#39;m Soo happy he found use for his disability even though he has almost every excuses in the world ❤️,822,2024-09-05T05:17:15Z
@cloudycatgod,Props to this guy for using what he’s got  in a creative way,312,2024-09-05T02:54:16Z
@denisemcguire4719,"What courage, talent and humility. Fire ability..",2,2024-09-25T09:47:47Z
@felicidadthompson6916,Example of doing it to the Max with what God has given you. Hallelujah!,84,2024-09-24T15:25:36Z
@deathdealer7916,If everyone has this guy&#39;s attitude there would be no sorrow in the world,72,2024-09-22T09:05:09Z
@darrengillespie1761,Buddy too got some seriously good moves and banter to boot. RESPECT ✊,96,2024-09-22T07:27:00Z
@alene2981,You work with what God gave you.❤❤❤.,1,2024-09-28T07:27:17Z
@AlexFoxken,this is the definition of &quot;make your disabilitys your abiliys&quot; .,226,2024-09-17T03:54:34Z
@Jwag353,He should have been in the Olympics. He’s better than the Olympics people,238,2024-09-06T10:54:08Z
@Ester27182,Honestly I think it’s so awesome when people with disabilities relating to their limbs or a lack thereof go into things like break dancing. It’s like a level up fr,74,2024-09-07T13:23:20Z
@derrickwilson3597,THE VERY DEFINITION OF WORK WITH WHAT YOU GOT !¡!!,1,2024-09-29T13:51:16Z
@EggShellGames,Bro’s aura is too overpowered 😭🥶,172,2024-09-08T09:41:58Z
