Author,Comment,LikeCount,PublishedAt
@shorts9801,Guys who think it&#39;s fake<br>👇,51895,2022-07-28T18:10:13Z
@ignazpreysing6494,Mom can we have acting ?<br>Mom: We have acting at home<br>Acting at home:,2558,2021-05-15T22:38:10Z
@animeman3628,Everyday tiktok makes me believe that thanos was a good guy.,473,2021-05-26T10:15:14Z
@Stupid_editor699,If he actually ate the sponge that would be funny 👍,128,2024-03-03T21:46:42Z
@staffryte951,She is such a good actress she needs an Oscar,80,2021-05-02T21:28:28Z
@axolotl5847,i miss the days when pranks werent staged and were actually funny,10987,2021-06-12T03:35:29Z
@sire_beandon,Hes the type of guy to poke his eyes for a blind date.,121,2021-05-23T00:12:09Z
@JunkcoelleHudson-kv4xy,"&quot;Babe, the rent is due&quot; &quot; I know, i got this&quot;😂😂😂",15,2024-03-26T03:57:54Z
@user-ty1yr9fs7c,he the type of guy to congratulate you for getting in A + on your blood test results,81,2021-05-21T11:21:04Z
@manasx69,The comment section nowadays is more interesting than videos 🤣🤣,1408,2021-05-12T12:31:48Z
@JustForNewz,He is he type of guy that puts a watch on a bird to see time fly,61,2021-05-23T10:43:12Z
@JorgeUrielDeJesusDeJesus,Yo sé que vendiste del canal de Germán 🧐,227,2024-06-15T23:52:44Z
@Pavan_kalyan5821,Give her a Oscar award she worth it ..😂😂,806,2023-05-05T13:50:28Z
@sǫss-z9v,"The camera men: As long i don&#39;t move, they won&#39;t see me",197,2021-05-15T10:00:16Z
@samonfayahhh323,This channel makes me realize why Thanos wanted to wipe out half of the world,1028,2021-05-03T00:48:04Z
@saeedkhater5409,Your almost to 1B views,2,2024-10-22T08:13:43Z
@LucasMinecraft315,“How fa-“<br><b>”YES”</b>,862,2022-10-21T22:12:53Z
@user-straw,Everytime I feel like an idiot I watch one of these videos and remember that I probably have an iq above room temperature,62,2021-05-01T11:55:45Z
@pawnblues6835,this is the kind of girl who screams when lights turn off at school,1740,2021-05-06T20:22:59Z
@kathygeromo4860,Okay we all need DJ COOK here pls 💀,5,2024-06-29T13:26:19Z
@adolfoquispe8112,This made me realize y Thanos wanted to wipe half the universe,83,2021-05-06T21:29:49Z
@HUHbohnie,he’s the type of guy who stands in the sun to dry his sweat,369,2021-05-21T11:24:43Z
@novalta_,Omg such a real reaction I totally believe this isnt staged,275,2021-05-12T00:50:11Z
@skscreations2023,&quot;The girl urgently need an Oscar for her living acting&quot;.😂,231,2023-05-10T15:57:51Z
@boigd7995,He’s the type of guy to take a ruler to his bed to see how long he sleeps,248,2021-05-23T14:28:19Z
@siimplymaddie1783,Hes the type off guy to say hes vegetarian while he eats nothing but 🍖🍗🥩🥓,74,2021-05-03T15:53:10Z
@ShumanYadav-xf9ro,Blue😊😊😊😊😊😊,4,2024-04-15T09:46:25Z
@Cheriens2007,He is the type of guy that wakes up his parents to tell them he is going to sleep,580,2021-05-14T07:45:26Z
@hillarmyyesudas4703,She will be winning  an Oscar award for that acting😂😂,392,2021-11-05T08:04:50Z
@mrmath519,I love how she just ignores the blue stain,135,2021-04-29T22:22:52Z
@jhencaleza6250,Bruh this video got viral lol and it&#39;s funny how he ate a sponge😂❤,1,2024-03-15T17:29:40Z
@smudge3618,"&quot;If idiots could fly,tiktok would be an airport&quot;<br><br><br><br><br>-A very wise soul from youtube",63,2021-06-13T03:28:01Z
@arbenalacaloglu6995,-Mom can we get acting to house<br>+No we have acting at house<br>Acting at house :,48,2021-05-24T07:33:28Z
@DogEdits-y7u,I love Topper❤,2,2025-03-01T20:39:53Z
@charmscobb5513,She’s the kind of woman that when her bf eats a sponge she soaks him with water thinking that it’ll help,1986,2021-05-11T04:25:46Z
@08Briansr,Guy: <b>eats a fake sponge</b><br>The girl: <b>acts like she witnessed an entire building explode</b>,4241,2021-05-26T03:29:21Z
@Famous_From_Commenting,This short has over 30 million dislikes 💀 That’s more than the population of Australia,283,2024-05-28T09:39:00Z
@ReptileDisfunction43,"Me: Mom, can we have acting?<br>Mom: we have acting at home<br><br><br>Acting at home:",213,2021-06-14T02:05:09Z
@edzelmacaranas4343,He&#39;s the type of guy who will sell his cellphone to buy a charger,505,2021-05-27T04:58:59Z
@serendipity4615,Yeah she definitely didn’t see u replace them XD,129,2021-05-05T23:07:32Z
@bashshartrader3468,I LOVE TOPPER GUILD,2,2025-01-05T22:54:11Z
@certified_yona,They the type of people that sleep all day and be wondering why they can’t sleep,1094,2021-05-12T03:52:13Z
@kailey7655,A wise man once said “ If idiots could fly tictok would be an airport,531,2021-06-08T22:28:02Z
@gango12346,OMG THIS WAS SO REAL 😱😅😂,49,2021-06-06T23:16:27Z
@sugar_14,&quot;H-&quot;<br>&quot;Yes&quot;<br>&quot;B-&quot;<br>&quot;YES&quot;,2,2024-12-03T17:07:26Z
@pixelrickshaw200,I am very uncomfortable with the energy we have created in the studio today,546,2021-05-24T19:03:05Z
@ninjafriseur5666,He&#39;s the type of guy who wakes up his Grandpa to tell him to take his sleeping pills.,2447,2021-05-16T17:34:33Z
@SHARAD9830,He is the kind of person who puts ruler under his pillow just to measure his sleep,437,2021-05-07T11:57:02Z
@AlienBrantly666,This needs 1 billion views,1,2024-11-29T04:05:15Z
@markussm48,You are close to 1 billion views,1,2024-11-15T00:17:56Z
