Author,Comment,LikeCount,PublishedAt
@poizonytgamingxx1504,She fr hit the &quot;i wasnt ready&quot; excuse 💀,79207,2024-11-10T05:52:06Z
@danielcastaneda7324,She really said &quot;its only fair when I do it.&quot;,37626,2024-11-09T17:56:13Z
@TusoEdits,As soon as she lost she trying to say it don’t count bruh💀😭,44213,2024-11-03T03:26:27Z
@ArriIsSilly,She fr said &quot;That doesn&#39;t count I wasn&#39;t ready&quot;,78,2025-01-26T04:00:43Z
@Walk-around-everywhere,bro hit the “tHaT dOeSnT cOuNt”,1563,2024-12-13T16:16:55Z
@eliqino,NO WAY SHE WAS LIKE “IT DOESNT COUNT” 😂💀,2270,2024-12-13T15:10:20Z
@AdibHurajrah,The girl after losing :thATs noT faiR 😭😭🙏🏼 &#39;GET OUTTTTT&#39; 🗣️🔥🔥,3528,2024-11-10T10:08:23Z
@SHELLYDINOSAURS,The girl tasted her own medicine LOL i bet she said<br>“It’s not fair!”😂,159,2024-12-19T07:01:06Z
@OfficialHamikosante,The girl tryna defend herself saying &quot;It&#39;s not counted i&#39;m not ready&quot;<br><br>Edit:Not gonna lie y&#39;all are pretty funny😂<br>BTW thanks for the 9.8k likes<br><br>Edit:I just hate girls yapping that&#39;s what I want keep liking!,12324,2024-11-12T09:21:06Z
@rakhisherma1374,That lady was surely saying &quot;JUST A SECOND!!😳😡&quot; 🤣,2016,2024-11-26T11:33:04Z
@karinadorado6263,Girly rlly said “that’s not fair😖” excuse💀💀💀,1264,2024-12-03T02:56:20Z
@Theowillow,BRO REALLY SAID BET💀,1,2025-03-10T16:25:04Z
@TGSOfficial2025,Bro took &quot;Taste of your own medicine&quot; to a whole new level,716,2024-11-03T11:00:30Z
@Builderzunite,scamming ❌<br>playing well ✔️<br>got demolished ✔️,474,2024-11-19T18:02:12Z
@AGiantPotato69,She really said “U have to make sure I’m ready”,433,2024-12-15T03:12:50Z
@liea-x8I,Not her complaining💀💀☠️,1,2025-03-10T05:11:59Z
@Shadow_mm2I,Scammer gets scammed ❌<br>Hogger gets hogged ✅,660,2024-11-07T01:20:27Z
@TheGoat-g3n,She actually try hitting the «it doesn’t count I wasn’t ready» excuse bruh💀,290,2024-11-25T06:32:13Z
@CrimsonGames2012,Woman even tried telling him &quot;its not fair bro your cheating!&quot; ahh excuse,1801,2024-11-18T10:52:04Z
@Mrbannana868,The sigma turned from that girl to the boy🤣🤣 her reaction after was crazy  <br>👇,2,2025-01-29T17:05:24Z
@HRTSJ,She went STRAIGHT to yapping 🙄,1369,2024-11-03T03:29:00Z
@JJK-g3z,"no one started complaining and trying to talk herself out of it, but as soon as she lost, she started to turn on the hysterics that infuriate women",100,2024-11-16T03:08:39Z
@Hedgehog_313,"the woman immediately cries, of course I&#39;m a girl, but this bro really kills 💀<br>Oh my god, 1.2 thousand likes, oh my God, that&#39;s my record",1287,2024-11-23T21:24:23Z
@milesfrills6969,She at the end said that doesn&#39;t count if you see closely 😂,1,2025-03-16T11:45:31Z
@scriptuber09,The girl had a clown face saying: Noooo that&#39;s not fair😭😭,92,2024-12-10T00:01:29Z
@Huminoid_D0ll,I love how she was about to argue. It looks like she was about to say<br><br>“yOu CaN’t Do ThAt!1!1!! 👁️👄👁️”<br><br><br>Edit: ya’ll the amount of likes😭😭,484,2024-11-27T20:41:10Z
@Azkaytishere,She fr hit the &quot;I&#39;m not Ready he scamming&quot; excuse of the skill issue<br><br><br>Edit:Ty for 800 like I never get so much like😭,804,2024-12-19T03:19:35Z
@ansarahmed2238,The girl:&quot;yes I&#39;m winning&quot;<br>The guy uno reverse card to her💀,111,2024-11-12T10:08:51Z
@merhaba_arkadaslar00,Scamming? Thats how the game works lmfao..,23,2024-12-13T21:17:06Z
@고양이나-k9g,“Im JuST a gIrL” ahh moment<br><br><br><br>Thx guys I’ve never had so many likes before,347,2024-11-08T16:58:54Z
@LonleyLemon,She was ready to make an excuse!😂,1,2025-01-20T01:53:28Z
@Alexcooly333,The girl tried to call excuses… but the guy on the phone never picked up 😂<br><br><br>Why does this only have 1 liek :/,157,2024-11-30T23:07:46Z
@Shapeshifter780,"Girl really said &quot; ERRRRM, AcTuAlLy, YoU cAn&#39;T dO tHaT&quot;<br><br><br><br>Edit: 159 likes?!?!?!? Omg yayayaayyaay",479,2024-11-13T04:03:17Z
@Iheartdw127,She was fr about to hit that “that doesn’t count!” Card💀,11,2024-11-30T01:04:45Z
@priyanshu.versee,Again she&#39;ll use women card 😂☠️,1,2024-12-25T07:25:45Z
@Boy-hf1uj,Bro realy went “DONT MESS WITH THE BOYZ “,14,2024-11-17T00:53:04Z
@yukies3955,Girl be like &quot;no no you can&#39;t do that&quot;<br>Even tho she did it like 4 times😂?,248,2024-11-08T20:43:06Z
@jedhigaming,The girl was like saying &quot;oh thats not fair&quot; in the end<br>BASIC AHH GIRL,71,2024-11-23T06:04:39Z
@Roblox_jake435,She said&quot; thats cheating <br>U cant do that&quot; frfr,1,2025-03-16T05:41:02Z
@ShanRein,&quot;Scammer gets scammed buddy&quot; hits hard🏴‍☠️☠️💀,19,2025-03-10T14:42:07Z
@Flamingspider613,That girl was about to hit the “NUH UH.” 💀,12,2024-11-12T04:14:15Z
@BiGmOmEy,"Now, when you got that one guy out, it was practically in his possession",4,2024-12-25T22:41:40Z
@Azkaytishere,She rlly said <b>I wasn&#39;t ready</b>,2,2025-02-20T05:41:58Z
@ThifanyHeinech,I know this girl is saying &quot;ERMMM ACTUALLY YOU CHEATED! ☝🤓&quot; 💀🙏<br><br><br>Edit 1#: Oh my god👁️👄👁️ bro mom I&#39;m going to be famous,402,2024-11-09T02:45:43Z
@carandant757,She’s one of those girls that complains about like the littlest things 😂,20,2024-11-11T16:13:02Z
@noureddinebouzeggar2138,&quot;No you can&#39;t do that&quot; ahh lost😭😭,28,2024-11-07T19:05:49Z
@NerdyNinadoesart,She about to say WAIT NO THAT DIDN&#39;T COUNT😭,1,2025-01-21T20:23:30Z
@muhammadfarhanjasmi3670,Scammed:❌️<br>Instant Karma:✅️,69,2024-11-09T07:51:29Z
@betterthanyou-78,i love she was like “no no no it doesn’t count i wasn’t ready” immediately after she lost 😂😂😂,15,2024-12-15T00:14:11Z
@Minny_Munch,not her saying no- 💀,1,2025-02-28T22:09:41Z
