Author,Comment,LikeCount,PublishedAt
@Easylemon89,I have a Xbox so if anyone wants to follow me on Xbox my username is Easylemon89,24,2025-04-13T20:14:38Z
@The_Part1san,my mom in another room started laughing at the same time you fell💀,47768,2024-10-12T17:20:30Z
@ICEKING-w7y,I know damn well that kid isn’t looking at the phone. He’s looking above it.,37231,2024-10-14T08:53:58Z
@USSR_132,&quot;So I&#39;ma... I&#39;ma&quot;<br><b>I&#39;ma go to heaven</b>,16814,2024-10-02T03:42:04Z
@GIGIishere-gigi,&quot;Wow so we saw the doctor&quot;so inspiring ✨✨✨,4,2025-02-09T11:21:30Z
@SquirrelAviation,&quot;I’ma…I’ma&quot;<br><b>Famous last word</b>,3713,2024-10-20T03:14:29Z
@ࢪيَنِغُوَکَو..1,I think the first one fell into a real whirlpool 😭🙏🏻,4285,2024-10-19T14:02:14Z
@spin-brickz7557,Bro was definitely looking over the phone after that first attempt 💀🙏,710,2024-11-10T17:31:07Z
@adamjamal4176,"&quot;SO, WE SAW THE DOCTOR&quot; such inspiring words",2,2025-02-21T13:05:53Z
@samcdh,Ive memorised my stairs for 7 years this will be simple stuff i could do it with my eyes closed,2281,2024-10-23T15:55:01Z
@Zhonglisbrokenback,"&quot;So I&#39;ma, I&#39;ma-&quot;*dives down the stairs*",705,2024-10-20T16:46:38Z
@CORRY.46,"He said two steps, but fair enough",81,2025-01-26T23:45:12Z
@riasam7300,I think in the background is someone is seeing poppy playtime dakblak 😂😂😂❤❤,24,2025-02-12T10:05:26Z
@ahhhhhhhhhhhhhh7833,you weren’t looking at the phone and u didn’t skip a step,67,2025-02-02T21:27:03Z
@I_4M_SL33PY,This is exactly what happened to me this morning in school💀<br>Bro I swear I flew down the stairs and almost broke my foot😭,1884,2024-09-30T13:14:56Z
@Lunar-is-a-gamer13,“So ima ima-“ *falls down the stairs” 💀,41,2024-11-07T05:45:42Z
@xXKantoregon,the other guy:”YOUR HACKINGGGG” 😂,37,2025-02-25T19:01:22Z
@leonardomz6257,"He wasn’t looking at the phone, and he didn’t skip a step.",421,2025-01-09T22:15:20Z
@freinyman,love how bro just avoids the “skip a step while looking at the filter” part of the challenge,824,2024-10-27T16:57:13Z
@Fernando48I9,Brother didn&#39;t even Skip a step 💀💀🗿🗿,64,2025-01-11T17:44:49Z
@tophatvr0987,the fact that dakblake was laughing in the video after he fell,2,2025-02-18T12:57:28Z
@KrishnaRasMadhvi,My Anxiety level during watching this video 📈📈📈📈📈📈📈📈,199,2024-10-16T16:37:07Z
@arfanali786-aa,Simple... bro&#39;s <b>NOT</b> looking into the phone🗿💀🤣🤣<br>Edit: <b>THANK</b> YOU GUYS I NEVA GOT SO MUCH LIKES!!!😭😭😭😭🦅😭😭😭,4183,2024-10-14T13:42:58Z
@LilySings6,Bro said “imma- imma-“ while proceeding to fall 😂,222,2024-10-14T21:45:51Z
@user-ey3cc9gh7q,I’m my gosh. I felt the anxiety for her. When she fell😢😂😢,1,2025-02-25T19:08:42Z
@Hehehheheehhehehhehh,He just a chill guy😂,8,2025-01-09T00:24:20Z
