Author,Comment,LikeCount,PublishedAt
@fascinating.fractals,"If you enjoyed this pi video , there&#39;s a sequel &quot;Phi ( Golden Ratio )&quot;. Checkout most popular shorts in my feed.",14972,2023-11-24T16:27:43Z
@squidsword0,mans dropped the most cinematic math edit of all time as if we wouldnt notice,204222,2023-10-30T15:33:08Z
@ttongx9352,&quot;The day will come when the stars align&quot;<br><br><b>The stars:</b>,89277,2023-12-05T09:18:58Z
@ChildofHermes4,WHY IS THIS SO INFURIATING AND SATISFYING AT THE SAME TIME,11742,2024-06-14T00:22:55Z
@munaza-k2u,bro dropped the coldest edit on maths and forgot to give us blankets,611,2024-11-19T11:20:23Z
@alllivesdomatter2954,I didn&#39;t know the visualisation of pi could give me an existential crisis.,14384,2023-11-05T12:15:26Z
@Flairex,"For those who don&#39;t understand how this works, for every 1 rotation of the center line segment, the outer line segment will rotate pi (3.14159....) times around the center line segment&#39;s endpoint.",10027,2024-04-28T04:02:21Z
@kazukazux2,"“My love for you is like pi!”<br>“Endless?”<br>“No, irrational.” ☠️☠️",20724,2024-01-02T22:36:33Z
@Im_Basically_Saitama,"Gets ran out of ideas for domain expansions, Pi became a domain expansion",34,2024-12-29T03:45:17Z
@Krztph1331,40 years old and that was the best visual representation of PI I&#39;ve ever seen.,3916,2023-11-29T19:51:15Z
@samisplaying2527,for those who didnt understood : Pi never repeats its digits and so the two moving lines which have a constant ratio and ratio of angular momentum also has the ability that the path made by it never coincide (repeat),3312,2024-03-27T14:34:16Z
@Kakipanty,Visualization on pi being irrational got more art skills than me💀💀,4777,2023-11-22T17:44:04Z
@TheSaiyanRace,That&#39;s wild. Pi being irrational was the key  to the source code this whole time 😮😂,53,2025-02-16T19:04:12Z
@Hytzrb-ts6qb,Normally we think perfect things are relaxing but this... This is fascinating because it&#39;s imperfect. Proof that imperfections make everything more beautiful.,2036,2024-03-16T16:04:46Z
@Spherius,That&#39;s why the worst sin in geometry is to believe your eyes,15052,2023-11-02T20:14:26Z
@jhaymarcrhoy,"If Pi is being irrational, it&#39;s mathematical. When I&#39;m being irrational, I&#39;m dramatic.",9905,2023-11-09T05:58:32Z
@mansimasurkar7270,The amount of love i have for this visualization will end when the line align,2814,2023-11-27T14:36:57Z
@ajokomichael2297,I wish there was a place to exclusively watch content like this. This is so beautiful,1760,2023-11-20T17:48:40Z
@jeffrowisdabest,"That&#39;s the beauty of this. It&#39;s a paradox. It never traces over the same shape twice and continues drawing new lines/arcs forever, yet never fills the circle in completely.",3028,2023-11-24T18:30:55Z
@lynsa3711,"This is amazing, the best use of this piece I&#39;ve seen. ❤",1,2025-02-27T16:24:21Z
@astha___bhuyan,Never knew pi was so pretty,1536,2024-07-31T17:05:58Z
@huraqan3761,"That choice in music bro... 🤯🥹<br>The editing is just brilliant, absolute chills!",2751,2024-01-01T19:49:38Z
@MXALOVE,"&quot;Sorry, I just won&#39;t do it&quot;<br>&quot;Pi, You&#39;re being very irrational right now&quot;",3521,2023-11-07T15:00:01Z
@rociolozano2040,We putting every pixel to work with this one 🔥🔥🔥,4,2024-12-21T22:05:23Z
@axshaa1,Man single-handedly recovered our attention-span 💀,15446,2023-11-05T16:25:15Z
@arassemiaktas8075,This video is the most underrated video i have seen in a while.only 700 likes?i would love to see more content like this instead of discord memes,78138,2023-10-28T08:01:56Z
@legomeaker101potato,"I don&#39;t have an irrational fear of pi, I have a fear of the understanding the irrationality of pi",2301,2024-05-16T23:40:19Z
@SWDW88,Complexity + Efficiency = Beauty,1,2025-03-03T13:41:45Z
@stefansommer3579,"Absolutely beautiful. Confined to the reach of the two arms, yet this dot will never copy it&#39;s path. Not in eternity. Math is magical 😊",6846,2023-10-24T20:16:40Z
@StabbyMcPokepoke,"A roller coaster of emotion. It&#39;s like when you&#39;re half way to getting an answer and you know it&#39;s gonna be a messy one, but you get a nice answer in the end.",1258,2023-10-31T02:20:38Z
@jimmiej3924,"Why did I watch this 42 times? I lost count, honestly. Amazing visualization.",2161,2023-11-28T06:27:10Z
@berryallen2820,I think it’s a beautiful way to show that we can accomplish so much and yet still not be satisfied with the result but when you look back you still left something meaningful on earth,0,2025-01-07T08:32:55Z
@09SURGEON,Herein I see beauty both in the visual demonstration but more so in the rational descriptions provided by some of the most brilliant minds: mathematicians of all shades and hue. I just want to appreciate everyone here who allowed us to get a fractional glimpse into their beautiful mathematical mind. Thank you.,0,2025-02-01T02:17:05Z
@karanghai6304,Visualisation on Pi shows how it covers the full area of a circle. Such an amazing art👍,202,2023-12-07T15:16:34Z
@averagegorilla69,the strange urge to make this my profile picture,8749,2023-10-28T15:34:33Z
@AfiOye,Pi has more character development in 30 seconds than I&#39;ve had in my life of 30 years.,2693,2023-11-07T05:39:48Z
@Lvfull-8,This is the best explanation of the value of pie using this masterpiece music at its best❤❤,1,2024-11-29T22:24:20Z
@NovelYard,This is so perfectly imperfect.,18465,2024-04-08T23:49:58Z
@chumma_ak,"I love this whole comment section… from saying suspense, expressing love to existential crisis. We could be good friends… wherever you are, have a great time",349,2024-08-15T05:45:06Z
@Faaaaa147,<b>Your crush likes you back when the lines align.</b>,3663,2023-11-26T23:08:54Z
@Matt-yp7qr,shapes at the center are beautiful,1,2024-12-27T20:26:23Z
@JordanMetroidManiac,"Fun fact: This happens with any irrational number.<br><br>A little more fun fact: The closer the irrational number is to being rational, the closer it gets to just barely closing the loop. Pi has the number 292 in its continued fraction form, which means there are some “small” fractions like 22/7 which approximate it well. This property of pi is why the loop is very nearly closed, but it just misses by the slightest amount. Other numbers like the golden ratio have smaller numbers in their continued fraction, which make them miss closing the loop with greater error. In fact, the golden ratio is the farthest from being rational because it only has ones in its continued fraction. That said, doing this with the golden ratio will make it constantly miss by a long shot, always, and no other number could make it miss more than the golden ratio does. Now, Euler’s number (e) on the other hand, has a continued fraction of ever increasing numbers, which means it eventually surpasses pi on how close it gets to actually closing the loop. It would start out missing by a lot, but as you run it longer, it gets closer and closer to closing the loop, forever. Let it spin around for 10000 cycles, it would basically look like it’s closing the loop, but really it’s not, and it’s actually just microscopically close.<br><br>So…<br>Golden ratio: always misses by a lot<br>Euler’s number: gets closer each time<br>Pi: gets super close periodically<br><br>That makes the golden ratio and Euler’s number special irrational numbers, but pi getting super close periodically does not make pi special. Almost all irrational numbers get super close periodically, and how frequently they get super close is based on their continued fraction. Pi has that number 292 relatively early on in its continued fraction, so it gets super close frequently. But almost all irrationals have a sequence of normally distributed continued fraction coefficients, which means almost all irrationals have some point at which they suddenly get super close to closing the loop, periodically.",703,2024-10-17T13:08:41Z
