Author,Comment,LikeCount,PublishedAt
@isegrim1978,Focal length 16mm<br>Shutter speed 1” sec<br>Aperture F5.6<br>ISO 160,167,2024-09-05T20:26:40Z
@cendexflovan7360,"Вваау, красавчег🎉 Делай побольше таких фото",8,2024-04-04T17:06:16Z
@ryangiorlando5307,"Nice, Singapore is good place for photography. same I do.",2,2025-02-18T11:30:23Z
@EliMaust,Love it brother!,1,2025-02-24T02:04:08Z
@MohdGyver,"Banyak yang komen shanghai, malaysia, singapore, kalau tengok design banggunan nampak sama ketiga-tiga negara ini, mungkin designer banggunan untuk negara-negara ini adalah orang yang sama. Cuba tengok bus, colour purple di bahagian bawah, ia adalah milik singapore. So this video shooting in singapore.",16,2024-07-13T07:16:48Z
@CartelliSchepers,夜空と街の素敵な瞬間を捉えましたね！,0,2024-10-20T12:06:43Z
@davidtheys6000,"You Should try it with a flashlight second curtain or first depending what you want,",0,2024-11-09T02:01:50Z
@bbpreelinsight,Great idea!,1,2024-04-04T20:21:16Z
@kolegakolega,Did it years ago. Nice. Capture 😎,0,2024-07-06T18:43:53Z
@ift3ch0ff14,Nice shoot 🎉,2,2024-11-10T12:51:08Z
@kingshukpratihar7235,Love you bro I am big fan for you,0,2024-10-04T05:25:28Z
@Thecoolestbigmac,Nice song choice!,2,2024-09-17T22:40:09Z
@HeadsUpHeadShotsMedia,Great shot!,2,2024-10-01T23:57:13Z
@7NTDFrame,woow cool,2,2024-04-05T22:16:02Z
@ebaabebeofficial8275,Very smart,0,2024-11-22T11:32:59Z
@Waqas_Mirza_in_Uk,Cool❤,0,2024-10-02T05:41:05Z
@JDCarnin,"Thanks for the idea, I will try it soon. Gonna do it analog tho, with a 70yo bellows camera. I only have B and a wire release, but it should be possible, need to eyeball the time for ISO 200 film. I believe this has the potential to look awesome in BW as well!",1,2024-09-07T20:57:31Z
@thebookofeli806,"Big Bro (Wow, this is a nostalgic Instagram photo. It was a popular way to take photos.)😂😂",0,2024-08-09T06:14:44Z
@petchployzeramusic,Nice !,0,2024-10-02T17:46:49Z
@sudhirscientificthegaschro4471,"Smart, very smart",0,2024-09-27T17:41:52Z
@strapsnanodelarosa2244,"La verdad es que te ha quedado brutal, cuántos segundos le has puesto?",0,2024-09-07T11:29:17Z
@Mrscetchbook,it is shot in singapur what a beautiful city,0,2024-09-19T12:40:28Z
@rkellyx3,Sweet,0,2024-10-06T23:50:16Z
@jorgecastilloale220,Increíble,1,2024-04-10T03:19:45Z
@DavidYokelson,Bus with skyscrapers in background would have made better shot. Use a long focal length to make the buildings appear larger and closer.,0,2024-11-19T03:04:03Z
@vittorio870,"Settings partially obscured in the video,could you write them down in the description? Thanks...",24,2024-07-27T11:43:08Z
@亞萍美容,Praise❤❤❤❤❤,0,2024-09-01T12:46:11Z
@vivekgotarane,What about vehicle speed ? Which vehicle should we choose ?,2,2024-09-24T12:05:04Z
@Average250,Singaporean dude here!,0,2024-08-29T02:37:24Z
@cesarrodriguez-do1nf,genial♦️,0,2025-01-23T17:25:46Z
@seth-photographer,Omg😮,0,2024-09-16T05:14:56Z
@PhotoToPhirom,What shutter speed you put bro? That is really impressive,0,2024-06-23T11:28:26Z
@nitinkaithwas5893,Its all about shutter speed and post production also 😂😅,0,2024-09-17T17:28:01Z
@WarThunderGerald,Please tell me videos like this arent getting views like this..DO you KNOW HOW MANY  BUS LONG EXPOSURE VIDEOS IVE SEEN POPUP IN JUST THE LAST  3 DAYS ALONE!  OMFG!,0,2024-11-23T09:45:33Z
@ezekielkokspeaks,Nice capture,11,2024-05-01T12:51:55Z
@konsamprincesingh7763,Maybe you want that result. But you need to show the subject. Maybe shutter speed is little too long. I would prefer a clear picture of the head of the bus with blurred back of the bus.,0,2024-10-24T04:21:44Z
@Snapographic,Nice photo😊,1,2024-06-30T13:52:13Z
@Mr.Snorlington,Are you in Singapore 🇸🇬 ?,1,2024-09-22T20:16:07Z
@Lumtiki,Anyone else notice the massive PS5 in the back?,1,2024-09-05T04:08:42Z
@sebh3035,Have you finally discovered night exposure mode?😂,0,2025-01-07T20:39:55Z
@XmooBot,Done,2,2024-04-08T23:45:21Z
@LynxOfLucidIty,Connor price is the goat,0,2024-10-10T20:58:31Z
@nathanhassani5366,"Hello mate, is that a Sony a7cii or a7c first gen? Want to ask you, if it’s the a7cii have you ever had any problems where you turn off the camera ( remove battery ) then turn it back on after some time and insert the battery, the camera has reset to default, where you have to set the date, time zone etc, been having that problem ever since I bought a Sony a7cii, tried with multiple batteries, same problem.",0,2024-12-09T14:24:16Z
@thecooldude0071,🔥🔥🔥🔥🔥,2,2024-04-03T16:29:50Z
@Virus-en5bp,Want try no money❤,0,2024-08-19T21:56:19Z
@JayaSelvam-gw2uv,Singapore,0,2024-10-17T16:37:58Z
@veldanlee6830,That is in singapore,1,2024-06-23T01:02:33Z
@BarackAfritt,😍😍😍,0,2024-06-26T10:18:33Z
@Corazónagradecido,Buen tiro,0,2024-09-27T02:57:50Z
@Itachi-Uchiha1-r9l,Wow,0,2024-06-29T12:32:28Z
