Author,Comment,LikeCount,PublishedAt
@DinosourGaming,Bro really said &quot;WHY SO SERIOUS&quot; 💀,818,2024-11-24T13:22:33Z
@gingernowyt,Bro was casually completing a side mission😂💀,133,2024-11-25T10:10:31Z
@Thatwildtherian799,Batmobile lost a wheel and joker got away! 😊🔫,307,2024-11-24T17:00:19Z
@Anika._.Dragonz,&quot;WHAY SO SEWIOS-&quot;<br><b>epic beatboxing</b>,386,2024-11-24T13:34:56Z
@DogeXGaming,"That aint joker, thats laughter 😭",7,2024-11-27T04:07:52Z
@Raff_Vid,Bro towing bat mobile❌<br>Bro stole a bat mobile✅,40,2024-11-25T07:01:47Z
@ElixrEdits,"&quot;I won bats, I got the final laugh!&quot;<br>He says as the toxin sets into Bruce&#39;s veins.",9,2024-11-26T20:02:09Z
@nilitogamer2123,Bro came back from the dead☠️💀💀,27,2024-11-24T15:32:41Z
@Catlover69820,i understand him dressing up like that i would too haha,7,2024-11-26T12:40:18Z
@MerryJungleWaterfall-oq5xs,Joker trolling batman like this is devious💀,11,2024-11-26T21:16:21Z
@RetroEdits001,Batmobile ❌️<br>Jokermobile ✔️ 💀,1,2024-11-27T10:42:21Z
@Tsuki-Oni.,"&quot;Do you know what I just got Batman?&quot;<br>&quot;I don&#39;t know&quot;<br>&quot;I got your car Batman&quot;<br>&quot;no joker!&quot;<br>&quot;I can do whatever I want to your car&quot;<br>&quot;Joker you can&#39;t do that&quot;<br>&quot;there is no laws against the cars Batman&quot;<br>&quot;Joker no, don&#39;t do that Joker!&quot;<br>&quot;I&#39;m gonna do it Batman, I&#39;m gonna do it&quot;<br>*paint Batman&#39;s car white&quot;",146,2024-11-26T11:58:34Z
@nanotide82,Plot twist: the joker is driving  mack (the truck from cars),14,2024-11-25T11:40:05Z
@STFcr7430,Bro is delivering The bat mobile 💀😭😭,2,2024-11-26T20:26:14Z
@DARKSLAYERYT95b,pov me stealing my friends bag at school then he sees me,7,2024-11-26T05:34:48Z
@Tencellliscool77,Bro said &quot;why so serious?&quot; 💀,2,2024-11-26T19:06:50Z
@yikifooler,meanwhile Batman from behind In a taxi,1,2024-11-27T16:07:07Z
@GHIOCEL2011,"BatMan : ,,Alfred where is my Batmobile?”<br>Alfred : ,, mr. Bruce Wayne we got a problem, you got to see this😅😅….”",6,2024-11-24T14:25:08Z
@Thorninjag,"Man, Batman: The Brave and The Bold first look lookin&#39; fresh!!",1,2024-11-27T14:19:59Z
@DogeXGaming,"Only took him a couple movies, but he finally did the side quest",1,2024-11-27T04:08:49Z
@VERY-deadchannel,&quot;you ever dance by the devil by the pale moonlight?&quot; just got real💀💀,0,2024-11-27T17:34:11Z
@UnitedStatesofAmerica191-a1a,Joker 2: The Batmobile stolen 😂😂😂,1,2024-11-26T22:11:59Z
