Author,Comment,LikeCount,PublishedAt
@mikejones6064,Their patience is unreal,248676,2023-06-01T16:03:24Z
@ilnwjns,the “OHH LETS GO!” everytime was so heartwarming idk why lol,107669,2023-11-26T02:11:56Z
@space00055,Tbh the best part is them celebrating it’s just too wholesome,14109,2023-11-22T23:23:39Z
@CosEntity,Best part is them being happy for each other like it&#39;s just one person,12415,2023-11-20T15:41:37Z
@tiffanidoesASMR,their reactions are the best part,2896,2023-11-09T16:21:11Z
@Anto_85571,They&#39;re reactions are what make it so genuine,1682,2023-11-26T04:11:57Z
@TrinBago_Sweet,Clearly these boys got nothing but time....love it 😂🤣👏🏾👏🏾👏🏾👏🏾,10,2025-02-12T15:30:35Z
@hr_here,These reactions are pure happiness,3029,2023-07-19T00:07:01Z
@thisDeafmom,Imagine their level of patience. I bet it’s incredible.,2223,2023-12-06T20:20:42Z
@blueshibai,The genuine total joy at succeeding is just awesome 😂,1889,2023-06-18T19:54:16Z
@kpopbtsarmyforever,"Okay, but can we talk about the fact that this short hit 1b views?????????  🥳✨ well done guys, you did it!!!!!!🧨🎇✨🎉🎊.",8,2025-02-28T14:32:16Z
@lugeniaking6920,Their sheer excitement makes it so worth it!😂😊🎉,629,2023-06-28T22:28:39Z
@TheeDavidDee,This is a painfully adorable compilation,1538,2023-06-16T12:50:57Z
@TheBeautifulBre,I like their reactions.  So supportive of themselves and each other.,5163,2023-06-08T20:28:03Z
@sunilmeena-v5u,ThImagine how many times they must have practiced for this video.<br><br>❤,1,2025-03-16T05:24:07Z
@youssefelhawarii884,Their happiness is so wholesome,2905,2023-08-01T19:53:17Z
@mirasibai2001,Their excitement makes me smile sm,4100,2023-07-14T02:12:50Z
@ericoneill-thomas8492,I love how they stay just as happy every time they do it,861,2023-10-13T23:05:08Z
@kuri369kuri,You guys just gave me the best laughs I have had in a very very long time. Thanks for the therapy. I loved vicariously through your successes! And damn good job boys!,0,2025-03-01T11:49:06Z
@Dummy_1,The way they react so happily just makes my day 😭,883,2023-06-08T13:43:19Z
@kittervision,I think these two experience more pure joy in life than any of us combined,2561,2023-10-21T12:48:55Z
@wasntwas,I love how their reactions never changed lol.,5993,2023-10-01T02:55:14Z
@elliottanda,This is so impressive!,1,2025-03-02T19:58:43Z
@omega1845,I love how their excitement each time doesn&#39;t change,4095,2023-11-15T20:36:24Z
@trjahson,Man their energy and happiness for each other is unreal 😂,1080,2023-11-19T00:08:00Z
@jiraiya276,Their energy is priceless!,876,2023-10-23T14:22:52Z
@DougHanson2769,Crazy.  It is funny.  The most gorgeous artists and music etc that’s out there and I’m watching this,4,2025-02-05T02:09:03Z
@miajowo,They’re so CUTE when they get excited 😆😂,504,2023-11-18T18:57:17Z
@DestinyColumbus,I love how they never lost their excitement! It really shows how much they love what they do.,734,2023-12-13T17:50:14Z
@KiritsuguEmiya-889,I love how these things give incredible amount of happiness,858,2023-06-14T17:35:13Z
@paulb6072,2.5 years for a baseball bat flip is wild...,1,2025-03-09T19:53:02Z
@gwencybertrand7059,CAN&#39;T USE WORDS TO EXPRESS HOW EXCITED IT COULD BE 😭,2302,2023-06-27T16:16:26Z
@miasakue,The pure excitement every time a shot is landed is by far my favorite part,580,2023-11-17T17:35:37Z
@iciclecold2991,It&#39;s the pure joy over something simple. It is contagious.,1355,2023-06-24T07:40:08Z
@derekrayford6180,Patience is on another level 😮,1,2025-02-19T02:51:46Z
@tired_manatee,i love how every time they get it their celebration is always “OHHH LETS GOOO”,2061,2023-11-18T03:32:29Z
@tasselsioi,There is so much genuine joy in this video. 😭,871,2023-06-23T14:37:33Z
@shizafatima9775,&#39;&#39;OHHHH LET&#39;S GOOOOWWWWWW&#39;&#39; got me dying...😂💀,8266,2023-10-31T14:24:10Z
@tamanAso,Nah dude I wouldn&#39;t have that patience in a mill years😂😂😂,1,2025-02-21T15:07:55Z
@Sensei_Bac0n,"&quot;*Inhale* OOOH, LETS GOOOOO&quot; 🗣‼️‼️🔥🔥",3139,2024-01-29T06:31:30Z
@duckky-pv9zk,the way every time they gasp perfectly together is amazing<br><br>GOD THATS A LOT OF LIKES,1578,2023-12-24T20:34:43Z
@LilcatSwoleBunny,the excitement after after every single trickshot is unreal and perfect 😂😂😂,877,2023-09-15T23:01:44Z
@tvj20xl,Ahhh the simple things in life makes us the most happiest. Bravo! 👏🏾,3,2025-02-16T20:34:00Z
@Random258.,The excitement on their faces makes me happy for them😊,751,2023-06-20T16:50:20Z
@Jayn0x,There’s nothing better to have great friendship than moments like that,4455,2023-07-04T22:07:58Z
@MK-jn9uu,Their excitement is contagious.. my new fav trickshot team,832,2023-06-09T06:52:52Z
@DevOpsMolvi,They have taught us the most important lesson about &quot;Patience&quot; 😊,1,2025-02-15T07:47:16Z
@aqila9381,Their reactions are everything✨,1055,2023-08-22T13:25:12Z
@denisejames855,Their happiness is infectious.  Love their dedication.,1220,2023-11-22T11:01:09Z
@Simouno,Imagine spending years of your life mastering these tricks. That&#39;s a great way to spend your time if you ask me 👍🏻,187,2024-04-13T05:32:43Z
