Author,Comment,LikeCount,PublishedAt
@VijayKumar-rv1wp,Happy dipawali Suraj bhai😂😂😂😂❤,36,2024-10-30T15:03:25Z
@Jaya.Jaya17,Predicted 😊but amezing 😂😂,51,2024-10-29T10:53:33Z
@alenmedhi79,😂😂😂😂😂happy diwali  surai,30,2025-01-10T09:09:09Z
@SanjuSingh-w5p,Happy diwali ❤️❤️❤️❤️❤️ Suraj bhai and team ❤️❤️❤️❤️,16,2025-01-09T13:00:51Z
@PrdeepKumar-t8f6w,❤❤😅😅😅😅😅😂😂😂😂<br><br>Happy diwali ❤,28,2024-11-11T01:29:33Z
@RavindraKumar-d2r5r,Suraj are comedy god 😂😂😂😂😂 last wala scene mein mujhe hansi aa gai,34,2024-10-26T00:56:16Z
@manisha_5055,OMG bhaiwa aap jaha se bhage wahi aa gaye  😵😵😂,35,2024-10-25T07:20:48Z
@ManishKumar-r2f1r,happy Diwali 👏👏👏🔥🔥👍🌹😂😂😂😂😂😂😂😂😂😂😂😃😃😄,28,2025-01-10T07:36:23Z
@shristysinghrajut1050,Ye toh 😂😂😂kamaal hogya...ajj suraj he fat gya,35,2024-11-04T18:27:26Z
@sanjeevsajan1849,सुरज भइया बहुत अच्छा 😂😂😂😂,35,2024-11-10T12:10:46Z
@aminul-1k,Happy diwali Suraj Bhaiya funny video 😂😂😂,19,2024-10-25T01:38:59Z
@BPlifeline960,Kina intrested vedio hai ending wala to best hai😮😮,27,2025-02-09T00:59:03Z
@sagarbirwadkar2784,I   can &#39;t   stop my  launching  😂 😂   😄😱😂 Best   comedy    King &quot;   Suraj,141,2024-11-01T09:43:52Z
@akhter-y-1,His expressions speak more than words 😊,128,2024-10-27T14:58:45Z
@Ashish_Is_Live_00x,Happy diwali surj Bai 😂😂😂😂😂,47,2024-11-01T01:09:33Z
@RahulRaj0021,😂😂😂😂happy diwali 😂😂😂😂🎉😮❤,121,2024-10-25T03:07:32Z
@DhirajKumar-yv4gc,Last wala gana.....❤Mangal bhawan amangal haari ❤ 😂hits different 😂😂❤.    😂😂😂😂,126,2024-10-25T10:50:38Z
@Puttyankit11music,Jharkhadi hero apna.... Hasane wala...😂❤... Johar suraj bhai happy dipawali😍😍,80,2024-10-29T00:32:17Z
@varathanVaratharaj-c1i,U r face&#39; reaction is super 😂😂😂😂😂😂😂😂😂,10,2025-01-16T09:31:10Z
@VijayKumar-ol3kf,😂😂Diwali a gai hai Suraj bhai Khatarnak Bam bulaega😂😂😂suraj bhai ke fat gaya 😂😂,35,2024-10-25T04:11:39Z
@SunitaGunjal-q5l,👍👍👌👌😀😀😀.... Happy Diwali.. Bhai..👍👍👍😀😀😀,21,2024-10-30T15:01:48Z
@AbdulHamid-b8t9h,हैप्पी दिवाली भाई😅😅😂😂😊😊😅😅😅😅😅😅😅😅😅😅😅😅❤❤❤❤❤,44,2024-11-07T12:09:44Z
@HajsjjdjdHzhssghsu,Happy diwali 🎇🪔 Suraj Bhai tu gaya 😂😂😂😂😂😂😂😂😂😂😂😂😂,3,2025-04-02T17:09:23Z
@pradeepsamal8374,Dimag ho to suroj bhai jaisa 😅😅😅,21,2024-10-27T15:04:10Z
@AnuKumari-nb5uk,Super Suraj bhai happy Diwali 😂😂🎉🎉,77,2024-10-30T17:12:17Z
@Dilkepass2645,😂😂kya bat hai,17,2024-10-25T01:36:31Z
@रोशनगोटा-ज5ङ,Happy Diwali Suraj bai❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,34,2025-01-13T13:06:13Z
@SapnaKumari-iz8by,😂😂😂😂😂😂 Mangal bhawan amangal haari 😂😂😂,191,2024-10-25T04:05:56Z
@SatyamKumar-fc3dr,😂सत्यम्कुमर्😂😂😂😂😂😂😂😂😂😂😂,13,2024-11-20T07:23:19Z
@OpGamer0dpi,Suraj bhai face expression 😂😂,16,2024-10-29T09:27:19Z
@Mrbaba_bhai,भाई जब भी आता है हसा के जाता है 😂😊😂 gajjb h yaar😅,177,2025-01-21T12:13:58Z
@AkidaBegum-x6h,Ending accha thaa 😅😅😅...........,14,2024-11-03T00:55:30Z
@Neha_509,Le bomb _ kyu jee mujhe itna pyaar h..phir aaya😢😂😂😂,21,2024-11-01T15:40:45Z
@prakashdhami735,😂😂😂😂😂Suraj Bhai full enjoy maja aagya,37,2024-11-15T05:31:25Z
@NurAnaajak,Ending accha  thaa😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂❤😂❤😂❤😂❤😂❤😂❤😂😂😂❤😂❤😂❤😂❤😂❤😂❤😂❤😂❤😂❤❤❤❤😂❤,102,2025-01-31T08:27:49Z
@sonyagupta1219,Suraj bhaiya commedy king always 😂😂😂😂😅,497,2024-10-25T01:39:14Z
@spicyworld9280,Bhai duniya goal hai  😂 ❤ 😅,21,2024-10-25T06:46:29Z
@Abhimanyukumar.Ghazipuriya,😂😂😂😂😂सूरज भाई बेस्ट,13,2024-11-11T09:08:26Z
@kamleshkazikamleshkazi4424,कैसे भाई वहीं पर आ गया😂😂😂😂😂😂😂😂,3,2025-01-16T12:05:44Z
@The_Laxman_YT,Happy Diwali❤❤❤❤❤Suraj Bhai And Teams❤❤❤❤❤,75,2024-10-26T03:19:21Z
@FaeesTiger,Suraj bhai the comedy king😂😂😂,146,2024-10-25T01:35:17Z
@shasantkumar9959,होनी को कोई नहीं टाल सकता है सूरज भाई 😂😂😂😂😂,77,2024-10-25T01:55:07Z
@AMRITASahani-z6b2y,SEEN ACHHA THA <br>KHATAM 😊😂😂,3,2025-02-17T01:21:57Z
@AlokkumarAlokkumarrai-wt4co,Wow suraj bhi happy diwali 😂😂😂😂😂,8,2025-01-10T10:50:44Z
@RiteshAnna-kd,Suraj bhai aapka acting Dekhkar baccha bhi hansne lagega😂😂😂,239,2024-10-31T06:22:26Z
@Abhi_05sumo,कॉमेडी king Suraj bhai ❤😮😢,46,2024-10-25T01:41:07Z
@Chortle.Boy.0.1,Happy diwali Suraj bhaiya 😂,11,2024-10-25T01:35:29Z
@LOLSpheree,Diwali just got 10x funnier with this! 😂😂 Keep ‘em coming! ❤❤❤❤❤,31,2025-01-09T14:17:34Z
@CMBharati8018,Jo sochathaa wohinn huaa 😅😂😂,12,2024-11-01T09:40:08Z
@adityamix1584,Maza maze me happy Diwali❤❤😂😂😅😊,19,2024-10-25T03:32:22Z
