Author,Comment,LikeCount,PublishedAt
@DrexLee,Whats your favorite drink??,5,2024-09-17T18:58:39Z
@Shiniiing_star,Wow so cool❤,4,2024-09-17T16:36:07Z
@Vanessa-950,Top😊,1,2024-09-21T21:30:08Z
@nelsonking-o3238,This is so cool!! Great work!,0,2024-09-25T22:04:04Z
@stenosujeet6341,Drexlee fan like,2,2024-09-18T10:50:06Z
@danielahoussi5107,BOOOOOOMMMM🎉🎉🎉SO MAGICAL,2,2024-09-17T18:05:23Z
@patriciamensah-op7tp,This is so good 😂😂😂😂😂😂😂😮😊,2,2024-09-19T11:37:36Z
@GARENACPM,❤ sick epic 👌 😎,0,2024-09-17T16:35:10Z
@ogbonnachijioke2452,This so good,2,2024-09-17T15:43:38Z
@benitomunoz8661,Dang this one is great!,0,2024-11-03T15:20:07Z
@lefunkable,Dope and Perfection at the same time,1,2024-09-18T00:56:11Z
@AmebouChampion,Amazing,1,2024-09-19T14:15:20Z
@JitesKumar-g9n,This is so 👍 good 😂,0,2024-09-21T16:55:13Z
@mustaphafarayola2339,For real ❤ your doing great brotherly ❤👍,1,2024-09-17T21:51:48Z
@TouchofDutch-oi4tx,The Mr. Fantastic selfie 😂....still my favorite tuber,1,2024-09-17T19:34:28Z
@makasi60,STP c&#39;est avec quel téléphone que tu fais ces vidéos ? franchement ça donne bien 👍😊,0,2024-10-05T18:04:12Z
@iamtersh,For real?... you make it look simple ❤❤,1,2024-09-17T18:52:10Z
@FUNNYSHORT123mfg,❤,1,2024-09-17T16:01:12Z
@skwhunter9319,😂Boom💥💣,0,2024-09-21T03:04:49Z
@AppiahSuzzy-i9f,Which editing did you used,0,2024-09-19T01:55:01Z
@001_SUkH,Hi bro i m from India yours video osm bro carry on ❤❤❤❤❤,0,2024-09-20T02:36:22Z
@SolaimanHasan-rf7vt,❤❤❤❤❤,1,2024-09-19T12:28:10Z
@moreinfo4154,❤❤❤,1,2024-09-18T08:54:31Z
@gamingkumtpm9419,What brand tripod is it?,0,2024-09-18T14:25:30Z
@skycam270,The trend setter pre-Covid days !,0,2024-09-27T14:35:06Z
@dreamsesh3317,Yo this guy different,0,2024-12-15T04:29:13Z
@nabeelahmad8802,Can get a tutorial for that?,0,2024-09-22T15:05:58Z
@JitesKumar-g9n,Set me on fire bro 🔥🔥🔥 please reply,0,2024-09-18T09:08:15Z
@aminmvp1387,Monkey d. Luffy😂,0,2024-09-21T06:34:12Z
@kevinvillegas2212,tutorial bro?,0,2025-01-09T07:50:51Z
@RaiaMwrd,😅,0,2024-09-21T05:05:03Z
