Author,Comment,LikeCount,PublishedAt
@Nic,"Longer Glitch Video here!! <a href=""https://www.youtube.com/watch?v=pD05MLqwN4Q"">https://youtu.be/pD05MLqwN4Q</a>",8284,2023-04-06T19:32:40Z
@ethanschannel,<b>Cyberpunk 2077 when it’s first released be like:</b>,13373,2023-09-11T15:53:05Z
@sarahmoazzam9380,"&quot;You don&#39;t throw ball, ball throw you.&quot;<br>-Wise man",810,2023-09-04T13:50:08Z
@dioniesteveprado4483,Offline mobile games when you have low wifi belike:,141,2025-01-03T12:24:09Z
@mazzysmainframe,"It seems that no matter how many of these videos I watch, the surprise T-pose gets me every single time!",892,2023-03-29T09:53:57Z
@MightyArmadilo,"he made himself a actual 3D model, props to him",574,2023-04-07T21:47:43Z
@LilBryant44,Bro became the master editor,9639,2023-03-28T23:13:15Z
@MBMI_ARTs,HIS MOM: wtf happen to you?,1,2025-02-27T21:13:18Z
@neelshikharbhattacharya6466,Bro&#39;s a god tier editor.,803,2023-04-10T13:52:31Z
@qwau,"Bro&#39;s internet is that bad, that he started glitchng irl 💀",1205,2023-11-20T17:03:51Z
@ThePixelman0408,Doctor: “All of your dreams have meanings”.    <br>My dreams:,299,2023-08-18T02:32:15Z
@Owl-j7u,"As a videogamer,I like the T - Pose characters and the behind the scenes",6,2024-10-06T04:14:07Z
@TheBetaMinion,"I like how he just realizes, it makes it more realistic.",88,2023-04-18T20:38:36Z
@RoyalNBA,This editing is so good that Ben Simmons ate a cookie 🍪,239,2023-03-28T22:37:56Z
@Mr.Boombastic_505,This series gives me chill on spines. I don&#39;t why?<br><br>(Edit)- 😁😁Thanks for the likes😁😁,396,2023-03-29T05:16:14Z
@Feii_.i,The t- pose is so accurate tho💀,8,2024-11-03T18:59:26Z
@patrickidontremember9252,bro explained my entire steam games.,389,2023-04-06T09:31:58Z
@Rosiek9,This man needs a Oscar for editing,441,2023-03-28T22:44:05Z
@Divine_Love44,Legend says that he&#39;s still glitching every video.,136,2023-08-20T12:16:59Z
@JonatanSciega,Dude this guy is really good at what he does 😂😂😂😂,0,2025-03-05T16:58:21Z
@TravisWitt-gh1my,&quot;how good are you at editing&quot;<br>Him: yes,151,2024-09-02T06:33:41Z
@MIKAILU,“oh Davi não vai não agora que esse som tá ficando bom” What a beautiful Brazilian song,17,2023-04-02T00:01:28Z
@zaidingle,"&quot;When life gives you balls, become a ball&quot;",279,2023-12-12T12:26:29Z
@crediz,"This guy doesn &#39;t need an Oscar , he needs a Real Life update",183,2023-09-11T17:43:35Z
@OryzaTheUnit,Bro doesn&#39;t need an Oscar. He needs a developer asap 💀,470,2023-10-16T14:29:34Z
@ashay7506,Hollywood needs to hire him for editing,308,2023-03-29T07:49:26Z
@ongziqiankeithnbps8847,Bro clipped into the Backrooms😂😂😂😂,0,2024-10-11T07:26:23Z
@coastertimmy,"He doesn’t need an Oscar,he needs wi fi.",246,2023-08-27T12:29:43Z
@rbowbelac-mh5kb,The devs: the bugs aren&#39;t that bad<br>The bugs:,300,2023-10-08T22:56:43Z
@HonoredSavior,Devs patch update:<br>- Fixed cup glitching to the backrooms<br>- Fixed delayed shoot of the ball.<br>- Other bugs fixed<br>- Added anti nipnip system,283,2023-07-24T06:58:48Z
@forenzic1122,Security breach:,4,2024-10-03T09:22:50Z
@monicamaroccia7301,The editor needs 10 oscars,212,2023-03-29T19:40:31Z
@Yoriichi_edits528,Bro doesn’t need a Oscar he needs Wi-Fi 💀,342,2023-07-20T04:27:47Z
@Yi_ALAN,McDonald&#39;s Wi-Fi be like:<br><br>Edit: ty for 1.5k likes I really appreciate It!,1809,2023-04-19T18:04:20Z
@Bandituploads,The editor and cameraman both need oscars,261,2023-07-01T00:09:34Z
@jarts74,Give this editor an Oscar award,670,2023-04-19T05:29:02Z
@ReignDome,The devs need to fix it fast💀,135,2024-04-09T02:47:34Z
@AAAAAAAAAAA_AAA,Pov: You play dress to impress with bad wifi,0,2024-10-19T02:50:47Z
@Fragmentz,This man needs a award for how relatable these glitches are,260,2023-04-12T19:21:53Z
@blackraven225,He deserves an award,76,2023-04-04T06:47:12Z
@Badmutha27,Grandma’s Wi-Fi be like,299,2023-04-01T20:52:53Z
@X-K_Official,"The edit is insane, i dont know how hart it was to make these videos",0,2024-12-26T17:12:11Z
@holauuuyyy,&quot;Huh?&quot;<br>&quot;Is that me in the cup?&quot;<br>-Nic&#39;s last words before getting dissolved to golf balls,173,2023-12-13T02:21:06Z
@Huhh.........,Bro went back to his most primal state... His dad&#39;s bal-,2465,2023-04-03T16:53:36Z
@FruitGT,These glitches are so relatable until you don’t know where they are from,94,2023-10-12T01:59:13Z
@urboytigolf,"after effects is sick, you do a great job",0,2024-12-21T04:45:03Z
@thecalicodude,"His editor needs a 10,000 dollars check 💀💀💀",738,2023-05-16T14:05:45Z
@afl201,Bro be clapping those counters 💀,94,2023-04-09T03:30:30Z
@TrucoXD,if bethesda and source engine had a son:,156,2023-09-18T18:01:20Z
@Lolloxivn,The editing is Crazy,0,2024-10-05T23:33:06Z
