Author,Comment,LikeCount,PublishedAt
@ZachKing,Doodlebob approves this video ✏️,22849,2024-03-15T11:43:48Z
@MrThai90,"Oh !!  The bear is so cute, the bear is a great actor 👍👍",50304,2024-03-15T12:01:17Z
@edshalom1200,&quot;He&#39;s friendly&quot; 😂,10628,2024-04-13T08:08:51Z
@sisterstaceyhelpsthehomeless,WHO ELSE IS HOLLERING AND WATCHED MULTIPLE TIMES? 😹😹😹😹😹🤣🤣🤣🤣🤣,3609,2024-04-16T14:26:44Z
@UjalaIzosimov,OMG!  That bear is totally chill.  So many onlookers!  Love it!,29,2024-12-11T01:13:43Z
@Casimenori,For a second I thought the lady stole money 😅,156,2024-04-16T00:57:01Z
@Expedition_America,"Fun fact, a polar bear is the only mammal that will actively hunt a human in the wild. To hunt Polar bears people would drag a cage out into the middle of the ice... and get in to wait.",11407,2024-04-05T14:42:01Z
@Kerknantahcapital,Omg the polar bear is sooo cute!!!❤,22,2024-12-02T06:13:52Z
@biji_kembar,Everyone are the best actors... 👍😎❤💕,102,2024-04-15T05:24:21Z
@immortalsun,"Wow, that’s some insane editing",140,2024-03-15T20:09:12Z
@joshpierce7449,Whoever edited this is a master at their craft,602,2024-04-03T21:51:21Z
@AndreasReiske,"Old joke --- but this was the best performance ever ~ thank You, my gorgeous Lady ....",35,2024-11-23T18:15:40Z
@johndonaldson3108,"He has an Amazing,  Flawless Talent! Congratulations!",284,2024-06-19T18:13:47Z
@Larisa-t3j,"❤😂 ПРИ СЛОВЕ &quot;СЫР&quot; ОЖИВЕТ НЕ ТОЛЬКО МИШКА! НАРИСОВАЛ ПРАВДОПОДОБНО❤😂 молодец! Все, сегодня мы насобирали тебе на сыр, пойдем домой!!!❤😂",141,2024-04-14T15:43:47Z
@user-AZ-phil,I absolutely love this video! I get a kick out of the bear&#39;s expression after everyone ran away! &quot;What did I do?&quot; ❤😂😂,1209,2024-03-30T04:43:10Z
@PickleMuncher-iy6zn,I dont think you guys understand how HARD it was for zach to make this he had to get a polar bear in perfect sync with the drawing fair play zach✊,1,2025-02-06T21:43:30Z
@Madamegato,That the bear&#39;s reflection is in the window is priceless. Well done!!!,149,2024-04-05T08:24:12Z
@Nipper-ty9tk,Smooth and flawless editing. Well done sir.❤,210,2024-03-29T08:37:13Z
@michellemartinov6267,What a gorgeous baby!,41,2024-03-26T03:39:23Z
@kathymoore5790,Gorgeous bear. Owner. Handsome❤❤❤❤❤❤❤,13,2024-11-08T18:36:15Z
@PatCapshaw-s3g,That was so amazing. I really like the Bear.,72,2024-03-27T23:43:21Z
@VanessaGuy-k1u,This is hands down the best thing I&#39;ve seen today.,805,2024-04-11T08:32:22Z
@봉형준-k4t,Your confidence is contagious.,117,2024-06-25T10:22:58Z
@Lea-w9h,Love him and the bear he was so cute ❤❤,17,2024-11-13T10:06:15Z
@ЕленаКосицкая-т8д,Это шикарно!!!! Талантише!!!😂😂😂❤❤❤,325,2024-04-11T10:24:00Z
@AdriannieGeorge,Its so nice and adorable.  The way he goes along with the prank😂😂😂.,325,2024-04-02T21:03:31Z
@marlenet5115,That was the most perfect editing job I&#39;ve ever seen. And the artistry too! Hollywood is calling you bro! 😮😮😮❤❤❤,543,2024-03-28T19:35:25Z
@artistkennyomg,He’s so adorable 🥰,0,2025-01-05T17:19:52Z
@ida-loucole2507,I love sidewalk art. I think you have a beautiful talent with your painting. And also being able to communicate with a bear. Totally awesome.,316,2024-03-28T19:01:02Z
@enidflaisher3239,"Excellent editing skills. The more I watch, the more I laugh.",722,2024-04-02T21:52:51Z
@rociolazcano7707,¡Que magnífico efecto visual!  Toda la gente salió corriendo. &quot;Amigo nos vas a llevar a la quiebra si asustas a la gente&quot; jejejejejeje,125,2024-06-19T20:54:28Z
@roxibatmanmeow,I want to see MORE! Thanks for the show man your brilliant - Bravo 👏,47,2024-11-07T20:14:56Z
@Aimee-wl9wi,God Bless All Three of you. Made mee smile bigger than I have in a while. Thank you from my Soul,370,2024-05-15T22:36:23Z
@popperbits,Simply amazing chalk art; so lifelike!😂,273,2024-03-31T03:41:16Z
@md.farukuzzaman3911,"After years of using social media, i watched it multiple times.....an exquisite production.",939,2024-06-14T13:11:49Z
@JesusIHTube,I absolutely love bears! 🐻❤️,1,2024-12-04T17:39:57Z
@remla-r4v,He deserve millions likes ❤️,41,2024-09-11T07:03:07Z
@hassankhan-fx4fs,Aww the bear is so adorable and great actor too🐻 🥰,50,2024-04-21T09:03:42Z
@Cathy-cg2xq,Love This type of stuff on line!! Many talented people in the world!!,385,2024-06-16T18:35:13Z
@Kylegames-17d,The polar bear is so cute ❤❤,1,2024-11-05T11:12:39Z
@MyItorr,Wow I call that a talent both for his ability to communicate with the bear as well as his art/ paint 🎉,475,2024-03-28T02:31:54Z
@JennieG-ed8ef,Cheese is the magical word that brings bears and dogs to life.,889,2024-05-07T05:30:34Z
@Jaya-zn7vr,Creative people make the world smile! 😊,480,2024-07-22T03:04:27Z
@carlosrosas5933,The polar bear is so cute can I hug it,0,2024-11-28T05:06:20Z
@shakenaellis5381,I like how the people in the background ran away 😅,4156,2024-03-20T18:51:34Z
@fayebrown9874,"LOL!  Love your &quot;Buddy.&quot;<br>You must have raised<br>him.  I raised a newborn<br>raccoon, found in a<br>fallen tree after a bad<br>storm (&amp; I have raised<br>wild birds and kittens),<br>so I KNOW the loving<br>bond you two have.<br>What a clever way to<br>introduce your bear,<br>and your channel!<br>Edit: That is, IF your &quot;Buddy&quot; is REALLY there, and NOT just part of your editing.",100,2024-04-07T23:00:51Z
@Darnagom-jmro,"I like how he follows him at the end, head down and sad that he didnt get his cheese",1283,2024-03-15T12:25:04Z
@TheSlowestSpeeder,Greatest animal on earth = polar bear,1,2024-12-18T01:07:51Z
@KarenMcCombe,I can&#39;t stop watching because this man is a magical. Love this!,77,2024-04-21T14:24:03Z
@HeraclesN-fp1bw,The man is friends with a polar bear how powerful is this wizard,2001,2024-03-15T13:36:19Z
