Author,Comment,LikeCount,PublishedAt
@lboijens2173,It&#39;s similar to how it&#39;s way easier to balance a long stick on your finger vs a short straw,46264,2024-12-12T17:01:55Z
@sandybruce9092,Excellent demonstrations!  Wish I knew them way back in the early 60s when I was in high school!!!  And great for kids to really understand!!!,12446,2024-12-12T20:47:58Z
@Maxst33le,"I love this explanation. As a skateboarder, people often dont consider how much pivoting, and arm movement have a place in doing/landing tricks. After 15 years of skating, i find myself barely extending arms out while cruising. That rod holding is very much like training wheels.",3496,2024-12-18T00:01:22Z
@Clearbluesky101,This guy is the Smartest and genuine person on this planet for me personally!,7,2025-03-03T21:25:18Z
@setster007,I love how many complex sciences result in things we just instinctually know.,157,2025-01-04T01:22:26Z
@demonofchange,"Crazy how even if you knew nothing about this, your brain instinctively knows to put your arms out for better balance.",9148,2024-12-13T15:57:38Z
@usamaepekonis,"The way you keep the balancing act between making this videos so short, entertaining and also educational is really impressive",1145,2024-12-12T17:06:30Z
@Aether-master,Perfectly balanced as all things shuld be,2088,2024-12-12T17:35:08Z
@osludom,"El mejor comercial que he visto, eres el futuro del marketing",427,2024-12-18T19:49:31Z
@filipporandi7411,"Beh, è il &quot;video di vendita&quot; più interessante che abbia mai visto.<br>Complimenti, siete diversi! ❤😂",2,2025-02-03T22:51:59Z
@Ferdinand_VonAegir,Proof that size matters,3697,2024-12-12T17:13:14Z
@dr_ari_gami,"The tightrope walker toy uses gyroscopic precession to resist torque from gravity. Essentially, there is a spinning disk in the middle that resists being rotated. <br><br>Its the same reason a bicycle stays upright when you are moving, but falls when stationary. The spinning wheels resist and force that would push you over.",2754,2024-12-12T17:11:54Z
@NickoVilloria60,Chanels like this are absolute gold!,119,2024-12-13T16:53:09Z
@Industriajor,You are the New Mr. Beackman! so THANK YOU &lt;3 we all miss him so much!,3,2024-12-23T22:34:41Z
@nizarkabbani8645,I just love how Mark taught me more about science than my own science teacher,3,2025-03-02T08:45:31Z
@Ivapryh22,Why is this better than most of my physics classes💀,52,2024-12-12T17:56:29Z
@Nobody.needs.to.know_x,I got a jump scare when I heard my own language,821,2024-12-13T18:55:46Z
@ankitsinghtomar2209,He is charismatic and makes topic interesting. 😎😎🔥,15,2024-12-14T10:33:16Z
@kratos_in_leeds,"Bro, it&#39;s happy to watch in my native language. It&#39;s great 😂❤",8,2025-01-02T01:28:43Z
@NotLegendboyy07,You got a new subscriber ✌🏻😉,1,2025-01-27T07:00:01Z
@ラッコ-y8l,初めて知った〜このチャンネル色々知れて面白いしわかりやすい,31,2024-12-12T21:44:09Z
@ひいら-p4i,わかりやすい……！<br>これ組み立てるやつ日本語版出たら買っちゃうかも,370,2024-12-15T16:58:13Z
@kenjiponcelopez1286,"This is why I love science. When things are explained, it&#39;s so easy to understand",8,2024-12-13T15:45:07Z
@caval1924,Debe haber sido la publicidad más interesante que me comí sin verlo venir 😂😂,68,2024-12-17T22:28:34Z
@pilapila183,I used to absolutely love kits like this as a kid! That’s what got me into engineering. I hope this inspires some people,0,2025-01-14T05:34:10Z
@SamsJourney-lt9nz,I have a feeling this guy frequently goes to the gym,231,2024-12-13T12:26:24Z
@TwinTeeth,Essa dublagem em português é ouro KKKKK,39,2024-12-19T15:02:34Z
@obeynwokeji7933,"Dude, i didnt even know this and i didnt even realize when im trying to balance on things i stick my arms out.",19,2024-12-22T22:38:50Z
@goglus732,Mark Robert is sutch an amazing person. I think children éducation is super important and for him to care and make kids craft their own toy so that they have a fun and educational experience is the most selfless and human thing someone can do. I have pass so many science exam because of him,2,2025-01-03T17:23:28Z
@BeckyVan-m5t,So that’s how the bird toy works!,2,2025-01-27T12:56:58Z
@Jdfsixcxussnskskdbdbdj,¡Gracias!,27,2024-12-20T09:48:22Z
