Author,Comment,LikeCount,PublishedAt
@Stream1234-e1r,Everyone else:🤩🤩🤩<br><br>Me: in what situation would I have to use that🤔,40536,2024-10-02T23:34:09Z
@ValerieBorowiec-xs4uh,The people who turn of the water <br>💪👁👄👁🤳,13126,2024-10-10T02:16:56Z
@MajaGreta,It’s clear you speak 🗣️ from the heart.,30,2025-04-11T16:15:31Z
@Solveig-q6l,You’ve sparked something incredible 💡,1,2025-04-11T16:21:46Z
@BryanJose-p2n,Me who just passes through with their arm instead of the towel 🗿<br><br>Edit: omg I have never gotten this many likes tysm,12189,2024-10-09T00:26:07Z
@KirankumarKiran-vy9cz,Khaby lame in 0.1 seconds: 👉🧠👈,1765,2024-10-05T09:51:46Z
@MurahAnita,Everyone:DONT WASTE WATER! <br>literally he spend 2 hour wasting water in the shower,6889,2024-10-01T12:16:28Z
@Eviethetherian,Bro knaby lame be hitting walls with this one💀,132,2024-12-26T20:38:25Z
@Little_cuties_1614,Meanwhile me : turns of the tap and take the cloth <br>Khaby lame :🤚🤚👈👈,959,2024-10-03T04:50:55Z
@deondrebailey7844,Can’t let go of the rag bro that’s the whole point.🤦🏾🤦🏾,691,2024-10-09T23:35:12Z
@REAPER117GH,Me who just turns off the water. 🗿🗿🗿🗿🗿🗿🗿<br>Edit: no way! 9.9k likes!? That&#39;s new!<br>Another edit: wow! Thanks guys!,19558,2024-10-05T16:49:39Z
@blackberrys8252,1925:in 100 years we&#39;ll have flying cars<br>2025:,19,2025-01-05T14:00:12Z
@user.0-q8q,Not me worrying bout all that water being wasted 😅😂😭,551,2024-10-09T14:29:14Z
@Sansthesand,You have 273 missed calls from your brain trying to enter your head,292,2024-11-26T06:08:29Z
@YAqoob100,Turns off water<br><br>Kaby lame :👌🏻<br>Edit:THANKS SO MUCH,1260,2024-09-24T20:41:55Z
@XCORDD,Bro’s face when he saw the water bill😳😶‍🌫️💀,1,2025-01-20T21:11:10Z
@Xthetic_vibez,&quot;DON&#39;T WASTE WATER BRO&quot;<br><br>OMG<br>Edits:thanks for 10k like,10616,2024-09-25T16:07:35Z
@nicholettehannaway8153,I think &#39;Braincells&#39; left the room,143,2024-12-10T20:34:56Z
@Tidda1,I LOOOVVVEE YOUR VIDEOS❤❤❤❤😊😊😊😊,7,2024-11-03T18:25:11Z
@fadifadi6506,Kaby Lame : 🤯🤯🤯,2,2025-03-14T23:02:11Z
