Author,Comment,LikeCount,PublishedAt
@azca.,Honestly dude was really chill about it and had a great reaction. He seems nice,98583,2022-12-13T02:57:13Z
@murderburger1811,This guy was actually smiling and having fun. It&#39;s a nice change,5448,2023-02-12T11:24:54Z
@berrybrown3663,Love how dude didn&#39;t flip out &amp; returned the favor💯💯❤️,11814,2023-06-10T18:08:04Z
@3ryce614,The wife in the back &quot;oh thats cool...he&#39;s making a tikitytok&quot; lmao,53,2024-10-20T18:14:34Z
@Gravyards,He seems like the chill type of dad to get back at other people for fun😭,4608,2023-06-25T19:31:57Z
@christiancoleman2687,that was definitely a free spirited guy 😂 need more cool people like him in the world,5225,2023-06-22T07:12:16Z
@yadatada5556,Honestly the best reaction he could’ve had. He seems like a fun guy to hang out with,6391,2023-10-01T04:51:51Z
@_MEGADETH,That &#39;we cool man&#39; was all I needed to hear 😅😅😅😅🤣🤣🤣🤣👌👌👌,0,2024-05-28T23:30:26Z
@Fracking2319,&quot;We cool man&quot; and &quot;let me talk to you&quot; always end in retaliation 😂😂😂,4871,2023-07-11T02:44:32Z
@jojolearns,Dude was chill af 😂 shout out him for having good energy,3205,2023-07-12T13:57:09Z
@drewjennings550,Bro had that &quot;yes i was the man in high school&quot; look before he got pushed in 😂😂,2056,2023-06-01T20:29:00Z
@Fw_doosiy,Nah that guy dope asf 😭😭,0,2024-05-31T11:05:47Z
@SLAVA-q7p,You can&#39;t fool a Texan!He figured out the Asian and sent him sailing!,4939,2023-05-30T21:25:56Z
@Artuar3CRaFT,The most chillest guy you will ever find at a pool.,1702,2023-08-16T03:03:26Z
@bl4ckakashi311,The guy was cool asf. You got lucky man,522,2023-07-01T15:14:39Z
@69HarleyB,I don&#39;t know why I watched this several times the laughter got me.😅😅,0,2024-06-21T01:48:36Z
@flash980,&quot;We cool man&quot;..jus gotta get my revenge 😂😂<br><br>Dam I just noticed the 17k likes 😂,30024,2023-06-02T17:31:37Z
@Shinuchiha_99,Dudes definitely a dad 😂 he was a G about it though,542,2023-05-29T01:00:57Z
@perkmaster979,Dude was happy someone pushed him so he can let his inner kid out after being a grownup.. and i am here for it!,2218,2023-06-12T17:59:49Z
@RealestMG,"Shawty in the back said, “That’s so cool it’s for tikaty tok”  🤣",1555,2023-06-19T18:45:19Z
@reeree8731,“That’s so cool- tickety-tock?!?” 😂😂😂,3823,2023-11-15T14:23:20Z
@playuhhaytuh5633,as a Texan I approve of his ego,1184,2023-10-13T23:09:12Z
@tyrelldavid7598,"Love that he wasn&#39;t mad, just needed to get some get back 😂❤",0,2024-11-03T19:10:52Z
@Broke2built,“Huh” “what” had me crying🤣 they both knew what it was,157,2023-06-09T19:28:02Z
@wotizlove,Wish there could be more people like this man. How wholesome is that,843,2023-05-03T11:51:15Z
@yuratripwire1001,At least he had a smile on his face🤣 he was pretty laid back about it lol “ye my turn!” lol,2072,2023-01-03T11:07:51Z
@williammaus7606,Lol he thought he was toast!❤😂😂,0,2024-06-14T07:37:26Z
@shack8464,I’m really glad you didn’t scream “my mic my phone my shoes” you understand that you eat what you dish out 😂 always nice to see a smile on the prank victim as well.,532,2023-06-21T12:47:46Z
@Jahsline,"“Oh that’s so cool, what’s ur tickity tock” got me dead 😭💀",1227,2023-06-28T01:12:21Z
@JosephKlesh,"This made me smile, this is wholesome.",0,2024-06-08T03:40:30Z
@parrishedwards939,I love interactions like this…..good chill vibes,200,2023-06-05T15:17:34Z
@jbills0992,Make that man your friend and include him!!! You&#39;ll never find another man like that!!,1037,2023-07-01T21:36:51Z
@Hank2dank,Woulda been homies after that no doubt💀💀😂,126,2023-10-13T18:38:47Z
@spiritualsniper423,“We cool man!” Followed by an EPIC chuckle😂❤then pulled out the ole Uno reverse!!,0,2024-11-22T02:19:49Z
