Author,Comment,LikeCount,PublishedAt
@nilestst,10% attempting the trickshot<br>90% rebuilding the setup,7819,2024-09-11T12:57:35Z
@Patricknot-star,Bro&#39;s patience 💀,3655,2024-09-12T13:22:36Z
@_.xNight,Cleaning the wet floor and Rebuilding the Dominoes must be PAINFUL,706,2024-09-21T10:14:15Z
@ẞLe55,Some serious PRO drift there👮🏻‍♂️😎👍🏻,21,2024-11-01T12:18:25Z
@a-ztube,Awesome behind the scenes 💪😍,537,2024-09-05T06:04:42Z
@Metal-g4l,Wow it&#39;s amazing 😀,7,2024-10-14T16:41:27Z
@Numnum-d4p,Finally something on YouTube shorts what isn’t brain rot😅😅,145,2024-09-23T05:37:58Z
@shielacapiral9697,1: focus<br>2: focus<br>3: speed and focus<br>4: drift<br>5:speed and focus<br>6: speed and accurate,6,2024-10-29T14:10:13Z
@skafrojali,Bros car collection 🗿☠️,60,2024-09-19T09:38:05Z
@MartaCat-t4v,Почему на этом шедевре так мало лайков???!??,4,2024-10-30T22:26:53Z
@ShashankPandey-tu4qp,Tarzen tha wonder car😂😂😂,6,2024-10-10T13:33:59Z
@Eeedokk,The mini items are so adorable omg😩💗🎀,9,2024-11-02T09:24:57Z
@Mr.Calculator-vy4hw,"Me: Free time? Of course, I have some free time!<br>This guy with toy car: Some free time? Pfft!",86,2024-10-10T09:39:53Z
@늅콘,The fact that he does it in slow motion means he succeeded😂,117,2024-09-16T00:14:56Z
@PRINCEDANIELHONRADE-jm1cw,The amount of patience this dude has is mad respect,51,2024-09-28T06:18:42Z
@aurorasoldani8180,Che bello vedere le cose in miniatura ❤🤩,6,2024-09-15T15:35:14Z
@ashwinikari,Those mini stuff are so cute,1,2024-11-05T11:16:14Z
@markojasmin-y8f,how long do trick shots take❌<br>how to break a phone✅,3,2024-10-15T10:04:40Z
@Osmankhan-t7c,The first one is wild ☠️☠️☠️☠️,2,2024-10-25T03:54:56Z
@VivaanSachar-fb5qk,This car did more donuts than I ever had in my life,6,2024-09-25T20:17:46Z
@JML58,Such cars are just a dream.,1,2024-10-08T17:12:26Z
@just.jose.youtube,Wow lots of effort! :D,12,2024-09-04T22:05:46Z
@IlhamekaRC,Nice video🔥,23,2024-09-05T11:33:26Z
@RayaanC-kr3xu,"The fact he is doing it with a rc car, mad respect",7,2024-10-08T13:55:39Z
@ultimatefreakform,&quot;incase you missed!&quot; ahh replays,1,2024-11-04T11:01:09Z
@JanetMupas,The balloon is so small i love it ❤😊😊,3,2024-10-15T10:51:35Z
@Amiralizm-d2d,Very nice😮,8,2024-10-21T19:16:06Z
@Ayaanra-0,Best short ive seen its so creative,4,2024-10-07T21:36:01Z
@jameswatson-t2w,this man needs oscar,2,2024-10-01T06:28:29Z
@rohithwilliam,Bro came from another universe,3,2024-10-31T12:32:10Z
@Papi_Andara,amazing skills &amp; effort,1,2024-11-08T04:35:45Z
@BOEING--mh6xm,I really appreciate all the hard work bro does to give us these awesome videos,95,2024-09-20T06:12:51Z
@alicianygard3851,I love seeing how long your trickshots take. They all look so hard.,0,2025-01-11T16:56:34Z
@ARYAN-e7x7p,99 time practice<br>1 time success,7,2024-10-23T19:14:34Z
@cristinasimoni576,&quot;What did you do today?&quot;<br><br>&quot;Hmm... It&#39;s complicated&quot;,1,2024-11-02T15:52:23Z
@ShadabAlam-sh4rk,"He = Baby I&#39;m a car stunt man, <br>She = show me your stunts<br>He = see this 😂😂😂",32,2024-10-01T07:37:05Z
@markwoods4656,Best video edits I&#39;ve seen so far.  Show us the full video if this is real haha,3,2024-10-20T02:13:40Z
@WHITE_COBRAZ,You have good talent,4,2024-10-02T07:32:37Z
@RicardoIker,A este man lo deben de meter en concursos 😎,1,2024-11-03T20:45:37Z
@ILikeDonuts666,"Even though its an RC car, thats the most beautiful Aventador ive ever seen 🥲",3,2024-09-29T15:57:56Z
@JawadMohamed-k8o,This is so amazing this is the spirit of drift art❤❤❤,24,2024-09-10T12:25:51Z
@JelkaOdalgar,"Wow, props to u for building the setup every time it failed I can say ur pretty disciplined👏👏👏",5,2024-10-06T19:35:26Z
@depanimanik6914,Bro is a conqueror☠️,7,2024-09-21T09:52:57Z
@verasouza642,I love drifting cars. 🚗,7,2024-10-27T16:59:21Z
@aadaminecrafter,"Bro, the purple senna in the last clip 🔥🔥🔥🔥",15,2024-09-19T19:59:03Z
@Amir_UberEatsss,love your rc cars keep going,1,2024-09-22T07:18:17Z
@tjmason086,This is incredible idc how long each one took,36,2024-09-29T23:54:22Z
@rifaraasmr,Awesome❤❤❤,0,2024-12-28T09:15:52Z
@凶暴な猫ニャーオ-p7d,ラジコンカーの操縦を極めたらこうなるのね！この手の大会とかあるのかな？,18,2024-09-24T09:31:18Z
@민선주-d2t,개쩔긴하는데 저 미니어처들이 더 갖고싶음...아니 맥주병 뚜겅진짜 디테일 어쩔거야ㅠ,1,2024-09-30T06:18:24Z
