Author,Comment,LikeCount,PublishedAt
@nonsense618,Kids trying to be helpful running up and giving you something completely random that you absolutely do not need is the single most accurate thing in this video,20466,2024-07-03T22:40:49Z
@Famous_From_Commenting,That “NO 😡” was personal,28282,2024-06-24T16:27:42Z
@Dill_Pixel,"&quot;Daniel, look at mommy&#39;s eyes&quot; Massive respect to her for not breaking character while saying that",3594,2024-06-29T08:48:21Z
@French_FryxFrye,That slap to the container with the snacks in it was personal😂,23,2025-05-05T12:43:31Z
@typoprone,"&quot;Wake up, Baby Brother!!!&quot; 😂😂😂",8603,2024-06-24T17:04:59Z
@jellybk6758,"Can we just take a moment to appreciate how Daniel destroys his house for our entertainment, yet it looks spotless in every video... Like this mans cometment is top tier",6781,2024-07-10T18:46:12Z
@JacobGamble-o8p,"That SMACK to the &quot;Snack that smiles back,  GOLDFISH&quot; WAS PERSONAL",4075,2024-09-20T21:39:01Z
@Presleyisabelle12345,the opening the shower to say hi is so real XD,8,2025-04-22T18:28:19Z
@Batmann_,"Lol, that slap off the counter was so aggressive. I think Daniel&#39;s been holding that one in.",5522,2024-06-24T18:15:03Z
@juniordagoon6480,“WaKe Up bAbY BrOThER!!!!!” had me laughing so hard 🤣🤣🤣🤣,1836,2024-09-04T04:09:52Z
@slkfjlaksjflsj,bro the toddler eating a snack IS SO ACCURATE THO 🤣🤣🤣🤣,1882,2024-06-28T19:13:18Z
@spoodermin_76,The toddler napping is still me today 😭😭😭💀💀💀,23,2025-04-20T13:45:45Z
@D78378,The &quot;All done&quot; part was so true😂. Kids don&#39;t even play with their toys they just make a mess with it and go do something else after,2098,2024-06-24T19:31:18Z
@Knifegirl16,"&quot;AAAAUUUGH! Wake up, baby brother!!!!&quot; 🤣 I can&#39;t stop laughing. Not my cat wondering why I&#39;m laughing at a bright, little rectangle at 10:56 PM lol",1009,2024-06-29T03:54:35Z
@nathene069,He does the toddler facial expressions so good! LOL!,873,2024-08-09T22:32:32Z
@Matt_The_Gamer65,&quot;Toddler sleeping&quot; caught me off guard😂😂😂,4,2025-05-10T23:57:03Z
@HarmoSpace,The fact that he looks and sounds so much like both a child and adult makes him perfect for these kind of comparisons!,810,2024-07-06T16:18:31Z
@BrandonJrJacks,That no from the toddler was EMPHATIC 😂,971,2024-06-30T22:14:22Z
@a-nandikaraipelly2166,The showering part was so funny he was like &quot;HIIIIIIIII&quot; 😁,993,2024-06-30T20:30:32Z
@priyankapatankar9252,The &quot;Hiii&quot; Got me rolling down the stairs XD😂,63,2025-03-14T11:56:20Z
@TylaaDaQueen,The shower one got me dying😂😂,559,2024-07-19T18:52:50Z
