Author,Comment,LikeCount,PublishedAt
@XWRLD_arg,Let bro cook everytime 🥶😎😎,22971,2024-07-09T00:44:27Z
@JamalTheFriendlySmiler,"bro not only just cooked , HE SERVED 🗣🔥🔥🔥🔥🔥",1277,2024-07-23T15:49:10Z
@queenlyvibes977,broooooo you nailed it I can&#39;t just stop going back to watch it,428,2024-07-25T21:16:14Z
@SanaFatima-nf7cg,"So smooth and satisfying bro😎 I, just love it!",119,2024-10-12T18:16:53Z
@shahanarabanu514,&quot;Bro is a real chef now&quot;👨‍🍳<br>Let him cook🗣️🔥🔥🗣️,812,2024-07-27T09:50:35Z
@Mistikkullaniciadi_13,"The transition is perfect, the ambient pattern is also perfect. Everything is great my friend!",242,2024-07-30T09:29:21Z
@yourmyfavs77,BRO THATS SO CLEAN I SWEAR,225,2024-07-19T20:25:59Z
,That transition is smoother than Mr. Cleans forehead🥶🥶🥶,9,2024-10-06T21:53:15Z
@dragonGUYZyt,"He COOKED, SERVED, and got a $1000 TIP, that’s how good that was",36,2024-07-30T10:29:45Z
@BunnyChetbi,&quot;how many times have u watched this!&quot;<br><br>Me: &quot;yes&quot;,757,2024-07-12T15:26:27Z
@miragaming-xd,They are not just satisfying but smooth,20,2024-07-31T10:10:22Z
@sophiesingh1472,I’ve watched this 23 times soo good😂🎉🎉,10,2024-09-12T05:50:24Z
@javedsayyed2215,Bro just can&#39;t stop cooking ❤️‍🩹,21,2024-07-22T01:12:14Z
@pearlsssssss,"he cooked, he baked, he boxed up, he delivered",379,2024-07-26T23:33:52Z
@tree1541-ye1rw,BRO COOKED AND HAD US LICKING THE PLATE🔥🔥🗣️🗣️🗣️💯💯💯💯💯💯,228,2024-07-24T00:50:06Z
@ArkadeGamesYT_29,Bro cooked but everyone died of hunger 🔥🗣🔥🗣🔥🗣,1,2025-01-18T14:10:10Z
@priscillaramirez-ek2gt,You’re the king of transitions!!💗🔥🔥,14,2024-08-04T08:35:26Z
@Doing_Aviation,bros cooking so much to the point he started a nationwide fire🔥🔥🔥,759,2024-07-10T12:47:15Z
@YasmeenMcBride,That was the smoothest transition I’ve ever seen❤❤❤,18,2024-07-26T22:29:28Z
@Official_Hopiee,Who let bro cook so hard 😭😭😭 (keep up the good work man👍👍),1,2024-10-13T22:05:49Z
@InfiniteSavitar,Bro cooked so hard Gordon Ramsay didn’t curse🔥🔥,493,2024-07-20T09:06:20Z
@lifewsummerxx,"the birds are paid actors, flawless! ❤",354,2024-08-07T09:22:26Z
@有,"Bro&#39;s transitions are on another level, he&#39;s got skills!",234,2024-07-29T15:56:51Z
@PichcheataLy,Omg that is so smooth edit and satisfiying,0,2024-10-13T21:04:05Z
@YuhNasah,His powers are incredible. Nobody can stop him. 😮❤,173,2024-08-12T14:12:00Z
@Queen_Mafia7,Bro i can&#39;t stop watching this🗣️🗣️🗣️,49,2024-07-30T15:18:54Z
@RexyyEdits54564,Bro trasition is smoother than my life😂😂😂😂😂😊🎉,133,2024-09-06T06:37:51Z
@Spymav1234,HOW DO YOU DO IT SOO SMOOTH AND PERFECT🤯🤯🤯🤯🤯,0,2024-10-06T17:24:34Z
@yungdinoboiiggmgodgotsme9038,Hadda watch about 100 times ..soo clean😂❤,113,2024-07-12T01:44:39Z
@可,Bro&#39;s transitions are like magic! He&#39;s truly the king of smooth edits.,302,2024-08-04T12:48:57Z
@dreamscapenow,Actually you sparked so many emotions at once 😂😂😂😂😂 that was 🔥 tho. That Carolina blue 🌊 hit.,25,2024-08-01T20:23:35Z
@abby-z8y7j,why do my eyes get glued to the screen like and the grass breaking😊😇i love the noise,1,2024-11-19T12:00:32Z
@KhloeDeacon,I swear they get better every time I can’t stop watching them,45,2024-08-08T09:45:28Z
@H.K.5,He just flooded the entire city 😂,123,2024-08-08T09:43:28Z
@Billie_girly,BRO THAT TRANSITION IS FIRE 🔥 AND IT EVEN SMOOTHER THEN MY FOREHEAD,10,2024-07-21T01:49:46Z
@nxtroblaster,Genuinely made me shed a tear it’s so CLEAN😭,0,2024-10-07T00:26:58Z
@XGolf7,"Dude, this guy is so underrated!!!🔥🔥🔥🔥🔥",313,2024-07-09T02:16:48Z
@Wompwomp391,BRO THE TRANSITION IS SO PERFECT BRO 1000/10,116,2024-08-01T12:06:54Z
@BALL-BE-HOOPIN,nah bro’s a certified master chef💀🔥🔥🔥,9,2024-07-30T01:45:26Z
@Cutiexd994,The amount of times i replay he’s vid man keep cooking like always,0,2024-10-25T19:58:01Z
@TheOriginalByteBuilder,That is the best transition than I will ever be able to do or see.,99,2024-08-08T22:13:21Z
@محمدفهدالسباعي,My God this guy doesn&#39;t stop cooking,289,2024-07-04T10:49:56Z
@GearStorm2011,The bottles breaking in time with the music made it better🔥🔥🔥,146,2024-08-15T13:46:28Z
@frenchfraise56,OMG THAT TRANSITION IS SO SMOOTH!😮,1,2024-10-05T22:24:28Z
@Mal3kJR-x4k,bro cooked so hard he lit the kitchen on fire 🔥,12,2024-07-26T19:01:51Z
@Random-dc4rl,This dude right here has the cleanest transformations!,7,2024-07-21T11:09:36Z
@TheGoldenApex,Nahhh that was sooooo good!!! I had to watch that like 20 times lol😂😂😂🔥🔥🔥,199,2024-08-05T17:54:54Z
@MrAnthonyVR,The chef served ONCE AGAIN BOI,2,2024-10-11T12:40:07Z
@可,"Bro&#39;s transitions are absolutely flawless, he&#39;s a pro! Cooking skills on point, bro&#39;s a true masterchef.",490,2024-08-04T22:09:38Z
@TYRobertBs,Needs more recognition. This is awesome.,49,2024-07-11T18:09:23Z
