Author,Comment,LikeCount,PublishedAt
@ARSvAl1111,"&quot;Don&#39;t worry, babe, my dad is chill, it&#39;s gonna be alright.&quot;<br>The dad:",73631,2024-01-16T17:04:02Z
@purpleways3831,I would never want to see this man in the enemy trench💀,35625,2023-12-18T19:50:02Z
@marioharris5944,If you&#39;ve ever shot a shotgun then you realize ejecting the shells was more impressive than actually hitting them.,5125,2024-03-19T16:48:27Z
@Jayo3.0,Bro this man will be on the list of the best soldier☠💀🙏,228,2024-09-11T11:26:16Z
@ToiletPaperBandit-n2d,She expected him hitting every shell more than the high five😂😂,2112,2024-02-23T21:41:18Z
@ziiziizii3838,Imagine being born as a shotgun shell just to be killed by your own insides,19229,2024-01-21T23:07:01Z
@tesfaye3105,Dude did legendary skill and she aint impressed 💀,5898,2024-02-15T12:17:14Z
@alexandergardenz5343,Bro used to have 8 balls but he donated 6 of them. They are now called &quot;The infinity stones&quot;,9,2024-09-08T07:17:46Z
@trapG0LD710,Literally the coolest fucking shotgun user of all time should be in video games!<br><br>EDIT: Literally my most liked comment. Thank you all for agreeing with the obvious fact that this guy should be in the next call of duty!,12038,2024-01-05T03:32:19Z
@TheBassManJeff,Mating displays are getting wild,1382,2024-03-22T20:15:42Z
@mikeb5063,Reloaders hate this guy,10289,2023-11-24T00:48:53Z
@fayedex7494,لكل من لا يعرف هذه بندقية خرطوش لا تحتاج إلى تصويب لأنها تنشر الرصاص في أماكن كثيرة لهذا ما يفعله ليس إنجاز أو احتراف,131,2024-09-07T15:59:47Z
@Mats_prod,“My dad is not scary stop”<br>The dad in the backyard.,2101,2024-01-28T17:51:21Z
@jimglass7744,&quot;I have 55 more goddamn rounds in this 4 round magazine&quot;<br><br>-gus,401,2024-03-01T05:46:15Z
@tcd-autodetailing,Imagine breaking into bros house and he starts trick shotting you off the walls 💀,297,2024-01-12T11:35:01Z
@Alc-n3x,This is the coolest thing I’ve seen,0,2024-10-17T05:22:05Z
@TheTurkicCc,Everybody is gangsta until target shoots back 💀,1178,2024-01-15T23:24:40Z
@eygm123,Imagine someone points a shotgun at you and trickshots you like this 💀,2082,2024-01-19T04:56:59Z
@raghvendersinghrajput,"In the time of zombie apocalypse, I&#39;m going to be his friend",1898,2024-05-10T07:55:03Z
@TateCanady,Robber comes in “yeah I’m leaving you can have my wallet “,1,2024-09-30T04:46:41Z
@georgewhyte22,I got off work yesterday and caught my pump-action watching this man&#39;s video,1837,2024-01-10T09:37:34Z
@user-fl4ug1nc1u,bro said &quot;kobe&quot; right after he kicked the first shell 😭,450,2024-01-18T17:44:56Z
@bhavyakhanna1828,Bros snipin with a shotgun 💀,502,2024-04-08T13:47:27Z
@Ansh_Bai2012,Accuracy and Aura 999++,2,2024-09-11T16:26:42Z
@adrianv.hellbruck8067,"Judging by the shells, he´s showing her his tricks for the last seven hours... She:&quot;Thanks God,he´s done!&quot;",59,2024-02-21T09:15:38Z
@syl3r,My toxic trait is thinking I could this without ever touching a gun in my life,2925,2023-12-06T10:11:23Z
@Siddharth-Prabhu,Dibbs on this guy during a zombie apocalypse.,1655,2024-01-13T04:21:07Z
@TheOnlyHamburger,Bro Said &quot;Perfect Training For The Upcoming Zombie Apocalypse&quot; 😂❤,1,2024-09-08T08:14:12Z
@Flames_bs1.0,From someone that does shooting sports that’s pretty fucking impressive,341,2024-01-26T06:33:13Z
@murlok4849,Mastery of a shotgun<br>Such a professional,82,2024-01-08T06:00:05Z
@phoebe4773,This will be the perfect team mate in a zombie apocalypse,617,2024-07-06T13:01:40Z
@MehmetMelek-w2d,Fişeklerde saçma varsa zor değil. Yine de bravo👍👏,0,2024-09-20T07:19:35Z
@lomparti,He’s like the salt bae of shotguns. Lol,91,2024-01-18T08:52:33Z
@ascendordie7427,He legit can&#39;t miss at that range with a shot gun. This is like flipping a pancake but the pancake is the bullet.,918,2024-02-03T09:23:04Z
@acouslyk,"This guy can steal your wife, cause when he shoots his shot, he never misses.",544,2024-01-29T07:43:17Z
@GiantKiller1,"35 years later, that one guy in hunter safety class",0,2024-10-23T16:01:34Z
@mcfarlandbrothers2209,the second shot the one he kicked and then said kobe was wild 😂😂😂😂,460,2024-07-01T19:13:36Z
@ohmthepoet8428,&quot;alright just face your ass to the camera and dont stop till i high five you&quot;😂😂😂,550,2024-01-14T15:07:19Z
@multiversehq,The high five ruined EVERYTHING 😂😂😂😂,466,2024-02-01T03:53:10Z
@ChumpChangeXD,Bird shot makes things a bit easier lol,1,2024-08-31T15:48:13Z
@darksmoke723,Imagine running away from this person ☠️,469,2023-12-19T15:50:25Z
@murph6802,"She&#39;s seen him do this shit so many times, all she wants him to do is clean up after himself. <br><br>She&#39;s like.... oh high five... again? Great.",339,2024-03-14T16:52:00Z
@Emmabbyteen,This guy would be a menace in a zombie apocalypse with that aim,0,2024-09-14T10:41:20Z
@Tkjawa,"She’s like, that’s bird shot dude, I’m not impressed",26,2024-03-15T18:53:27Z
@rehananwar7953,Shooter: High Five sweetheart <br>Sweetheart: oops high-five but what happened 😂,35,2023-12-11T21:29:55Z
@LilOtterPop,When case recovery is a second hand thought.,1285,2023-11-09T14:43:37Z
@Zen_987,Bro is sending bullets to heaven😂😂,0,2024-09-16T09:11:37Z
@Sorcerer-supremee,Clint Eastwood fears this guy !!,56,2024-01-15T20:23:41Z
@spood1,my lobbies can&#39;t be that bad<br>my lobbies:,320,2023-11-30T16:06:40Z
@indeed2207,Now that&#39;s insanely impressive.,63,2024-05-22T13:24:25Z
